"L.p.","Nr pow","Powiat","Organizator","Nazwa wtz","Ulica","Miejscowość","Kod","Poczta","Data utworzenia wtz"
"21","15","oławski","Stowarzyszenie Pomocy Dziecom ""Tęcza""","WTZ przy Stowarzyszeniu Pomocy Dzieciom ""Tęcza""","Iwaszkiewicza 11 B","Oława","55200","Oława","09-02-23"
"22","16","polkowicki","Stowarzyszenie Charytatywne ""Żyć Godnie""","Warsztat Terapii Zajęciowej ","Kominka 7","Polkowice","59100","Polkowice","12-29-08"
"23","17","strzeliński","Stowarzyszenie Św. Celestyna w Mikoszowie","Warsztat Terapii Zajęciowej ","","Mikoszów 27","57100","Strzelin","12-02-03"
"24","18","średzki (śląski)","Stowarzyszenie ""Ostoja"" na rzecz osób z niepełnosprawnościami","Warsztat Terapii Zajęciowej ""OSTOJA""","Kilińskiego 30","Środa Śląska","55300","Środa Śląska","12-16-08"
"25","19","świdnicki","Gmina Strzegom","Warsztat Terapii Zajęciowej ","Al. Wojska Polskiego 16","Strzegom","58150","Strzegom","12-21-17"
"26","19","świdnicki","Stowarzyszenie ""Bliżej Ciebie"" przy Zespole Szkół Specjalnych w Świdnicy","Warsztat Terapii Zajęciowej ","Rotmistrza Witolda Pileckiego 3","Świdnica","58100","Świdnica","12-06-16"
"27","19","świdnicki","Polskie Stowarzyszenie Na Rzecz Osób z Upośledzeniem Umysłowym Koło w Świdnicy","Warsztat Terapii Zajęciowej ","","Mokrzeszów 111","58160","Świebodzice","12-15-02"
"28","20","trzebnicki","Trzebnickie Stowarzyszenie ""Uśmiech Dziecka""","Warsztat Terapii Zajęciowej ","Daszyńskiego 44-46","Trzebnica","55100","Trzebnica","12-16-09"
"29","23","wrocławski","Caritas Archidiecezji Wrocławskiej","Warsztat Terapii Zajęciowej ","Klasztorna 1","Małkowice","55080","Kąty Wrocławskie","12-02-08"
"30","24","ząbkowicki","Caritas Archidiecezji Wrocławskiej","Warsztat Terapii Zajęciowej ","Plac Cystersów 5","Henryków","57210","Henryków","12-02-08"
"31","24","ząbkowicki","Dom Pomocy Społecznej w Opolnicy","Warsztat Terapii Zajęciowej ","","Opolnica 58","57256","Bardo","12-02-03"
"32","25","zgorzelecki","Fundacja ""Niepełnosprawnym i Oczekującym Pomocy""","Warsztat Terapii Zajęciowej","Traugutta 77 B","Zgorzelec","59900","Zgorzelec","08-16-06"
"33","26","złotoryjski","Urząd Miasta i Gminy","Warsztat Terapii Zajęciowej","Kościuszki 2","Świerzawa","59540","Świerzawa","12-16-07"
"34","26","złotoryjski","Fundacja Ekonomii Społecznej PROM","Warsztat Terapii Zajęciowej","Wojska Polskiego 50","Złotoryja","59500","Złotoryja","12-31-08"
"35","26","złotoryjski","Urząd Gminy w Pielgrzymce","Warsztat Terapii Zajęciowej","","Wojcieszyn 37","59524","Pielgrzymka","10-01-11"
"36","27","Jelenia Góra","Polskie Towarzystwo Walki z Kalectwem OT w Jeleniej Górze","Warsztat Terapii Zajęciowej ","Kiepury 44","Jelenia Góra","58500","Jelenia Góra","10-03-99"
"37","27","Jelenia Góra","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną Koło w Jeleniej Górze","Warsztat Terapii Zajęciowej","Waryńskiego 14","Jelenia Góra","58500","Jelenia Góra","01-02-02"
"38","28","Legnica","Caritas Diecezji Legnickiej ","Warsztat Terapii Zajęciowej ","Poselska 14-16","Legnica","59220","Legnica","11-02-09"
"39","28","Legnica","Stowarzyszenie Przyjaciół i Rodziców Osób z Upośledzeniem Intelektualnym ""JUTRZENKA""","Warsztat Terapii Zajęciowej  ""Jutrzenka""","Witelona 10","Legnica","59220","Legnica","01-01-04"
"40","28","Legnica","Fundacja Pomocy Dzieciom Specjalnej Troski","Warsztat Terapii Zajęciowej  im. Andrzeja Krakowskiego","Roosevelta 27/1","Legnica","59220","Legnica","12-30-07"
"41","29","Wałbrzych","Publiczna Szkoła Podstawowa Specjalna nr 10 w Wałbrzychu","Warsztat Terapii Zajęciowej przy PSPS nr 10 w Wałbrzychu","Ogrodowa 5a","Wałbrzych","58306","Wałbrzych","12-16-01"
"42","29","Wałbrzych","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym koło w Wałbrzychu","Warsztat Terapii Zajęciowej ","Nałkowskiej 4a","Wałbrzych","58309","Wałbrzych","07-02-99"
"43","29","Wałbrzych","Stowarzyszenie Dzieci i Rodzin Zasadniczej Szkoły Zawodowej w Wałbrzychu","Warsztat Terapii Zajęciowej ","Mickiewicza 24","Wałbrzych","58300","Wałbrzych","05-19-08"
"44","30","Wrocław","Stowarzyszenie OSTOJA na Rzecz Osób z Niepełnosprawnosciami","Warsztat Terapii Zajęciowej OSTOJA","Litomska 10","Wrocław","53641","Wrocław","12-02-07"
"45","30","Wrocław","Fundacja im. Błogosławionego Ojca Damiana","Warsztat Terapii Zajęciowej ""U Ojca Damiana""","Snopkowa 5","Wrocław","52225","Wrocław","01-01-04"
"46","30","Wrocław","Fundacja im. Brata Alberta","Warsztat Terapii Zajeciowej WSPÓLNOTA","Smocza 4","Wrocław","51520","Wrocław","01-02-03"
"47","30","Wrocław","Fundacja im. Brata Alberta","Warsztat Terapii Zajęciowej MUMINKI","Al. Jana Kasprowicza 28","Wrocław","51137","Wrocław","10-04-01"
"48","30","Wrocław","Fundacja Ewangelickie Centrum Diakonii i Edukacji im. Ks. Marcina Lutra","Warsztat Terapii Zajęciowej ""Przystań""","ks.Marcina Lutra 2-8","Wrocław","54239","Wrocław","10-24-21"
"49","31","aleksandrowski","","Warsztat Terapii Zajęciowej ","Wojska Polskiego","Aleksandrów Kujawski","87700","Aleksandrów Kujawski ","05-17-04"
"50","31","aleksandrowski","Fundacja im. Brata Alberta","Warsztat Terapii Zajęciowej ""KARCZEMKA""","Szlak Bursztynowy 95","Otłoczyn","87700","Aleksandrów Kujawski ","03-27-97"
"51","32","brodnicki","Towarzystwo Rodziców Dzieci Specjalnej Troski","Warsztat Terapii Zajęciowej ","Wyspiańskiego 13","Brodnica","87300","Brodnica","05-02-02"
"52","33","bydgoski","Gminny Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Szubińska 87D","Białe Błota","86005","Białe Błota","12-16-08"
"53","33","bydgoski","","Warsztat Terapii Zajęciowej","23 Stycznia 17C","Solec Kujawski","86050","Solec Kujawski","12-17-08"
"54","34","chełmiński","Stowarzyszenie ""Ludzie-Ludziom""","Warsztat Terapii Zajęciowej ","Pl. Rydygiera","Chełmno","86200","Chełmno","12-16-08"
"55","35","golubsko-dobrzyński","Towarzystwo Przyjaciół Dzieci Oddział Okręgowy w Toruniu","Warsztat Terapii Zajęciowej","Odrodzenia 2","Kowalewo Pomorskie ","87410","Kowalewo Pomorskie ","06-02-98"
"56","36","grudziądzki","Stowarzyszenie ""Uśmiech""","Warsztat Terapii Zajęciowej ","","Gruta","86330","Mełno","12-18-07"
"57","36","grudziądzki","Fundacja ""Ochrona Zdrowia i Rehabilitacja Niepełnosprawnych""","Warsztat Terapii Zajęciowej ","Dworcowa 2","Łasin","86320","Łasin","09-28-98"
"58","37","inowrocławski","Stowarzyszenie Pomocy Upośledzonym Umysłowo","Warsztat Terapii Zajęciowej ""RAZEM""","Emilii Plater 3","Inowrocław","88100","Inowrocław","02-03-06"
"59","38","lipnowski","Towarzystwo Przyjaciół Dzieci","Warsztat Terapii Zajęciowej ","Wojska Polskiego","Lipno","87600","Lipno","10-01-06"
"60","39","mogileński","CARITAS Archidiecezji Gnieźnieńskiej","Warsztat Terapii Zajęciowej  ""RADOSNE SERCA""","","Bielice","88330","Gębice","06-22-09"
"61","40","nakielski","Towarzystwo Przyjaciół Dzieci - Zarząd Oddziału Powiatowego","Warsztat Terapii Zajęciowej ""POD DĘBEM""","Parkowa 8","Nakło nad Notecią","89100","Nakło nad Notecią","11-28-07"
"62","40","nakielski","Towarzystwo Przyjaciół Dzieci Kujawsko-Pomorski Oddział Regionalny w Toruniu","Warsztat Terapii Zajęciowej Ośrodek Wsparcia ""NASZ DOM""","Plac Wolności 5","Mrocza","89115","Mrocza","11-11-09"
"63","40","nakielski","Liga Kobiet Polskich Kujawsko-Pomorski Oddział Wojewódzki w Bydgoszczy ","Warsztat Terapii Zajęciowej ""PELIKAN""","Sportowa 2a","Szubin","89200","Szubin","08-18-08"
"64","41","radziejowski","Miasto i Gmina Piotrków Kujawski","Warsztat Terapii Zajęciowej","","Nowa Wieś 28A","88230","Piotrków Kujawski","04-18-00"
"65","42","rypiński","Liga Kobiet Polskich w Rypinie przy Kujawsko-Pomorskim Oddziale Wojewódzkim w Bydgoszczy","Warsztat Terapii Zajęciowej ""NADZIEJA""","Strażacka 1","Rypin","87500","Rypin","08-02-07"
"66","43","sępoleński"," Stowarzyszenie ""Dorośli-Dzieciom""","Warsztat Terapii Zajęciowej przy Stowarzyszeniu ""Dorośli-Dzieciom""","Kościuszki 3","Sępólno Krajeńskie","89400","Sępólno Kr.","12-02-07"
"67","44","świecki","Fundacja Aktywizacji i Integracji","Warsztat Terapii Zajęciowej","Myśliwska 1A","Nowe","86170","Nowe","12-16-08"
"68","44","świecki","Towarzystwo Wspierania Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej","Wojska Polskiego 173","Świecie","86100","Świecie","07-05-98"
"69","46","tucholski","Stowarzyszenie Rodziców Dzieci Specjalnej Troski","Warsztat Terapii Zajęciowej","Przemysłowa 2","Tuchola","89500","Tuchola","12-01-11"
"70","47","wąbrzeski","Wąbrzeskie Stowarzyszenie Pomocy Dzieciom Specjalnej Troski ","Warsztat Terapii Zajęciowej ","Matejki 18","Wąbrzeźno","87200","Wąbrzeźno","01-26-04"
"71","49","żniński","Liga Kobiet Polskich Kujawsko-Pomorski Oddział Wojewódzki w Bydgoszczy","Warsztat Terapii Zajęciowej  ""PROMYK""","Szpitalna","Żnin","88400","Żnin","12-03-06"
"72","50","Bydgoszcz","Stowarzyszenie Na Rzecz Pomocy Dzieciom i Ich Rodzinom ""PRZYSTAŃ""","Warsztat Terapii Zajęciowej  ""PRZYSTAŃ""","Noakowskiego 4/1","Bydgoszcz","85804","Bydgoszcz","05-02-98"
"73","50","Bydgoszcz","Caritas Diecezji Bydgoskiej","Warsztat Terapii Zajęciowej  ""TĘCZA""","Planu 6 Letniego","Bydgoszcz","85806","Bydgoszcz","01-24-00"
"74","50","Bydgoszcz","Polski Związek Niewidomych Okręg Kujawsko - Pomorski","Warsztat Terapii Zajęciowej  ""VICTORIA""","Bernardyńska 3","Bydgoszcz","85029","Bydgoszcz","06-02-97"
"75","50","Bydgoszcz","Liga Kobiet Polskich Kujawsko-Pomorski Oddział Wojewódzki","Warsztat Terapii Zajęciowej ""MODRZEW""","Modrzewiowa 6","Bydgoszcz","85631","Bydgoszcz","09-21-98"
"76","50","Bydgoszcz","Polski Związek Niewidomych Okręg Kujawsko - Pomorski","Warsztat Terapii Zajęciowej ""MEGA ART.""","Stawowa 1","Bydgoszcz","85329","Bydgoszcz","02-27-97"
"77","50","Bydgoszcz","Fundacja ""WIATRAK""","Warsztat Terapii Zajęciowej ""WIATRAK""","Porazińskiej 9","Bydgoszcz","85792","Bydgoszcz","12-23-02"
"78","50","Bydgoszcz","Kujawsko - Pomorskie Centrum Kultury","Warsztat Terapii Zajęciowej  ""BIAŁY DOMEK""","Toruńska 28","Bydgoszcz","85023","Bydgoszcz","12-18-00"
"79","51","Grudziądz","Stowarzyszenie Przyjaciół Osób Niepełnosprawnych ""TO-MY""","Warsztat Terapii Zajęciowej","Kochanowskiego 11-13","Grudziądz","86300","Grudziądz","04-09-08"
"80","52","Toruń","Polski Związek Niewidomych Zarząd Główny","Polski Związek Niewidomych Warsztat Terapii Zajęciowej","Mickiewicza 61","Toruń","87100","Toruń","10-28-99"
"81","52","Toruń","Fundacja im. Brata Alberta","Warsztat Terapii Zajęciowej ""BRATANKI""","Rydygiera 23","Toruń","87100","Toruń","02-24-97"
"82","52","Toruń","Fundacja Na Rzecz Osób Niepełnosprawnych ,,ARKADIA""","Warsztat Terapii Zajęciowej ""ARKADIA""","Młyńska 2-4","Toruń","87100","Toruń","10-21-04"
"83","53","Włocławek","Polski Związek Niewidomych","Warsztat Terapii Zajęciowej ","Łazienna 6","Włocławek","87800","Włocławek","10-21-04"
"84","53","Włocławek","Towarzystwo Pomocy Dzieciom","Warsztat Terapii Zajęciowej ","Wiejska 14","Włocławek","87800","Włocławek","03-16-99"
"85","54","bialski (podlaski)","Gminny Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Piłsudskiego 27","Konstantynów","21543","Konstantynów","12-24-17"
"86","54","bialski (podlaski)","Gminny Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Wygoda 4","Wisznice","21580","Wisznice","12-29-09"
"87","54","bialski (podlaski)","Gminny Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Nadbrzeżna 12","Kodeń","21509","Kodeń","12-01-08"
"88","54","bialski (podlaski)","Stowarzyszenie Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej","Zarówie 86","Międzyrzec Podlaski","21560","Międzyrzec Podlaski","01-02-03"
"89","55","biłgorajski","Gmina Józefów","Warsztat Terapii Zajęciowej","Czesława Mużacza ""Selima"" 1/2","Józefów","23460","Józefów","09-27-99"
"90","55","biłgorajski","Fundacja na rzecz osób niepełnosprawnych i potrzebujących pomocy Otwórzmy Swoje Serca","Warsztat Terapii Zajęciowej","","Biszcza 228","23425","Biszcza","09-02-09"
"91","55","biłgorajski","Stowarzyszenie Pomocy Dzieciom Niepełnosprawnym ""Krok za Krokiem"" w Zamościu Koło Terenowe w Biłgora","Warsztat Terapii Zajęciowej ","Sienkiewicza 15","Biłgoraj","23400","Biłgoraj","09-02-03"
"92","56","chełmski","Gminny Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Chełmska 5","Sawin","22107","Sawin","12-20-07"
"93","56","chełmski","Gmina Wojsławice","Warsztat Terapii Zajęciowej","Uchańska 114","Wojsławice","22120","Wojsławice","12-18-08"
"94","56","chełmski","Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Majdan Zahorodyński 1/1","Majdan Zahorodyński","22130","Siedliszcze","12-21-10"
"95","56","chełmski","Miasto Rejowiec Fabryczny","Warsztat Terapii Zajęciowej ","Mickiewicza 3","Rejowiec Fabryczny","22170","Rejowiec Fabryczny","12-15-09"
"96","57","hrubieszowski","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną Koło w Hrubieszowie","Warsztat Terapii Zajęciowej w Hrubieszowie","Górna 17","Hrubieszów","22500","Hrubieszów","09-02-01"
"97","57","hrubieszowski","Gminny Ośrodek Pomocy Społecznej w Dołhobyczowie","Warsztat Terapii Zajęciowej w Oszczowie przy GOPS w Dołhobyczowie","","Oszczów Kolonia 30","22540","Dołhobyczów","06-02-02"
"98","57","hrubieszowski","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną Koło w Werbkowicach","Warsztat Terapii Zajęciowej w Alojzowie","","Alojzów 39","22550","Werbkowice","07-18-99"
"99","58","janowski","CARITAS Diecezji Sandomierskiej","Warsztat Terapii Zajęciowej","Zamoyskiego 77","Janów Lubelski","23300","Janów Lubelski","10-29-12"
"100","59","krasnostawski","Krasnostawskie Stowarzyszenie na Rzecz Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej ","Szkolna 9","Krasnystaw","22300","Krasnystaw","11-03-99"
"101","59","krasnostawski","Towarzystwo Opieki nad Ociemniałymi - Zakład Opiekuńczo Rehabilitacyjny dla Niewidomych Kobiet","Warsztat Terapii Zajęciowej","","Żułów","22310","Kraśniczyn","10-17-99"
"102","60","kraśnicki","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej ","Folwark 20","Gościeradów ","23275","Gościeradów ","11-04-01"
"103","61","lubartowski","Stowarzyszenie Inicjatyw Edukacyjnych ,,Pro Educatio""","Warsztat Terapii Zajęciowej ","Unicka 5B","Ostrów Lubelski","21110","Ostrów Lubelski","12-01-09"
"104","61","lubartowski","Polskie Towarzystwo Walki z Kalectwem","Warsztat Terapii Zajęciowej ","Przechodnia 9a","Kock","21150","Kock","12-01-09"
"105","62","lubelski","Fundacja ""Między Nami""","Warsztat Terapii Zajęciowej ","","Krężnica Jara 498","20515","Lublin 51","01-12-98"
"106","63","łęczyński","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej  w Janowicy","","Janowica 27","21070","Cyców","06-16-05"
"107","64","łukowski","Miasto Stoczek Łukowski","Warsztat Terapii Zajęciowej ","Piłsudskiego 32","Stoczek Łukowski","21420","Stoczek Łukowski","02-15-99"
"108","64","łukowski","Stowarzyszenie Centrum Przedsiębiorczości, Integracji i Edukacji","Warsztat Terapii Zajęciowej ","Staropijarska 3","Łuków","21400","Łuków","10-02-05"
"109","65","opolski lub.","Stowarzyszenie na Rzecz Osób Niepełnosprawnych i Starszych","Warsztat Terapii Zajęciowej","11-go Listopada 5","Poniatowa","24320","Poniatowa","12-03-07"
"110","66","parczewski","CARITAS Diecezji Siedleckiej","Warsztat Terapii Zajęciowej","Kościelna 53","Parczew","21200","Parczew","12-02-09"
"111","67","puławski","Puławskie Stowarzyszenie Ochrony Zdrowia Psychicznego","Warsztat Terapii Zajęciowej","Wróblewskiego 21","Puławy","24100","Puławy","04-02-05"
"112","67","puławski","Puławskie Stowarzyszenie Na Rzecz Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej","6-go Sierpnia 20","Puławy","24100","Puławy","03-02-00"
"113","67","puławski","Nałęczowskie Stowarzyszenie Charytatywne","Warsztat Terapii Zajęciowej","Spółdzielcza 17a","Nałęczów","24150","Nałęczów","07-02-01"
"114","68","radzyński","Gmina Komarówka Podlaska","Warsztat Terapii Zajęciowej ","","Kolembrody","21311","Komarówka Podlaska","12-29-12"
"115","69","rycki","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Rykach","Warsztat Terapii Zajęciowej","Wyczólkowskiego 12","Ryki","08500","Ryki","12-16-07"
"116","69","rycki","Miasto Dęblin","Warsztat Terapii Zajęciowej","Niepodległości 8","Dęblin","08530","Dęblin","12-15-08"
"117","70","świdnicki lub.","Stowarzyszenie Integracji Społecznej","Warsztat Terapii Zajęciowej","Partyzancka 42","Mełgiew","21007","Mełgiew","12-02-07"
"118","70","świdnicki lub.","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło w Świdniku","Warsztaty Terapii Zajeciowej ","T. Kościuszki","Świdnik","21040","Świdnik","06-09-02"
"119","71","tomaszowski lub.","Urząd Gminy","Warsztat Terapii Zajęciowej ","","Grabowica","22672","Susiec","11-02-12"
"120","71","tomaszowski lub.","Urząd Gminy","Warsztat Terapii Zajęciowej ","","Muratyn","22650","Łaszczów","11-30-06"
"121","71","tomaszowski lub.","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym","Warsztat Terapii Zajęciowej ","Siwa Dolina 2A","Tomaszów Lubelski","22600","Tomaszów Lubelski","07-18-99"
"122","72","włodawski","Miejski Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej przy MOPS we Włodawie","Sztabowa 3","Włodawa","22200","Włodawa","02-03-01"
"123","73","zamojski","Gmina Krasnobród","Warsztat Terapii Zajęciowej ","","Dominikanówka 92","22440","Krasnobród","06-16-04"
"124","73","zamojski","Gmina Komarów Osada","Warsztat Terapii Zajęciowej ","","Wolica Brzozowa 22A","22435","Komarów Osada","12-06-06"
"125","73","zamojski","Gmina Sułów","Warsztat Terapii Zajęciowej ","","Rozłopy 70","22448","Sułów","11-09-08"
"126","73","zamojski","Gmina Zwierzyniec","Warsztat Terapii Zajęciowej ","Partyzantów  3B","Zwierzyniec","22470","Zwierzyniec","11-30-07"
"127","73","zamojski","Gmina Skierbieszów","Warsztat Terapii Zajęciowej ","","Lipina Stara 48","22420","Skierbieszów","11-22-12"
"128","74","Biała Podlaska","Spółdzielnia Inwalidów ""ELREMET""","Warsztat Terapii Zajęciowej ","Prosta 35","Biała Podlaska","21500","Biała Podlaska","09-02-98"
"129","74","Biała Podlaska","Caritas Diecezji Siedleckiej","Warsztat Terapii Zajęciowej ","Warszawska 15","Biała Podlaska","21500","Biała Podlaska","12-28-11"
"130","75","Chełm","Integracyjne Stowarzyszenie Osób Niepełnosprawnych ""PROMETEUSZ"" ","Warsztat Terapii Zajęciowej ","Połaniecka 10","Chełm","22100","Chełm","12-17-02"
"131","75","Chełm","Ośrodek Pomocy Osobom Niepełnosprawnym przy Parafii Miłosierdzia Bożego  ","Warsztat Terapii Zajęciowej ","Lubelska 135E","Chełm","22100","Chełm","12-02-07"
"132","76","Lublin","Spółdzielnia Niewidomych im. M. Sękowskiego","Warsztat Terapii Zajęciowej","Głowackiego 35","Lublin","20060","Lublin","06-02-97"
"133","76","Lublin","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną-Koło","Warsztat Terapii Zajęciowej","Rogowskiego 5","Lublin","20840","Lublin","07-02-98"
"134","76","Lublin","Stowarzyszenie ""Źródło"" Osób Niepełnosprawnych Umysłowo, ich Rodzin i Przyjaciół","Warsztat Terapii Zajęciowej im. T. Klimczaka","Gospodarcza 32","Lublin","20214","Lublin","09-02-98"
"135","76","Lublin","Fundacja Aktywator","Warsztat Terapii Zajęciowej","Al. Spółdzielczości Pracy 65","Lublin","20147","Lublin","10-04-98"
"136","76","Lublin","Fundacja Teatroterapia Lubelska","Warsztat Terapii Zajęciowej","Jastrzębia 3","Lublin","20323","Lublin","10-02-99"
"137","76","Lublin","Lubelskie Towarzystwo Dobroczynności","Warsztat Terapii Zajęciowej","Konrada Wallenroda 2A","Lublin","20607","Lublin","12-02-99"
"138","76","Lublin","Stowarzyszenie ""Źródło"" Osób Niepełnosprawnych Umysłowo, ich Rodzin i Przyjaciół","Warsztat Terapii Zajęciowej","Radzyńska 3","Lublin","20850","Lublin","12-02-01"
"139","76","Lublin","Stowarzyszenie na Rzecz Dzieci i Młodzieży Niepełnosprawnej Ruchowo","Warsztat Terapii Zajęciowej","Doświadczalna 46","Lublin","20236","Lublin","12-16-07"
"140","76","Lublin","Charytatywne Stowarzyszenie Niesienia Pomocy Chorym ""Misericordia""","Warsztat Terapii Zajęciowej ""MISERICORDIA""","Głuska 138","Lublin","20380","Lublin","12-28-10"
"141","77","Zamość","Stowarzyszenie Pomocy Dzieciom Niepełnosprawnym ""Krok za Krokiem""","Warsztat Terapii Zajęciowej ","Kopernika 5","Zamość","22400","Zamość","12-02-07"
"142","77","Zamość","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej ","Generała Orlicz-Dreszera 14","Zamość","22400","Zamość","11-02-97"
"143","77","Zamość","Parafia Rzymskokatolicka św. Michała Archanioła w Zamościu","Warsztat Terapii Zajęciowej ","Podchorążych 2","Zamość","22400","Zamość","10-02-03"
"144","78","gorzowski","Gmina Kłodawa","Warsztat Terapii Zajęciowej","Lipowa 38","Chwalęcice","66415","Kłodawa","05-11-99"
"145","78","gorzowski","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej","Stawna 40","Kamień Wielki","66460","Witnica","11-15-99"
"146","79","krośnieński (odrzański)","Urząd Gminy Krosno Odrzańskie","Warsztat Terapii Zajęciowej","Piastów 10H","Krosno Odrzańskie","66600","Krosno Odrzańskie","12-23-04"
"147","79","krośnieński (odrzański)","Urząd Gminy o statusie miejskim w Gubinie","Warsztat Terapii Zajęciowej","Gdańska 17","Gubin","66620","Gubin","12-28-08"
