@type|@id|@lat|@lon|addr:city|addr:housenumber|addr:postcode|addr:street|email|contact:email|fax|name|full_name|short_name|alt_name|phone|contact:phone|website
node|6727411090|49.9997801|18.4597454|||||sekretariat@psse.wodzislaw.pl|||Powiatowa Stacja Sanitarno-Epidemiologiczna||||+48324563810||www.psse.wodzislaw.pl
node|6815087887|51.3764414|20.2885348|||26-300|||||Powiatowa Stacja Sanitarno-Epidemiologiczna w Opocznie||||||http://psse.opoczno.pl
node|6876451295|52.3499988|14.5577793|Słubice|6|69-100|Adama Mickiewicza||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||
node|6885557385|50.2738796|19.1437225|||41-200||psse.sosnowiec@pis.gov.pl|||Powiatowa Stacja Sanitarno-Epidemiologiczna||||322662823||http://www.psse.sosnowiec.pl
node|7180862940|52.9121525|22.5110592|Wysokie Mazowieckie|9|18-200|1 Maja|pssewysmaz@wp.pl||+48 86 275 25 85|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wysokiem Mazowieckiem|PSSE w Wysokiem Mazowieckiem|Sanepid w Wysokiem Mazowieckiem|+48 86 275 25 91||https://www.gov.pl/web/psse-wysokie-mazowieckie
node|7234955077|51.2452158|22.5466421||||||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||https://psselublin.pis.gov.pl/
node|7288597652|53.4149305|14.5554802|||||wsse.szczecin@pis.gov.pl; kancelaria@wsse.szczecin.pl||+48 91 462-46-40|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Szczecinie||WSSE Szczecin||+48 91 462-40-60||http://wsse.szczecin.pl/
node|7318684248|54.3586362|18.6543148||||||psse.gdansk@pis.gov.pl||Powiatowa Stacja Sanitarno-Epidemiologiczna w Gdańsku||||+48 58 320 08 00||https://www.psse.gda.pl/
node|7335182054|52.6545631|19.1031778|Włocławek|45|87-800|Płocka||||Powiatowa Stacja Sanitarno-Epidemiologiczna we Włocławku||||+48 54 413 71 92||
node|7337269261|51.1198966|17.0275496||||||||Wojewódzka Stacja Sanitarno-Epidemiologiczna||sanepid||||http://www.wsse.wroc.pl/
node|7389421288|53.0092445|18.5712356|Toruń|1|87-100|Szosa Bydgoska||||Powiatowa Stacja Sanitarno - Epidemiologiczna w Toruniu||Sanepid Toruń|Sanepid Toruń|+48 56 622 50 29||https://torun.psse.gov.pl/
node|7394687848|52.6568317|19.0622341|Włocławek|16|87-800|Jana Kilińskiego||||Powiatowa Stacja Sanitarno-Epidemiologiczna we Włocławku||Sanepid Włocławek|sanepid Włocławek|+48 54 411 68 33||www.pssewloclawek.pl
node|7471885252|52.8748882|18.6964083||||||||Powiatowa Stacja Sanitarno-Epidemiologiczna w Aleksandrowie Kujawskim||Sanepid Aleksandrów Kujawski||||
node|7538570829|49.6876128|19.2052867|||||psse.zywiec@pis.gov.pl||+48 33 866 67 73|Powiatowa Stacja Sanitarno-Epidemiologiczna||||+48 33 861 21 37; +48 33 866 67 72; +48 605 538 283||http://www.psse.zywiec.pl/
node|7548747878|50.3211901|19.1825889||||||||Powiatowa Stacja Sanitarno - Epidemiologiczna||||||
node|7595781965|51.2355272|20.8665628||||||||Powiatowa Stacja Sanitarno-Epidemiologiczna w Szydłowcu||||||
node|7652127084|53.2599019|14.4897157|||||psse.gryfino@pis.gov.pl;sekretariat@pssegryfino.pl||+48 91 416 38 58|Powiatowa Stacja Sanitarno-Epidemiologiczna w Gryfinie||PSSE Gryfino||+48 91 416 23 43; +48 91 416 38 58||https://pssegryfino.pis.gov.pl/index.php
node|7816057767|51.6248548|21.9351766|Ryki|2|08-500|Stanisława Poniatowskiego|psse.ryki@pis.gov.pl||+48 81 865 16 37|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Rykach|PSSE w Rykach|Sanepid w Rykach|+48 81 865 16 37||www.gov.pl/web/psse-ryki
node|8524107531|53.9200156|15.1965525|||||psse.gryfice@pis.gov.pl|||Powiatowa Stacja Sanitarno-Epidemiologiczna w Gryficach||||||
node|8789278921|52.0485637|19.2151846|Łęczyca|18|99-100|Adama Mickiewicza||||Powiatowa Stacja Sanitarno – Epidemiologiczna||||||
node|8893578711|50.8722807|20.6051764|Kielce|68|25-734|Jagiellońska|wsse.kielce@pis.gov.pl||+48 41 345 18 73|Wojewódzka Stacja Sanitarno-Epidemiologiczna|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Kielcach|WSSE w Kielcach|Sanepid w Kielcach|+48 22 250 01 15||https://www.gov.pl/web/wsse-kielce
node|8925865016|52.1553282|20.9847375|||||import.gsse.warszawa@sanepid.gov.pl|||Graniczna Stacja Sanitarno-Epidemiologiczna||||+48 22 345 64 00||
node|9344092070|52.6297414|20.3755811|||||plonsk@psse.waw.pl|||Powiatowa Stacja Sanitarno-Epidemiologiczna w Płońsku||||+48 23 662 28 39||https://www.gov.pl/web/psse-plonsk/psse-plonsk
node|9646450966|51.3105013|17.0600751||||||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||
node|10067605777|52.5421384|19.6960375||||||||Powiatowa Stacja Sanitarno - Epidemiologiczna w Płocku||||||
node|10210062520|50.5166278|22.1575245|||||sekretariat.psse.nisko@sanepid.gov.pl|||Powiatowa Stacja Sanitarno-Epidemiologiczna||PSSE Nisko||+48 15 841 20 10||https://www.gov.pl/web/psse-nisko
node|10313727053|51.2904454|22.8786949|||||psse.leczna@pis.gov.pl||+48 81 752 31 67|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Łęcznej|PSSE w Łęcznej|Sanepid w Łęcznej|+48 81 752 31 67||https://www.gov.pl/web/psse-leczna
node|10313739624|50.0164027|22.6800911|||||psse.jaroslaw@pis.gov.pl||+48 16 621 25 18|Powiatowa Stacja Sanitarno-Epidemiologiczna Jarosław||PSSE Jarosław|Sanepid|+48 16 624 24 40||https://www.gov.pl/web/psse-jaroslaw
node|10313766915|51.4135037|21.9632108|||||psse.pulawy@pis.gov.pl||+48 81 886 48 91|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Puławach|PSSE w Puławach|Sanepid w Puławach|+48 81 886 48 91||www.gov.pl/web/psse-pulawy
node|10313774606|51.2271156|22.6995673|||||psse.swidnik@pis.gov.pl||+48 81 468 70 20|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Świdniku|PSSE w Świdniku|Sanepid w Świdniku|+48 81 745 56 10||https://www.gov.pl/web/psse-swidnik
node|10313775975|52.0758000|23.5139000|||||gsse.koroszczyn@pis.gov.pl||+48 83 375 30 26|Graniczna Stacja Sanitarno-Epidemiologiczna w Koroszczynie||GSSE w Koroszczynie|Sanepid w Koroszczynie|+48 83 375 30 56||www.gssekoroszczyn.pis.gov.pl
node|10313780611|50.6965445|22.4277329|||||psse.janowlubelski@pis.gov.pl||+48 15 872 47 62|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Janowie Lubelskim|PSSE w Janowie Lubelskim|Sanepid w Janowie Lubelskim|+48 15 872 54 00||www.gov.pl/web/psse-janow-lubelski
node|10313780612|50.2775410|23.5890475|||||gsse.hrebenne@pis.gov.pl||+48 84 667 41 33|Graniczna Stacja Sanitarno-Epidemiologiczna|Graniczna Stacja Sanitarno-Epidemiologiczna w Hrebennem|GSSE w Hrebennem|Sanepid w Hrebennem|+48 84 539 61 20||https://www.gov.pl/web/gsse-hrebenne
node|10313789464|51.1805321|23.8023127|Dorohusk||22-175||gsse.dorohusk@pis.gov.pl||+48 82 566 17 14|Graniczna Stacja Sanitarno-Epidemiologiczna|Graniczna Stacja Sanitarno-Epidemiologiczna w Dorohusku|GSSE w Dorohusku|Sanepid w Dorohusku|+48 82 566 17 14||www.gssedorohusk.pis.gov.pl
node|10313812294|49.6922990|22.0086313|||||psse.brzozow@pis.gov.pl||+48 13 434 14 59|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Brzozowie|PSSE w Brzozowie|Sanepid|+48 13 434 14 59||https://www.gov.pl/web/psse-brzozow
node|10313829042|49.4328471|22.6029547|Ustrzyki Dolne|53|38-700|29 Listopada|psse.ustrzykidolne@pis.gov.pl||+48 13 461 28 06|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Ustrzykach Dolnych|PSSE w Ustrzykach Dolnych|Sanepid|+48 13 461 28 06||https://www.gov.pl/web/psse-ustrzyki-dolne
node|10313829043|49.7842520|22.7903972|||||przemysl@wsse.rzeszow.pl||+48 16 678 85 58|Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB|Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB w Przemyślu|WSSE (LAB) w Przemyślu|Sanepid w Przemyślu|+48 16 678 88 58||https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis
node|10313829044|49.7841584|22.7906767|||||psse.przemysl@pis.gov.pl||+48 16 670 07 38|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Przemyślu|PSSE w Przemyślu|Sanepid|+48 16 670 76 91||https://www.gov.pl/web/psse-przemysl
node|10313837066|49.7841715|22.7903927|||||gsse.przemysl@pis.gov.pl||+48 16 678 45 87|Graniczna Stacja Sanitarno-Epidemiologiczna Przemyśl||GSSE w Przemyślu|Sanepid|+48 16 678 27 86||https://www.gov.pl/web/gsse-przemysl
node|10313840514|49.8688520|21.7889757|||||psse.strzyzow@pis.gov.pl||+48 17 276 11 52|Powiatowa Stacja Sanitarno-Epidemiologiczna Strzyżów||PSSES|Sanepid|+48 17 276 11 52||https://www.gov.pl/web/psse-strzyzow/
node|10315292285|51.5582844|23.5533358|||||psse.wlodawa@pis.gov.pl||+48 82 572 14 05|Powiatowa Stacja Sanitarno-Epidemiologiczna||PSSE we Włodawie|Sanepid we Włodawie|+48 82 572 14 05||https://www.gov.pl/web/psse-wlodawa
node|10541989743|50.0468730|21.4021717|||||psse.debica@pis.gov.pl||+48 14 680 93 71|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Dębicy|PSSE w Dębicy|Sanepid|+48 14 680 93 70||https://www.gov.pl/web/psse-debica
node|10542083986|51.5313355|20.0219596|||||tomaszow@pis.lodz.pl||+48 44 724 51 17|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Tomaszowie Mazowieckim|PSSE w Tomaszowie Mazowieckim|Sanepid w Tomaszowie Mazowieckim|+48 44 724 49 35||www.gov.pl/web/psse-tomaszow-mazowiecki
node|10542085231|53.1525250|16.7171016|||||psse.pila@pis.gov.pl||+48 67 351 98 80|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Pile|PSSE w Pile|Sanepid w Pile|+48 67 212 52 98||http://www.psse-pila.pl/
node|10544439382|53.2669543|16.4608515|||||psse.walcz@pis.gov.pl||+48 67 258 23 31|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wałczu|PSSE w Wałczu|Sanepid w Wałczu|+48 67 258 23 31||pssewalcz.pis.gov.pl
node|10544441934|54.2474936|20.8139424|||||psse.bartoszyce@sanepid.olsztyn.pl||+48 89 762 21 50|Powiatowa Stacja Sanitarno-Epidemiologiczna Bartoszyce||PSSEB|Sanepid|+48 89 762 21 50||www.bip.psse-bartoszyce.pl
node|10544444922|52.8645741|21.0940786|||||makow@psse.waw.pl||+48 29 717 13 00|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Makowie Mazowieckim|PSSE w Makowie Mazowieckim|Sanepid w Makowie Maz.|+48 29 717 13 00||www.gov.pl/web/psse-makow-mazowiecki
node|10544449061|51.2951978|18.1608001|||||wieruszow@pis.lodz.pl||+48 62 783 19 90|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wieruszowie|PSSE w Wieruszowie|Sanepid w Wieruszowie|+48 62 783 19 90||www.gov.pl/web/psse-wieruszow
node|10544469270|52.7079214|21.0845115|||||pultusk@psse.waw.pl||+48 23 692 61 66|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Pułtusku|PSSE w Pułtusku|Sanepid w Pułtusku|+48 23 692 50 71||https://www.gov.pl/web/psse-pultusk
way|58670363|53.4476128|14.5186830|Szczecin|160||aleja Wojska Polskiego|gsse.szczecin@pis.gov.pl||"+48 91-462-32-71,30"|Graniczna Stacja Sanitarno-Epidemiologiczna w Szczecinie||GSSE Szczecin||+48 91-462-43-18||https://gsseszczecin.pl/
way|68076984|53.6911742|17.5699599|Chojnice|39|89-600|Marszałka Józefa Piłsudskiego|psse.chojnice@pis.gov.pl||+48 52 396 80 81|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Chojnicach|PSSE w Chojnicach|Sanepid w Chojnicach|+48 52 397 63 95||http://www.psse.chojnice.pl/
way|103724525|51.6612896|16.0957675|Głogów|4|67-200|Piotra Skargi||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||+48 76 727 25 94||
way|112465449|53.5876159|17.8599812|Tuchola|23|89-500|Plac Wolności|psse.tuchola@pis.gov.pl||+48 52 334 20 21|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Tucholi|PSSE w Tucholi|Sanepid w Tucholi|+48 52 334 20 21||https://www.gov.pl/web/psse-tuchola
way|137707567|54.5496894|18.4983875|Gdynia|4|81-155|Kontenerowa|gsse.gdynia@pis.gov.pl||+48 58 621 33 99|Graniczna Stacja Sanitarno-Epidemiologiczna w Gdyni||||+48 58 620 81 15||https://www.gov.pl/web/gsse-gdynia
way|143082630|51.3984478|16.1996660|Lubin|15|59-300|1 Maja||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||http://psse.lubin.ibip.wroc.pl/
way|154867618|53.1347382|18.0093325|Bydgoszcz|27|85-079|Tadeusza Kościuszki|psse.bydgoszcz@pis.gov.pl||+48 52 584 11 44|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Bydgoszczy|PSSE w Bydgoszczy|Sanepid w Bydgoszczy|+48 52 515 40 20||www.ppis.bydgoszcz.pl
way|166443925|50.2630513|22.4177250|Leżajsk|71|37-300|Adama Mickiewicza|psse.lezajsk@pis.gov.pl||+48 17 240 18 44|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Leżajsku|PSSE w Leżajsku|Sanepid|+48 17 242 07 54||https://www.gov.pl/web/psse-lezajsk
way|166878229|50.7161617|23.2605827|Zamość|96|22-400|Peowiaków|psse.zamosc@pis.gov.pl||+48 84 627 10 59|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Zamościu|PSSE w Zamościu|Sanepid w Zamościu|+48 84 639 36 91||https://www.gov.pl/web/psse-zamosc
way|169274608|54.3410121|18.2008856|Kartuzy|30A|83-300|Sambora||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||
way|175191654|50.8531888|19.9579951|Włoszczowa|38|29-100|Jana III Sobieskiego|psse.wloszczowa@pis.gov.pl||+48 41 394 34 96|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna we Włoszczowie|PSSE we Włoszczowie|Sanepid we Włoszczowie|+48 22 250 01 15||www.gov.pl/web/psse-wloszczowa
way|176543396|51.7987337|19.7542542|Brzeziny|3|95-060|Reformacka|psse.brzeziny@pis.gov.pl||+48 46 874 33 30|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Brzezinach|PSSE w Brzezinach|Sanepid w Brzezinach|+48 46 874 33 30||www.gov.pl/web/psse-brzeziny
way|176792408|51.2397654|22.5080161|Lublin|6|20-708|Pielęgniarek|wsse.lublin@pis.gov.pl||+48 81 743 46 86|Wojewódzka Stacja Sanitarno-Epidemiologiczna|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Lublinie|WSSE w Lublinie|Sanepid w Lublinie|+48 81 743 42 72||www.gov.pl/web/wsse-lublin
way|176990072|53.1312278|23.1745353|Białystok|57A||Warszawska||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||http://www.psse.bialystok.pl
way|178016971|49.6836390|21.7553384|Krosno|12|38-400|Stefana Kisielewskiego|psse.krosno@pis.gov.pl||+48 13 432 19 45|Powiatowa Stacja Sanitarno-Epidemiologiczna Krosno||PSSE w Krośnie|Sanepid w Krośnie|+48 13 432 19 42||https://www.gov.pl/web/psse-krosno
way|180955726|50.0872635|19.9379218|Kraków|76|31-202|Prądnicka|wsse@wsse.krakow.pl||+48 12 416 20 93|Wojewódzka Stacja Sanitarno-Epidemiologiczna|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Krakowie|WSSE w Krakowie|Sanepid w Krakowie|+48 12 254 95 55||https://www.gov.pl/web/wsse-krakow
way|188456450|53.4061986|22.8002338|Mońki|5|19-100|Tysiąclecia|sekretariat@monki.psse.gov.pl||+48 85 727 90 65|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Mońkach|PSSE w Mońkach|Sanepid w Mońkach|+48 85 716 26 17||https://www.gov.pl/web/psse-monki
way|193966866|52.7399091|15.2303818|Gorzów Wielkopolski|12b||Adama Mickiewicza||||Wojewódzka Stacja Sanitarno-Epidemiologiczna||||||
way|194112659|50.0655256|22.2293061|Łańcut|6|37-100|Adama Mickiewicza|psse.lancut@pis.gov.pl||+48 17 225 00 72|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Łańcucie|PSSE w Łańcucie|Sanepid|+48 17 225 00 70||https://www.gov.pl/web/psse-lancut
way|198079890|50.0340442|22.0145206|Rzeszów|16|35-959|Wierzbowa|dyzur@wsse.rzeszow.pl||+48 17 852 22 92|Wojewódzka Stacja Sanitarno-Epidemiologiczna|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Rzeszowie|WSSE w Rzeszowie|Sanepid w Rzeszowie|+48 17 852 21 11||https://wsse.rzeszow.pl/
way|201235187|50.0234820|21.9865656|Rzeszów|79a||Generała Jarosława Dąbrowskiego||||Powiatowa Stacja Sanitarno-Epidemiologiczna w Rzeszowie||||||http://psserzeszow.pl
way|203212569|53.3485636|18.4454291|Chełmno|2a|86-200|Łunawska|psse.chelmno@pis.gov.pl||+48 56 676 15 13|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Chełmnie|PSSE w Chełmnie|Sanepid w Chełmnie|+48 56 676 17 00||https://www.gov.pl/web/psse-chelmno/kontakt2
way|204687673|50.8999364|15.7291246|Jelenia Góra|17|58-500|Jana Kasprowicza|psse.jeleniagora@pis.gov.pl||+48 75 643 55 61|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Jeleniej Górze|PSSE w Jeleniej Górze|Sanepid w Jeleniej Górze|+48 75 643 55 60||https://www.gov.pl/web/psse-jelenia-gora
way|205446119|52.2022365|18.6292098|Koło|72|62-600|Toruńska|sekretariat.psse.kolo@sanepid.gov.pl||+48 63 272 22 79|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Kole|PSSE w Kole|Sanepid w Kole|+48 63 27 22 279||https://www.gov.pl/web/psse-kolo/
way|225922981|50.4667247|17.3323165||||||||Powiatowa Stacja Sanitarno-Epidemiologiczna||PSSE||||http://www.pssenysa.pl/
way|228861657|50.7264133|16.6473496|Dzierżoniów|36|58-200|Ignacego Krasickiego||||Sanepid||||+48748323333||https://www.gov.pl/web/psse-dzierzoniow/
way|234958269|51.6400602|15.1358001|Żary|23a;23A|68-200|Podchorążych||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||
way|236603295|53.1309354|23.1600534|Białystok|8||Legionowa||||Wojewódzka Stacja Sanitarno-Epidemiologiczna w Białymstoku|||Sanepid|+48857408540||https://www.wsse.bialystok.pl/
way|250058247|52.8393836|15.8358842|Drezdenko|11|66-530|Bolesława Chrobrego|pssedrezdenko@wsse.gorzow.pl||+48 95 762 08 99|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Drezdenku|PSSE w Drezdenku|Sanepid w Drezdenku|+48 95 762 05 20||https://www.gov.pl/web/psse-drezdenko
way|257675563|52.0314055|23.1095276|Biała Podlaska|18|21-500|Warszawska|psse.bialapodlaska@pis.gov.pl||+48 83 343 76 39|Powiatowa Stacja Sanitarno-Epidemiologiczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Białej Podlaskiej|PSSE w Białej Podlaskiej|Sanepid w Białej Podlaskiej|+48 83 344 41 60||https://www.gov.pl/web/psse-biala-podlaska
way|262734224|50.9743352|18.2172422|Kluczbork|8|46-200|Jagiellońska||||Powiatowa Stacja Sanitarno-Epidemiologiczna|||||77 418 2257|
way|267278323|50.1105403|18.5452037|Rybnik|1|44-200|Kapitana Leopolda Janiego||||Powiatowa Stacja Sanitarno-Epidemiologiczna||||||
way|267528780|49.5504327|22.2007078|Sanok|39|38-500|Jezierskiego|sanok@wsse.rzeszow.pl||+48 13 464 57 65|Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB|Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB w Sanoku|||+48 13 463 39 23||https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis
