__lat,__lon,addr:postcode,addr:city,addr:place,addr:street,addr:housenumber,email,fax,name,official_name,phone,website
19.5888,49.7418,34-200,Sucha Beskidzka,,ul. Mickiewicza,42,sekretariat@sucha-beskidzka.policja.gov.pl,+48 47 832 82 39,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Suchej Beskidzkiej,+48 47 832 82 11,sucha-beskidzka.policja.gov.pl
19.4985,49.8856,34-100,Wadowice,,ul. Piłsudskiego,37,komendant@wadowice.policja.gov.pl,+48 47 832 72 50,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Wadowicach,+48 47 832 72 00,www.wadowice.policja.gov.pl
20.0368,49.9831,32-020,Wieliczka,,ul. Jedynaka,30a,sekretariat@wieliczka.policja.gov.pl ,+48 47 834 11 82,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Wieliczce,+48 47 834 12 11,wieliczka.policja.gov.pl
19.9642,49.2947,34-500,Zakopane,,ul. Jagiellońska,32,kpp@zakopane.policja.gov.pl,+48 47 834 74 25,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Zakopanem,+48 47 834 74 00,www.zakopane.policja.gov.pl
21.1624,51.4137,26-600,Radom,,11 Listopada ,37/59,dyzurny.kwp@ra.policja.gov.pl,+48 47 701 22 45,Komenda Wojewódzka Policji zs.,Komenda Wojewódzka Policji zs. w Radomiu,+48 47 701 46 44,www.mazowiecka.policja.gov.pl
20.9989,52.2458,00-150,Warszawa,,Nowolipie,2,kancelaria@ksp.policja.gov.pl,+48 47 723 85 16,Komenda Stołeczna Policji,Komenda Stołeczna Policji,+48 47 723 66 26,www.policja.waw.pl
21.01786,52.22525,00-544,Warszawa,,Wilcza,21,dyzurny.krp1@ksp.policja.gov.pl,+48 47 723 63 03,Komenda Rejonowa Policji Warszawa I,Komenda Rejonowa Policji Warszawa I,+48 47 723 91 50,http://srodmiescie.policja.waw.pl/
21.0229,52.1942,02-617,Warszawa,,Malczewskiego,03.05.2007,dyzurny.krp2@ksp.policja.gov.pl,+48 22 844 99 96,Komenda Rejonowa Policji Warszawa II,Komenda Rejonowa Policji Warszawa II,+48 47 723 11 50,http://mokotow.policja.waw.pl/
20.9738,52.2108,02-368,Warszawa,,Opaczewska,8,dyzurny.krp3@ksp.policja.gov.pl,+48 47 723 62 54,Komenda Rejonowa Policji Warszawa III,Komenda Rejonowa Policji Warszawa III,+48 47 723 93 50,http://ochota.policja.waw.pl/
20.9745,52.2394,01-198,Warszawa,,Żytnia,36,oficer.prasowy.krp4@ksp.policja.gov.pl,+48 47 723 64 14,Komenda Rejonowa Policji Warszawa IV,Komenda Rejonowa Policji Warszawa IV,+48 47 723 94 50,http://wola.policja.waw.pl/
20.9594,52.2753,01-887,Warszawa,,Stefana Żeromskiego,7,oficer.prasowy.krp5@ksp.policja.gov.pl,+48 47 723 63 60,Komenda Rejonowa Policji Warszawa V,Komenda Rejonowa Policji Warszawa V,+48 47 723 71 55,http://zoliborz.policja.waw.pl/
21.0181,52.2682,03-301,Warszawa,,Jagiellońska,51,oficer.prasowy.krp6@ksp.policja.gov.pl,+48 47 723 72 37,Komenda Rejonowa Policji Warszawa VI,Komenda Rejonowa Policji Warszawa VI,+48 47 723 75 55,http://pragapn.policja.waw.pl/
21.0760,52.2443,04-007,Warszawa,,Grenadierów,73/75,KSP Komendant KRP VII/KSP/Policja@Policja,+48 47 723 75 44,Komenda Rejonowa Policji Warszawa VII,Komenda Rejonowa Policji Warszawa VII,+48 47 723 76 55,http://pragapd.policja.waw.pl/
20.6284,52.1070,05-825,Grodzisk Mazowiecki,,Władysława Bartniaka,19,komendant.grodzisk-maz@ksp.policja.gov.pl,+48 22 755 60 14,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Grodzisku Mazowieckim,+48 47 744 22 00,http://kppgrodzisk.policja.waw.pl/
20.9257,52.4027,05-120,Legionowo,,Jagiellońska ,26B,kpp.legionowo@ksp.policja.gov.pl,+48 47 724 82 07,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Legionowie,+48 22 774 27 77,http://kpplegionowo.policja.waw.pl/
21.5577,52.1786,05-300,Mińsk Mazowiecki,,ks. kard. Stefana Wyszyńskiego,15/17,oficer.prasowy.minsk-maz@ksp.policja.gov.pl,+48 25 759 72 01,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Mińsku Mazowieckim,+48 25 759 72 00,http://kppminsk.policja.waw.pl/
20.7210,52.4264,05-100,Nowy Dwór Mazowiecki,,Ignacego Paderewskiego,3,dyzurny.nowy-dwor-maz@ksp.policja.gov.pl,+48 47 724 42 07,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Nowym Dworze Mazowieckim,+48 22 775 22 01,http://kppnowydwor.policja.waw.pl/
21.2724,52.0974,05-400,Otwock,,Kazimierza Pułaskiego,7A,oficer.prasowy.otwock@ksp.policja.gov.pl,+48 47 724 12 07,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Otwocku,+48 47 724 19 00,http://kppotwock.policja.waw.pl/
21.0265,52.0743,05-500,Piaseczno,,Kościelna,3,dyzurny.piaseczno@ksp.policja.gov.pl,+48 47 724 52 07,Komenda Powiatowa Policji,Komenda Powiatowa Policji w Piasecznie,+48 47 724 52 13,http://kpppiaseczno.policja.waw.pl/
