@type|@id|@lat|@lon|addr:city|addr:housenumber|addr:postcode|addr:street|email|fax|name|official_name|phone|short_name|website
node|7313019071|49.6686926|21.1720455|||||biuro@gorlice.pinb.gov.pl|+48 18 353 02 34|Powiatowy Inspektorat Nadzoru Budowlanego||+48 18 354 00 65|PINB w Gorlicach|http://bip.malopolska.pl/pinbgorlice/
node|7594296302|50.9649332|22.1722290|Kraśnik|10a|23-204|Aleja Niepodległości|biuro@pinbkrasnik.pl|+48 81 825 31 07|Powiatowy Inspektorat Nadzoru Budowlanego||+48 81 825 31 07|PINB w Kraśniku|https://pinbkrasnik.bip.gov.pl/
node|7653046048|53.2601859|14.4898652|||||nadzor.bud@gryfino.powiat.pl|+48 91 415 02 13|Powiatowy Inspektorat Nadzoru Budowlanego w Gryfinie||+48 91 415 02 13; +48 91 415 03 13|PINB Gryfino|http://www.pinbgryfino.pl/
node|7998118034|52.8988352|16.5589314|||||||Powiatowy Inspektorat Nadzoru Budowlanego w Czarnkowie||||
node|8315014956|51.3912208|21.1614497|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|8442457307|50.5003692|19.4259629|||||||Powiatowy Inspektorat Nadzoru Budowlanego||+48326702074||http://pinb-zawiercie.pl/
node|8789278922|52.0485337|19.2150616|Łęczyca|18|99-100|Adama Mickiewicza|||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|8826112992|52.1642705|20.7903676|Pruszków|4|05-800|Stanisława Staszica|kancelaria@pinbpruszkow.pl||Powiatowy Inspektorat Nadzoru Budowlanego||+48 22 490 99 07|PINB w Pruszkowie|https://pinbpruszkow.pl/
node|9557548184|50.0896159|18.5421244|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|10075403602|54.1890927|16.1932113|||||pinb-koszalin@szczecin.uw.gov.pl||Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Koszalin|Powiatowy Inspektorat Nadzoru Budowlanego dla miasta na prawach powiatu w Koszalinie|+48 94 342 85 00||http://www.pinb.koszalin.pl/index.html
node|10172575057|51.5574384|23.5535198|||||pinb_w@op.pl|+48 82 545 10 19|Powiatowy Inspektorat Nadzoru Budowlanego||+48 82 572 58 98|PINB we Włodawie|pinbwlodawa.pl
node|10313998251|51.3029682|17.0695128|||||pinb@powiat.trzebnica.pl||Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Trzebnicy|+48 71 387 95 70|PINB w Trzebnicy|http://www.pinb.trzebnica.pl/
node|10314036598|51.1135093|20.8582898|||||pinb.skarzysko@neostrada.pl|+48 41 252 31 65|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Skarżysku-Kamiennej|+48 41 252 31 65|PINB w Skarżysku-Kamiennej|www.powiat.skarzyski.lo.pl
node|10314062291|51.2984388|22.8867542|||||pinb.leczna@neostrada.pl|+48 81 752 32 33|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Łęcznej|+48 81 752 32 33|PINB w Łęcznej|https://pinbleczna.bip.gov.pl
node|10314071491|51.2272143|22.6990191|||||pinb10@o2.pl|+48 81 468 70 78|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Świdniku|+48 81 468 70 78|PINB w Świdniku|www.swidnik.pinb.pl
node|10314072108|50.4471390|23.4151439|||||pinb.tomaszow@wp.pl|+48 84 664 31 90|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Tomaszowie Lubelskim|+48 84 664 31 90|PINB w Tomaszowie Lubelskim|www.pinb-tomaszow-lubelski.pl
node|10314073466|50.5284150|22.7164484|||||pinbbilgoraj@op.pl|+48 84 686 70 93|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Biłgoraju|+48 84 686 70 93|PINB w Biłgoraju|http://pinbbilgoraj.nbip.pl
node|10314073946|51.2469304|22.5538954|||||sekretariat@pinb.lublin.pl|+48 81 534 47 73|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Lublinie (powiat grodzki)|+48 81 534 47 72|PINB w Lublinie (powiat grodzki)|www.pinb.lublin.pl
node|10314074302|50.7168817|23.2512312|||||pinb@pinb.zamosc.pl|+48 84 639 28 22|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Zamościu (powiat grodzki)|+48 84 639 28 22|PINB w Zamościu (powiat grodzki)|https://bip.pinb.zamosc.pl
node|10314081095|51.2470929|22.5535534|Lublin|3|20-027|Hipoteczna|biuro@pinbpowiat.lublin.pl||Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Lublinie (powiat ziemski)|+48 81 532 29 49|PINB w Lublinie (powiat ziemski)|http://www.pinbpowiat.lublin.pl
node|10314081965|50.9823741|23.1617723|||||pinbkrasnystaw@onet.pl||Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Krasnymstawie|+48 82 576 66 43|PINB w Krasnymstawie|
node|10314082194|51.9305959|22.3787096|||||pinblukow@wp.pl|+48 25 798 97 41|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Łukowie|+48 25 798 97 41|PINB w Łukowie|www.pinb.lukow.pl
node|10314082196|52.1685982|22.2763056|||||pinb@powiatsiedlecki.pl||Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Siedlcach|+48 25 633 93 16|PINB w Siedlcach|https://pinbsiedlce.bip.gov.pl/
node|10314084534|52.0352165|23.1272356|||||pinb_bp@poczta.onet.pl|+48 83 351 13 29|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Białej Podlaskiej (powiat ziemski)|+48 83 351 13 39|PINB w Białej Podlaskiej (powiat ziemski)|https://pinbbialapodlaska.bip.lubelskie.pl/
node|10314087172|50.7026546|22.4187216|||||pinb_janow@wp.pl|+48 15 872 34 80|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Janowie Lubelskim|+48 15 872 34 80|PINB w Janowie Lubelskim|www.pinb.powiatjanowski.pl
node|10314088219|51.6245517|21.9273157|||||pinbryki@wp.pl|+48 81 865 32 11|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Rykach|+48 81 865 32 11|PINB w Rykach|pinbryki.wordpress.com
node|10314091827|54.7198840|18.4143698|||||pinb.puck@gda.winb.gov.pl|+48 58 673 42 12|Powiatowy Inspektorat Nadzoru Budowlanego||+48 58 673 42 12|PINB w Pucku|http://bip.puck.gda.winb.gov.pl/
node|10314097084|51.4138017|21.9631597|||||pinbpulawy@interia.eu|+48 81 886 11 10|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Puławach|+48 81 886 11 10|PINB w Puławach|www.pulawy.powiat.pl
node|10314098686|50.7155295|23.2604898|||||pinbwzamosciu@op.pl|+48 84 627 28 41|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Zamościu (powiat ziemski)|+48 84 627 28 41|PINB w Zamościu (powiat ziemski)|
node|10314100212|51.1330322|23.4938844|||||pinb@powiatchelmski.pl|+48 82 562 75 78|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Chełmie (powiat ziemski)|+48 82 562 75 78|PINB w Chełmie (powiat ziemski)|www.powiat.chelm.pl
node|10314105814|54.6006517|18.2216962|||||pinb@wejherowo.gda.winb.gov.pl|+48 58 672 95 68|Powiatowy Inspektorat Nadzoru Budowlanego||+48 58 672 21 70|PINB w Wejherowie|http://wejherowo.gda.winb.gov.pl
node|10541939102|49.6923282|22.0088737|||||pinb.brzozow@op.pl|+48 13 434 22 83|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Brzozowie|+48 13 434 22 83|PINB w Brzozowie|http://www.pinb-brzozow.internetdsl.pl/
node|10541969059|49.4330809|22.5861265|||||ustrzykidolne@pinb.info.pl|+48 13 471 16 75|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Ustrzykach Dolnych|+48 13 471 16 76|PINB w Ustrzykach Dolnych|https://ustrzykidolne.pinb.pl/
node|10541972514|49.4709501|22.3295236|||||pinblesko@op.pl|+48 13 492 72 77|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Lesku|+48 13 469 71 48|PINB w Lesku|pinb@powiat-leski.pl
node|10541977442|49.8695634|21.7886219|||||pinbstrzyzow@op.pl|+48 17 276 03 80|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Strzyżowie|+48 17 276 03 80|PINB w Strzyżowie|http://strzyzow.pinb.pl/
node|10541977443|50.2463136|21.7826237|||||pinb.kolbuszowa@interia.pl|+48 17 227 57 21|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Kolbuszowej|+48 17 227 58 20|PINB w Kolbuszowej|http://bip.powiat.kolbuszowa.pl/bip_kolbuszowa/index.jsp?place=Menu02&news_cat_id=21&layout=1&page=0
node|10541978241|50.0523793|21.6162271|||||pinb@spropczyce.pl|+48 17 222 89 40|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Ropczycach|+48 17 222 89 41|PINB w Ropczycach|http://bip.spropczyce.pl/
node|10541982629|53.2671106|16.4614457|||||pinbwalcz@wp.pl||Powiatowy Inspektorat Nadzoru Budowlanego||+48 67 352 35 16|PINB w Wałczu|bip.pinb.powiatwalecki.pl
node|10541987897|49.6788955|21.7748356|||||pinbkrosno@op.pl|+48 13 437 57 82|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Krośnie|+48 13 437 57 82|PINB w Krośnie|http://bip.zetorzeszow.pl/pinbkrosno/
node|10541989744|50.0470362|21.4024646|||||pinbdebica@interia.pl|+48 14 683 40 30|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Dębicy|+48 14 683 40 30|PINB w Dębicy|http://www.pinbdebica.pl/
node|10541991711|49.6787863|21.7749164|Krosno|1|38-400|Bieszczadzka|pinbkrosno@gmail.com|+48 13 420 20 50|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Krosno|+48 13 420 20 50|PINB dla miasta Krosno|http://pinb.umkrosno.pl/
node|10541994168|50.0412826|22.0098801|||||pinb@powiat.rzeszow.pl|+48 17 862 62 17|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Rzeszowie|+48 17 862 62 68|PINB w Rzeszowie|https://bip.powiat.rzeszow.pl/?c=mdTresc-cmPokaz-1738#POWIATOWY%20INSPEKTORAT%20NADZORU%20BUDOWLANEGO%20W%20RZESZOWIE
node|10582455212|51.2506414|22.5524123|||||sekretariat@lublin.winb.gov.pl|+48 81 534 71 98|Wojewódzki Inspektorat Nadzoru Budowlanego|Wojewódzki Inspektorat Nadzoru Budowlanego w Lublinie|+48 81 534 71 84||www.lublin.winb.gov.pl
way|97974756|52.1677287|22.2716988|Siedlce|45|08-110|Józefa Piłsudskiego|kancelaria@pinb.siedlce.pl|+48 25 794 39 76|Powiatowy Inspektorat Nadzoru Budowlanego Miasta Siedlce||+48 25 794 39 70||https://pinbmiastasiedlce.bip.gov.pl
way|129769865|49.7487782|18.6349651|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
way|132507265|50.0661378|22.2288516|Łańcut|9|37-100|Józefa Piłsudskiego|pinb.lancut@o2.pl|+48 17 225 69 67|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Łańcucie|+48 17 225 69 67|PINB w Łańcucie|https://pinblancut.bip.gov.pl/
way|194427949|51.1087847|15.5811082|Lwówek Śląski|25D|59-600|aleja Wojska Polskiego|pinb@powiatlwowecki.pl|+48 75 782 36 54|Powiatowy Inspektorat Nadzoru Budowlanego||+48 75 782 28 23||https://pinb.pl/prezentacje/dolnoslaskie/lwowekslaski/
way|199832370|50.0387180|22.0111424|Rzeszów|5|35-065|8 Marca|biuro@winb.rzeszow.pl|+48 17 862 33 22|Wojewódzki Inspektorat Nadzoru Budowlanego|Wojewódzki Inspektorat Nadzoru Budowlanego w Rzeszowie|+48 17 852 78 29||http://www.winb.rzeszow.pl/
way|209412521|52.1053232|21.2358241|Otwock|52|05-400|Sołecka|sekretariat@pinbotwock.pl|+48 22 788 90 13|Powiatowy Inspektorat Nadzoru Budowlanego||+48 22 788 90 13|PINB w Otwocku|www.pinbotwock.pl
way|220402788|53.1169237|23.1160150|Białystok|6||Handlowa|||Wojewódzki Inspektorat Nadzoru Budowlanego||+48857481270||https://www.winb.bialystok.pl/
way|237111271|49.7805036|22.7892645|Przemyśl|5|37-700|Henryka Siemiradzkiego|pinb@mprzemysl.pl|+48 16 678 91 61|Inspektorat Nadzoru Budowlanego dla miasta Przemyśl||+48 16 678 91 61||http://www.pinb.mprzemysl.pl/
way|237978691|52.5386491|19.6977602|Płock|4||Plac generała Jarosława Dąbrowskiego|||Powiatowy Inspektorat Nadzoru Budowlanego||||
way|276842205|49.5563963|22.2156804|Sanok|74|38-500|Aleja Wojska Polskiego|sekretariat@pinb.sanok.pl|+48 13 464 19 72|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Sanoku|+48 13 464 19 72|PINB w Sanoku|http://pinb.sanok.pl/
way|358721964|51.1450457|21.9501761|Opole Lubelskie|2|24-300|Parkowa|pinbopole@op.pl|+48 81 827 27 32|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Opolu Lubelskim|+48 81 827 27 32|PINB w Opolu Lubelskim|www.pinbopolelub.e-bip.org.pl
way|359321971|51.4642889|22.6054824|Lubartów|64|21-100|Klemensa Junoszy Szaniawskiego|pinb.lubartow@poczta.fm|+48 81 855 30 11|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Lubartowie|+48 81 854 54 45|PINB w Lubartowie|http://pinb.powiatlubartowski.pl
way|365479845|51.7830634|22.6195877|Radzyn Podlaski|18|21-300|Ostrowiecka|pinbradzyn@pra.pl||Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Radzyniu Podlaskim|+48 83 352 74 15|PINB w Radzyniu Podlaskim|www.pinbradzyn.bip.lubelskie.pl
way|365739212|49.6908889|19.1967822|Żywiec|30|34-300|Bracka|||Powiatowy Inspektorat Nadzoru Budowlanego||||
way|367020141|50.8054251|23.8913766|Hrubieszów|8|22-500|Plac Wolności|pinb.hrub@op.pl|+48 84 696 29 04|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Hrubieszowie|+48 84 696 29 04|PINB w Hrubieszowie|
way|405609369|49.7417624|21.4759130|Jasło|3|38-200|Kochanowskiego|jaslopinb@wp.pl|+48 13 448 20 76|Powiatowy Inspektorat Nadzoru Budowlanego|Powiatowy Inspektorat Nadzoru Budowlanego w Jaśle|+48 13 448 20 76|PINB w Jaśle|http://pinb-jaslo.bip.gov.pl/
way|700727246|53.1135055|20.3772413|Mława|4|06-500|Władysława Stanisława Reymonta|pinb.mlawa@op.pl|+48 23 655 29 11|Powiatowy Inspektorat Nadzoru Budowlanego||+48 23 655 29 11|PINB w Mławie|www.pinbmlawa.pl
way|771416524|52.5313356|17.6034143|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
