government,official_name,name,addr:postcode,addr:city,addr:place,addr:street,addr:housenumber,phone,fax,email,website
tax,Urząd Skarbowy w Lubinie,Urząd Skarbowy,59-300,Lubin,,Marii Skłodowskiej-Curie,94,+48 76 746 11 00,+48 76 847 84 70,us.lubin@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lubinie
tax,Urząd Skarbowy w Lwówku Śląskim,Urząd Skarbowy,59-600,Lwówek Śląski,,Budowlanych,1,+48 75 782 03 00,+48 75 782 02 99,us.lwowek_slaski@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lwowku-slaskim
tax,Urząd Skarbowy w Miliczu,Urząd Skarbowy,56-300,Milicz,,Składowa,2,+48 71 380 51 00,+48 71 380 51 10,us.milicz@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-miliczu
tax,Urząd Skarbowy w  Nowej Rudzie,Urząd Skarbowy,57-400,Nowa Ruda,,Kolejowa,23,+48 74 872 02 00,+48 74 872 25 06,us.nowa_ruda@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-nowej-rudzie
tax,Urząd Skarbowy w Oleśnicy,Urząd Skarbowy,56-400,Oleśnica,,Lwowska,34-38,+48 71 314 90 05,+48 71 314 97 73,us.olesnica@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-olesnicy
tax,Urząd Skarbowy w Oławie,Urząd Skarbowy,55-200,Oława,,Lwowska,1,+48 71 303 94 39,+48 71 313 47 90,us.olawa@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-olawie
tax,Urząd Skarbowy w Strzelinie,Urząd Skarbowy,57-100,Strzelin,,Bolka I Świdnickiego,14,+48 71 392 72 86,+48 71 392 72 88,us.strzelin@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-strzelinie
tax,Urząd Skarbowy w Środzie Śląskiej,Urząd Skarbowy,55-300,Środa Śląska,,Oławska,5A,+48 71 757 25 00,+48 71 757 25 04,us.sroda_slaska@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-srodzie-slaskiej
tax,Urząd Skarbowy w Świdnicy,Urząd Skarbowy,58-100,Świdnica,,Marii Skłodowskiej-Curie,1-3,+48 74 856 14 00,+48 74 856 14 90,us.swidnica@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-swidnicy
tax,Urząd Skarbowy w Trzebnicy,Urząd Skarbowy,55-100,Trzebnica,,Prusicka,2,+48 71 388 72 00,+48 71 387 10 35,us.trzebnica@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-trzebnicy
tax,Urząd Skarbowy w  Wałbrzychu,Urząd Skarbowy,58-306,Wałbrzych,,Uczniowska,21,+48 74 664 33 00,+48 74 841 13 01,us.walbrzych@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-walbrzychu
tax,Urząd Skarbowy w Wołowie,Urząd Skarbowy,56-100,Wołów,,Tadeusza Kościuszki,17,+48 71 757 25 60,+48 71 757 25 99,us.wolow@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-wolowie
tax,Urząd Skarbowy Wrocław - Fabryczna,Urząd Skarbowy Wrocław - Fabryczna,53-238,Wrocław,,Aleksandra Ostrowskiego,5,+48 71 797 73 00,+48 71 797 56 03,us.wroclaw.fabryczna@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-fabryczna
tax,Urząd Skarbowy Wrocław - Krzyki,Urząd Skarbowy Wrocław - Krzyki,53-310,Wrocław,,Sztabowa,100,+48 71 798 52 01,+48 71 373 22 17,us.wroclaw.krzyki@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-krzyki
tax,Urząd Skarbowy Wrocław - Psie Pole,Urząd Skarbowy Wrocław - Psie Pole,50-231,Wrocław,,Trzebnicka,33,+48 71 326 52 00,+48 71 329 17 86,us.wroclaw.psie_pole@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-psie-pole
tax,Urząd Skarbowy Wrocław - Stare Miasto,Urząd Skarbowy Wrocław - Stare Miasto,53-654,Wrocław,,Inowrocławska,4,+48 71 786 67 00,+48 71 786 67 50,us.wroclaw.stare_miasto@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-stare-miasto
tax,Urząd Skarbowy Wrocław - Śródmieście,Urząd Skarbowy Wrocław - Śródmieście,50-044,Wrocław,,marsz. Józefa Piłsudskiego,27-29,+48 71 371 41 70,+48 71 344 55 56,us.wroclaw.srodmiescie@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-srodmiescie
tax,Pierwszy Urząd Skarbowy we Wrocławiu,Pierwszy Urząd Skarbowy,50-515,Wrocław,,Ks. Czesława Klimasa,34,+48 71 795 05 00,+48 71 795 05 02,1.us.wroclaw@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/pierwszy-urzad-skarbowy-we-wroclawiu
tax,Urząd Skarbowy w Ząbkowicach Śląskich,Urząd Skarbowy,57-200,Ząbkowice Śląskie,,Ludwika Waryńskiego,2A,+48 74 815 13 82,+48 74 815 52 94,us.zabkowice_slaskie@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zabkowicach-slaskich
tax,Urząd Skarbowy w Zgorzelcu,Urząd Skarbowy,59-900,Zgorzelec,,Bohaterów II Armii Wojska Polskiego,8B,+48 75 649 48 00,+48 75 649 48 90,us.zgorzelec@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zgorzelcu
tax,Urząd Skarbowy w Złotoryi,Urząd Skarbowy,59-500,Złotoryja,,Rynek,42,+48 76 878 35 09,+48 76 878 32 28,us.zlotoryja@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zlotoryi
tax,Urząd skarbowy w Górze,Urząd skarbowy,56-200,Góra,,Poznańska,4,+48 65 544 18 71,+48 65 544 18 76,us.gora@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-gorze
tax,Urząd Skarbowy w Polkowicach,Urząd Skarbowy,59-100,Polkowice,,Zachodnia,10,+48 76 746 13 01,+48 76 746 13 05,us.polkowice@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-polkowicach
tax,Dolnośląski Urząd Skarbowy we Wrocławiu,Dolnośląski Urząd Skarbowy,51-130,Wrocław,,Żmigrodzka,141,+48 71 323 68 00,+48 71 323 68 05,dolnoslaski.us@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-skarbowy-we-wroclawiu
customs,Dolnośląski Urząd Celno-Skarbowy we Wrocławiu,Dolnośląski Urząd Celno-Skarbowy,53-613,Wrocław,,Stacyjna,10,+48 71 355 75 00,+48 71 355 33 06,wroclaw.ucs@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
tax,Delegatura UCS we Wrocławiu,Delegatura UCS,54-530,Wrocław,,Cichociemnych,11,+48 71 355 75 00,+48 71 355 33 06,UCS.451000@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
customs,Oddział Celny I we Wrocławiu,Oddział Celny I,52-437,Wrocław,,Karmelkowa,31,+48 71 798 61 60,+48 71 798 61 69,OC451010@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
customs,Oddział Celny Towarowy Port Lotniczy Wrocław-Strachowice,Oddział Celny Towarowy Port Lotniczy Wrocław-Strachowice,54-530,Wrocław,,Zarembowicza,40,+48 71 725 41 40,+48 71 373 68 58,OC451030@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
customs,Oddział Celny Osobowy Port Lotniczy Wrocław-Strachowice,Oddział Celny Osobowy Port Lotniczy Wrocław-Strachowice,54-530,Wrocław,,Graniczna,190,+48 71 725 50 22,+48 71 725 34 34,OC451040@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
tax,Delegatura UCS w Legnicy,Delegatura UCS,59-220,Legnica,,Pątnowska,50,+48 76 723 41 00,+48 76 862 83 37,UCS.452000@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
customs,Oddział Celny w Legnicy,Oddział Celny,59-220,Legnica,,Pątnowska,50,,+48 76 862 83 37,UCS.452000@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
customs,Oddział Celny w Polkowicach,Oddział Celny,59-101,Polkowice,,Krzywa,3,+48 76 724 96 58,+48 76 724 96 39,OC452020@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
customs,Oddział Celny w Żarskiej Wsi,Oddział Celny,59-903,,Żarska Wieś,,5,,+48 75 775 58 93,OC452030@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
tax,Delegatura UCS w Wałbrzychu,Delegatura UCS,58-306,Wałbrzych,,Ogrodowa,15,+48 74 846 86 61,+48 74 846 62 06,UCS.454000@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
customs,Oddział Celny w Wałbrzychu,Oddział Celny,58-304,Wałbrzych,,Ludowa,63,,,OC454010@mf.gov.pl,www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
tax,Izba Administracji Skarbowej w Bydgoszczy,Izba Administracji Skarbowej,85-950,Bydgoszcz,,Dr. Emila Warmińskiego,18,+48 52 585 61 00,+48 52 585 61 14,ias.bydgoszcz@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl
tax,Urząd Skarbowy w Aleksandrowie Kujawskim,Urząd Skarbowy,87-700,Aleksandrów Kujawski,,Kościelna,18,+48 54 252 33 00,+48 54 252 33 21,us.aleksandrow-kujawski@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-aleksandrowie-kujawskim
tax,Urząd Skarbowy w Brodnicy,Urząd Skarbowy,87-300,Brodnica,,Gen. Władysława Sikorskiego,19,+48 56 495 47 11,+48 56 495 47 29,us.brodnica@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-brodnicy
tax,Pierwszy Urząd Skarbowy w Bydgoszczy,Pierwszy Urząd Skarbowy,85-950,Bydgoszcz,,Fordońska,77,+48 52 561 70 00,+48 52 561 78 64,1us.bydgoszcz@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-bydgoszczy
tax,Drugi Urząd Skarbowy w Bydgoszczy,Drugi Urząd Skarbowy,85-822,Bydgoszcz,,Wojska Polskiego,20B,+48 52 568 21 00,+48 52 372 79 52,2us.bydgoszcz@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/drugi-urzad-skarbowy-w-bydgoszczy
tax,Trzeci Urząd Skarbowy w Bydgoszczy,Trzeci Urząd Skarbowy,85-032,Bydgoszcz,,Tadeusza Rejtana,5,+48 52 339 74 00,+48 52 339 75 00,3us.bydgoszcz@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/trzeci-urzad-skarbowy-w-bydgoszczy
tax,Urząd Skarbowy w Chełmnie,Urząd Skarbowy,86-200,Chełmno,,Grudziądzka,6,+48 56 677 05 11,+48 56 677 05 10,us.chelmno@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-chelmnie
tax,Urząd Skarbowy w Grudziądzu,Urząd Skarbowy,86-300,Grudziądz,,Droga Łąkowa,23,+48 56 643 33 30,+48 56 643 33 35,us.grudziadz@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-grudziadzu
tax,Urząd Skarbowy w Inowrocławiu,Urząd Skarbowy,88-100,Inowrocław,,al. Niepodległości,5,+48 52 587 60 00,+48 52 587 60 01,us.inowroclaw@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-inowroclawiu
tax,Urząd Skarbowy w Lipnie,Urząd Skarbowy,87-600,Lipno,,Stanisława Staszica,4,+48 54 414 83 00,+48 54 414 83 39,us.lipno@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-lipnie
tax,Urząd Skarbowy w Mogilnie,Urząd Skarbowy,88-300,Mogilno,,900-lecia,20,,+48 52 568 27 99,us.mogilno@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-mogilnie
tax,Urząd Skarbowy w Nakle nad Notecią,Urząd Skarbowy,89-100,Nakło nad Notecią,,Sądowa,8,,+48 52 386 92 88,us.naklo@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-nakle-nad-notecia
tax,Urząd Skarbowy w Radziejowie,Urząd Skarbowy,88-200,Radziejów,,Rolnicza,6,+48 54 414 84 00,+48 54 414 84 61,us.radziejow@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-radziejowie
tax,Urząd Skarbowy w Rypinie,Urząd Skarbowy,87-500,Rypin,,Dojazdowa,10,,+48 54 280 26 38,us.rypin@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-rypinie
tax,Urząd Skarbowy w Świeciu,Urząd Skarbowy,86-100,Świecie,,10 lutego,16,+48 52 552 21 00,+48 52 552 21 18,us.swiecie@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-swieciu
tax,Pierwszy Urząd Skarbowy w Toruniu,Pierwszy Urząd Skarbowy,87-100,Toruń,,Szosa Chełmińska,34/36,,+48 56 610 91 11,1us.torun@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-toruniu
tax,Drugi Urząd Skarbowy w Toruniu,Drugi Urząd Skarbowy,87-100,Toruń,,Mazowiecka,63,,+48 56 664 78 20,2us.torun@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/drugi-urzad-skarbowy-w-toruniu
tax,Urząd Skarbowy w Tucholi,Urząd Skarbowy,89-500,Tuchola,,Pl. Zamkowy,4,+48 52 336 33 00,+48 52 336 33 27,us.tuchola@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-tucholi
tax,Urząd Skarbowy w Wąbrzeźnie,Urząd Skarbowy,87-200,Wąbrzeźno,,Macieja Rataja,2,,+48 56 689 05 26,us.wabrzezno@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-wabrzeznie
tax,Urząd Skarbowy we Włocławku,Urząd Skarbowy,87-800,Włocławek,,Stefana Okrzei,72B,+48 54 423 21 00,+48 54 423 21 50,us.wloclawek@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-we-wloclawku
tax,Urząd Skarbowy w Żninie,Urząd Skarbowy,88-400,Żnin,,Klemensa Janickiego,18,+48 52 303 04 00,+48 52 303 13 45,us.znin@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-zninie
tax,Urząd Skarbowy w Golubiu-Dobrzyniu,Urząd Skarbowy,87-400,Golub-Dobrzyń,,Dr. Jerzego Gerarda Koppa,1A,+48 56 491 80 20,+48 56 491 80 49,us.golub-dobrzyn@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-golubiu-dobrzyniu
tax,Urząd Skarbowy w Sępólnie Krajeńskim,Urząd Skarbowy,89-400,Sępólno Krajeńskie,,Tadeusza Kościuszki,22,+48 52 388 83 10,+48 52 388 83 23,us.sepolno-krajenskie@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-sepolnie-krajenskim
tax,Kujawsko-Pomorski Urząd Skarbowy w Bydgoszczy,Kujawsko-Pomorski Urząd Skarbowy,85-236,Bydgoszcz,,Grunwaldzka,50,+48 52 583 84 00,+48 52 583 84 06,us.kujawsko-pomorski@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-skarbowy-w-bydgoszczy
customs,Kujawsko-Pomorski Urząd Celno-Skarbowy w Toruniu,Kujawsko-Pomorski Urząd Celno-Skarbowy,87-100,Toruń,,Batorego,61,,+48 56 619 77 27,kujawsko-pomorski.ucs@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
tax,Delegatura UCS w Bydgoszczy,Delegatura UCS,85-039,Bydgoszcz,,Hetmańska,28,+48 52 347 78 00,+48 52 347 78 80,ucsd.431000@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
customs,Oddział Celny II w Bydgoszczy,Oddział Celny II,85-152,Bydgoszcz,,Daleka,9,+48 52 320 58 00,+48 52 320 58 50,pl431020@mf.gv.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
customs,Oddział Celny w Inowrocławiu,Oddział Celny,88-100,Inowrocław,,Aleja Niepodległości,5,+48 52 587 61 19,+48 52 587 60 45,pl431030@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
tax,Delegatura UCS w Toruniu,Delegatura UCS,87-100,Toruń,,Batorego,61,+48 56 619 76 02,+48 56 619 77 27,ucsd.432000@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
customs,Oddział Celny w Toruniu,Oddział Celny,87-100,Toruń,,Batorego,61,,+48 56 619 77 30,pl432010@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
customs,Oddział Celny we Włocławku,Oddział Celny,87-800,Włocławek,,Okrzei,72B,,+48 54 423 21 50,pl432030@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
customs,Oddział Celny w Grudziądzu,Oddział Celny,86-302,"Biały Bór, Grudziądz 4",,-,-,,+48 56 450 77 30,pl432040@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
customs,Oddział Celny Port Lotniczy w Bydgoszczy,Oddział Celny Port Lotniczy,86-005,Białe Błota,,Paderewskiego,1,+48 52 365 48 55,,PL431040@mf.gov.pl,www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
tax,Delegatura Krajowej Informacji Skarbowej w Toruniu,Delegatura Krajowej Informacji Skarbowej,87-100,Toruń,,Św. Jakuba,20,,,kis.torun@mf.gov.pl,www.kis.gov.pl
tax,Izba Administracji Skarbowej w Lublinie,Izba Administracji Skarbowej,20-883,Lublin,,Tadeusza Szeligowskiego,24,+48 81 452 23 00,+48 81 452 23 06,sekretariat.ias.lublin@mf.gov.pl,www.lubelskie.kas.gov.pl
tax,Urząd Skarbowy w Białej Podlaskiej,Urząd Skarbowy,21-500,Biała Podlaska,,Prosta,19,+48 83 344 95 17,+48 83 344 95 91,sekretariat.us.biala-podlaska@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-bialej-podlaskiej
tax,Urząd Skarbowy w Biłgoraju,Urząd Skarbowy,23-400,Biłgoraj,,Tadeusza Kościuszki,78,+48 84 686 87 00,+48 84 686 87 01,sekretariat.us.bilgoraj@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-bilgoraju
tax,Urząd Skarbowy w Chełmie,Urząd Skarbowy,22-100,Chełm,,Obłońska,20A,,+48 82 564 33 31,sekretariat.us.chelm@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-chelmie
tax,Urząd Skarbowy w Hrubieszowie,Urząd Skarbowy,22-500,Hrubieszów,,27 Wołyńskiej Dywizji Piechoty AK,11,+48 84 696 63 88,+48 84 696 63 65,sekretariat.us.hrubieszow@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-hrubieszowie
tax,Urząd Skarbowy w Janowie Lubelskim,Urząd Skarbowy,23-300,Janów Lubelski,,Wojska Polskiego,32,+48 15 872 53 00,+48 15 872 24 66,sekretariat.us.janow-lubelski@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-janowie-lubelskim
tax,Urząd Skarbowy w Krasnymstawie,Urząd Skarbowy,22-300,Krasnystaw,,Rzeczna,5,,+48 82 576 50 41,sekretariat.us.krasnystaw@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-krasnymstawie
tax,Urząd Skarbowy w Kraśniku,Urząd Skarbowy,23-200,Kraśnik,,Tadeusza Kościuszki,5,+48 81 528 69 00,+48 81 528 69 28,sekretariat.us.krasnik@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-krasniku
tax,Urząd Skarbowy w Lubartowie,Urząd Skarbowy,21-100,Lubartów,,Legionów,55,+48 81 852 62 00,+48 81 852 62 83,sekretariat.us.lubartow@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lubartowie
tax,Pierwszy Urząd Skarbowy w Lublinie,Pierwszy Urząd Skarbowy,20-027,Lublin,,Sądowa,5,,+48 81 464 23 12,sekretariat.1us.lublin@mf.gov.pl,www.lubelskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-lublinie
tax,Drugi Urząd Skarbowy w Lublinie,Drugi Urząd Skarbowy,20-883,Lublin,,Tadeusza Szeligowskiego,24,+48 81 452 24 00,+48 81 452 24 04,sekretariat.2us.lublin@mf.gov.pl,www.lubelskie.kas.gov.pl/drugi-urzad-skarbowy-w-lublinie
tax,Trzeci Urząd Skarbowy w Lublinie,Trzeci Urząd Skarbowy,20-016,Lublin,,Prezydenta Gabriela Narutowicza,56,+48 81 535 04 77,+48 81 535 04 53,sekretariat.3us.lublin@mf.gov.pl,www.lubelskie.kas.gov.pl/trzeci-urzad-skarbowy-w-lublinie
tax,Urząd Skarbowy w Łukowie,Urząd Skarbowy,21-400,Łuków,,Międzyrzecka,72A,+48 25 640 05 26,+48 25 640 05 44,sekretariat.us.lukow@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lukowie
tax,Urząd Skarbowy w Opolu Lubelskim,Urząd Skarbowy,24-300,Opole Lubelskie,,Józefa Piłsudskiego,12,+48 81 827 21 41,+48 81 827 20 86,sekretariat.us.opole-lubelskie@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-opolu-lubelskim
tax,Urząd Skarbowy w Parczewie,Urząd Skarbowy,21-200,Parczew,,Żabia,2a,+48 83 342 72 08,+48 83 354 39 30,sekretariat.us.parczew@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-parczewie
tax,Urząd Skarbowy w Puławach,Urząd Skarbowy,24-100,Puławy,,Władysława Grabskiego,4,,+48 81 888 44 77,sekretariat.us.pulawy@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-pulawach
tax,Urząd Skarbowy w Radzyniu Podlaskim,Urząd Skarbowy,21-300,Radzyń Podlaski,,Lubelska,1/2,+48 83 352 11 09,,sekretariat.us.radzyn-podlaski@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-radzyniu-podlaskim
tax,Urząd Skarbowy w Tomaszowie Lubelskim,Urząd Skarbowy,22-600,Tomaszów Lubelski,,Rolnicza,17,+48 84 666 01 16,+48 84 666 01 11,sekretariat.us.tomaszow-lubelski@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-tomaszowie-lubelskim
tax,Urząd Skarbowy we Włodawie,Urząd Skarbowy,22-200,Włodawa,,Rynek,9,+48 82 572 44 00,+48 82 572 39 00,sekretariat.us.wlodawa@mf.gov.pl,www.lubelskie.kas.gov.pl/urzad-skarbowy-we-wlodawie
