L.p.;NAZWA URZĘDU;WOJEWÓDZTWO;POWIAT;MIEJSCOWOŚĆ;ULICA;NR DOMU;KOD POCZTOWY;NR TELEFONU wraz z nr kierunkowym;NR TELEFONU 2 wraz z nr kierunkowym;NR FAXU        wraz z nr kierunkowym;NR FAXU 2       wraz z nr kierunkowym;ADRES E-MAIL URZĘDU;ADRES 2 E-MAIL URZĘDU;ADRES WWW URZĘDU;SZEROKOŚĆ GEOGRAFICZNA;DŁUGOŚĆ GEOGRAFICZNA
21.;Komenda Miejska Policji w Legnicy ;dolnośląskie;miasto Legnica;Legnica;Asnyka;III-V;59-220 ;478741520;;478441525;;komendant@legnica.wr.policja.pl;oficer.prasowy@legnica.wr.policja.pl;http://www.legnica.policja.gov.pl/;51.2004;16.1447
22.;Komenda Miejska Policji w Wałbrzychu ;dolnośląskie;miasto Wałbrzych;Wałbrzych;Mazowiecka;2;58-300 ;478751234;;478751438;;komendant@walbrzych.wr.policja.gov.pl;;http://www.walbrzych.policja.gov.pl;50.7753;16.2736
23.;Komenda Miejska Policji we Wrocławiu;dolnośląskie;miasto Wrocław;Wrocław;Sołtysowicka;21;51-168;478714490;;478714365;;komendant@wroclaw.wr.policja.gov.pl ;kontakt@wroclaw.wr.policja.gov.pl;https://wroclaw.policja.gov.pl/;51.1408;17.0711
24.;Komenda Powiatowa  Państwowej Straży Pożarnej  w Lwówku Śląskim ;dolnośląskie;lwówecki;Lwówek Śląski;Sikorskiego;2;59-600 ; 75 782 22 22 ;; 75 782 22 22 wew. 39;;lwowek@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-lwowek-slaski;51.1122;15.5765
25.;Komenda Powiatowa  Państwowej Straży Pożarnej  w Miliczu ;dolnośląskie;milicki;Milicz;Powstańców Wielkopolskich;3;56-300;71 384 13 38 ;; 71 384 21 52 ;;milicz@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-milicz;51.5201;17.2882
26.;Komenda Powiatowa  Państwowej Straży Pożarnej  w Oleśnicy ;dolnośląskie;oleśnicki;Oleśnica;Kopernika;4;56-400; 71 314 20 91 ; 71 314 20 92; 71 314 70 25 ;;sekretariat@straz.olesnica.pl;;https://www.gov.pl/web/kppsp-olesnica;51.2141;17.4002
27.;Komenda Powiatowa  Państwowej Straży Pożarnej  w Oławie ;dolnośląskie;oławski;Oława;Ks. Kutrowskiego;20;55-200; 71 313 40 45;; 71 303 33 43 ;;kpolawa@kwpsp.wroc.pl;;https://www.gov.pl/web/kppsp-olawa;50.9489;17.2847
28.;Komenda Powiatowa  Państwowej Straży Pożarnej  w Polkowicach ;dolnośląskie;polkowicki;Polkowice;Polna;3;59-100; 76 724 99 00;; 76 724 99 14 ;;kppolkowice@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-polkowice;51.5062;16.0885
29.;Komenda Powiatowa  Państwowej Straży Pożarnej  w Strzelinie ;dolnośląskie;strzeliński;Strzelin;Konopnickiej;3;57-100;71 39 21 555 wew. 00;;71 39 23 618;;kontakt@strazstrzelin.pl;;https://www.gov.pl/web/kppsp-strzelin/;50.7836;17.0792
30.;Komenda Powiatowa  Państwowej Straży Pożarnej  w Trzebnicy ;dolnośląskie;trzebnicki;Trzebnica;Głowackiego;12;55-100;71 312 07 88;;;;kptrzebnica@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-trzebnica;50.1525;19.4467
31.;Komenda Powiatowa  Państwowej Straży Pożarnej w Lubaniu ;dolnośląskie;lubański;Lubań;Podwale;7;59-800; 75 722 20 31;; 75 722 20 31;;kpluban@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-luban;51.1231;15.2911
32.;Komenda Powiatowa Państwowej Straży Pożarnej w Bolesławcu ;dolnośląskie;bolesławiecki;Bolesławiec;Wesoła;2;59-700; 75 644 33 00 ;; 75 644 33 05 ;;kpboleslawiec@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-boleslawiec;51.2654;15.5583
33.;Komenda Powiatowa Państwowej Straży Pożarnej w Dzierżoniowie;dolnośląskie;dzierżoniowski;Dzierżoniów;Piłsudskiego ;26;58-200; 74 832 53 80;;74 832 53 94 ;;kpdzierzoniow@kwpsp.wroc.pl ;dzierzoniow@kwpsp.wroc.pl;https://www.gov.pl/web/kppsp-dzierzoniow;50.7325;16.6484
34.;Komenda Powiatowa Państwowej Straży Pożarnej w Głogowie;dolnośląskie;głogowski;Głogów;Sikorskiego;55;67-200 ; 76 835 77 14 ;; 76 835 77 13;;kpglogow@kwpsp.wroc.pl ;sekretariat@straz.glogow.pl ;https://www.gov.pl/web/kppsp-glogow;51.6635;16.0579
35.;Komenda Powiatowa Państwowej Straży Pożarnej w Górze ;dolnośląskie;górowski;Góra;Witosa;22;56-200 ;65 543 31 03; 65 543 23 44 ; 65 544 20 62 ;;kpgora@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-gora;51.6787;16.5355
36.;Komenda Powiatowa Państwowej Straży Pożarnej w Jaworze;dolnośląskie;jaworski;Jawor;Kościuszki;6;59-400; 76 870 26 43;;;;sekretariat@straz.jawor.pl;;https://www.gov.pl/web/kppsp-jawor;51.0462;16.1956
37.;Komenda Powiatowa Państwowej Straży Pożarnej w Kamiennej Górze ;dolnośląskie;kamiennogórski;Kamienna Góra;Wałbrzyska;2c;58-400; 75 744 77 01 ;; 75 744 77 00 ;;kamgora@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-kamienna-gora;50.7885;16.0352
38.;Komenda Powiatowa Państwowej Straży Pożarnej w Kłodzku ;dolnośląskie;kłodzki;Kłodzko;Traugutta;7;57-300 ; 74 865 72 01; 74 865 72 00 ; 74 865 72 03 ;74 865 72 17;kpklodzko@kwpsp.wroc.pl ;sekretariat@straz.klodzko.pl;https://www.gov.pl/web/kppsp-klodzko;50.4381;16.6501
39.;Komenda Powiatowa Państwowej Straży Pożarnej w Lubinie ;dolnośląskie;lubiński;Lubin;Ścinawska;21;59-300 ; 76 846 18 41;; 76 846 18 55 ;;kplubin@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-lubin;51.3974;16.2158
40.;Komenda Powiatowa Państwowej Straży Pożarnej w Środzie Śląskiej ;dolnośląskie;średzki;Środa Śląska;Kolejowa;45;55-300; 71 317 22 12;; 71 317 69 83 ;;kpsroda@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-sroda-slaska;51.1678;16.5922
41.;Komenda Powiatowa Państwowej Straży Pożarnej w Świdnicy ;dolnośląskie;świdnicki;Świdnica;Al. Niepodległości;08.paź;58-100;74 851 88 88;;;;kpswidnica@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-swidnica;50.8403;16.4853
42.;Komenda Powiatowa Państwowej Straży Pożarnej w Wołowie ;dolnośląskie;wołowski;Wołów;Wojska Polskiego;38;56-100; 71 389 27 02 ;;71 389 58 58 ;;kpwolow@kwpsp.wroc.pl;;https://www.gov.pl/web/kppsp-wolow;51.3348;16.6419
43.;Komenda Powiatowa Państwowej Straży Pożarnej w Ząbkowicach Śląskich ;dolnośląskie;ząbkowicki;Ząbkowice Śląskie;Waryńskiego;15;57-200; 74 815 73 75;; 74 815 76 83 ;;kpzabkowice@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-zabkowice-slaskie;50.6023;16.815
44.;Komenda Powiatowa Państwowej Straży Pożarnej w Zgorzelcu ;dolnośląskie;zgorzelecki;Zgorzelec;Chrobrego;1;59-900; 75 775 11 45;; 75 773 09 98 ;;kpzgorzelec@kwpsp.wroc.pl ;;https://www.gov.pl/web/kppsp-zgorzelec;51.1493;15.0132
45.;Komenda Powiatowa Państwowej Straży Pożarnej w Złotoryi ;dolnośląskie;złotoryjski;Złotoryja;Legnicka;49;59-500;76 878 33 97;;76 878 33 97;;kpzlotoryja@kwpsp.wroc.pl;;https://www.gov.pl/web/kppsp-zlotoryja;51.1323;15.9379
46.;Komenda Powiatowa Policji w Bolesławcu ;dolnośląskie;bolesławiecki;Bolesławiec;Zygmunta Augusta;20;59-700 ;478733200;;478733221;;komendant@boleslawiec.wr.policja.gov.pl;;http://www.boleslawiec.policja.gov.pl/;51.2568;15.5735
47.;Komenda Powiatowa Policji w Dzierżoniowie ;dolnośląskie;dzierżoniowski;Dzierżoniów;Ząbkowicka;57;58-200 ;478754200;;478754210;;komendant@dzierzoniow.wr.policja.gov.pl ;oficer.prasowy@dzierzoniow.wr.policja.gov.pl;http://www.dzierzoniow.policja.gov.pl/;50.727;16.6585
48.;Komenda Powiatowa Policji w Głogowie ;dolnośląskie;głogowski;Głogów;Obrońców Pokoju;17;67-200 ;478742200;;478742235;;komendant@glogow.wr.policja.pl;"
kpp@glogow.wr.policja.gov.pl";http://www.glogow.policja.gov.pl/;51.6535;16.0832
49.;Komenda Powiatowa Policji w Górze;dolnośląskie;górowski;Góra;Podwale ;26;56-200 ;478728200;;47872242;;komendant@gora.wr.policja.pl;kpp@gora.wr.policja.gov.pl;http://www.gora.policja.gov.pl/;51.6695;16.5406
50.;Komenda Powiatowa Policji w Jaworze ;dolnośląskie;jaworski;Jawor;Armii Krajowej ;2;59-400 ;478745200;;8745235;;kpp@jawor.wr.policja.gov.pl ;oficer.prasowy@jawor.wr.policja.gov.pl;http://www.jawor.policja.gov.pl/;51.0491;16.1991
51.;Komenda Powiatowa Policji w Kamiennej Górze ;dolnośląskie;kamiennogórski;Kamienna Góra;Lubawska ;6;58-400 ;478736200;;478736250;;komendant@kamienna-gora.wr.policja.gov.pl;;http://www.kamienna-gora.policja.gov.pl/;50.7792;16.028
52.;Komenda Powiatowa Policji w Kłodzku ;dolnośląskie;kłodzki;Kłodzko;ul. Chopina ;2;57-300 ;478752200;;478752230;;komendant@klodzko.wr.policja.pll;kpp@klodzko.wr.policja.gov.pl ;http://www.klodzko.policja.gov.pl/;50.4317;16.6509
53.;Komenda Powiatowa Policji w Lubaniu ;dolnośląskie;lubański;Lubań;Gen.W.Sikorskiego ;4;59-800 ;478734200;;478734242;;kpp@luban.wr.policja.gov.pl;dyżurny@ luban.wr.policja.gov.pl;http://www.luban.policja.gov.pl/;51.117;15.2857
54.;Komenda Powiatowa Policji w Lubinie ;dolnośląskie;lubiński;Lubin;Traugutta ;3;59-300 ;478743200;;478743235;;komendant@lubin.wr.policja.gov.pl ;;http://www.lubin.policja.gov.pl/;51.3973;16.1998
55.;Komenda Powiatowa Policji w Lwówku Śląskim ;dolnośląskie;lwówecki;Lwówek Śląski;Przyjaciół Żołnierza;22;59-600 ;478735200;;47 87 35240;;komendant@lwowek-slaski.wr.policja.gov.pl ;kpp@lwowek-slaski.wr.policja.gov.pl ;http://www.lwowek-slaski.policja.gov.pl/;51.1129;15.5785
56.;Komenda Powiatowa Policji w Miliczu ;dolnośląskie;milicki;Milicz; T. Kościuszki ;4;56-300 ;478721200;;478721242;;komendant@milicz.wr.policja.gov.pl ;"
kpp@milicz.wr.policja.gov.pl ";http://www.milicz.policja.gov.pl/;51.5272;17.2776
57.;Komenda Powiatowa Policji w Oleśnicy ;dolnośląskie;oleśnicki;Oleśnica;Gen. Hallera ;3;56-400 ;478726200;;478726242;;komendant@olesnica.wr.policja.gov.pl ;dyzurny@olesnica.wr.policja.gov.pl;http://bip.olesnica.policja.gov.pl/;51.2071;17.3837
58.;Komenda Powiatowa Policji w Oławie ;dolnośląskie;oławski;Oława;Kopernika;1;55-200 ;478727200;;478727242;;komendant@olawa.wr.policja.pl;kpp@olawa.wr.policja.gov.pl ;https://olawa.policja.gov.pl/;50.9429;17.2976
59.;Komenda Powiatowa Policji w Polkowicach ;dolnośląskie;polkowicki;Polkowice;Legnicka ;15;59-100 ;478747200;;478774205;;kpp@polkowice.wr.policja.gov.pl ;;http://www.polkowice.policja.gov.pl/;51.4983;16.0702
60.;Komenda Powiatowa Policji w Strzelinie ;dolnośląskie;strzeliński;Strzelin;Wolności ;15;57-100 ;478723200;;478723242;;komendant@strzelin.wr.policja.gov.pl;oficer.prasowy@strzelin.wr.policja.gov.pl   ;http://www.strzelin.policja.gov.pl/;50.7839;17.0663
61.;Komenda Powiatowa Policji w Środzie Śląskiej ;dolnośląskie;średzki;Środa Śląska;Św. Andrzeja ;2;55-300 ;478788800;;478722242;;kpp@sroda-slaska.wr.policja.gov.pl;;http://www.sroda-slaska.policja.gov.pl/;51.165;16.5917
62.;Komenda Powiatowa Policji w Świdnicy ;dolnośląskie;świdnicki;Świdnica;Jagiellońska ;23;58-100 ;478755200;;478755230;;oficer.prasowy@swidnica.wr.policja.gov.pl;;http://www.swidnica.policja.gov.pl/;50.8473;16.4837
63.;Komenda Powiatowa Policji w Trzebnicy ;dolnośląskie;trzebnicki;Trzebnica;ul. Ks. Bochenka;8;55-100 ;478724200;;478724242;;komendant@trzebnica.wr.policja.gov.pl;;http://www.trzebnica.policja.gov.pl/;51.3066;17.067
64.;Komenda Powiatowa Policji w Wołowie ;dolnośląskie;wołowski;Wołów;Piłsudskiego ;23;56-100 ;478 725 200;;478725242;;kpp@wolow.wr.policja.gov.pl;;http://www.wolow.policja.gov.pl/;51.3375;16.6428
65.;Komenda Powiatowa Policji w Ząbkowicach Śląskich ;dolnośląskie;ząbkowicki;Ząbkowice Śląskie;Aleja Niepodległości ;10;57-200 ;478756200;;8756230;;komendant@zabkowice-slaskie.wr.pl;;http://www.zabkowice-slaskie.policja.gov.pl/;50.5958;16.8126
66.;Komenda Powiatowa Policji w Zgorzelcu ;dolnośląskie;zgorzelecki;Zgorzelec;ul. Boh. II Armii Woj. Polskiego;12 G;59-900 ;478732200;;478732221;;kpp@zgorzelec.wr.policja.gov.pl ;;http://www.zgorzelec.policja.gov.pl/;51.1472;15.0135
67.;Komenda Powiatowa Policji w Złotoryi ;dolnośląskie;złotoryjski;Złotoryja;Kościuszki;5;59-500 ;478744200;;478744235;;oficer.prasowy@zlotoryja.wr.policja.gov.pl;;http://www.zlotoryja.policja.gov.pl/;51.123;15.9112
68.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Bolesławcu;dolnośląskie;bolesławiecki;Bolesławiec ; Górników;8;59-700;75 732 32 46;;75 732 35 68;;psse.boleslawiec@pis.gov.pl;;https://www.gov.pl/web/psse-boleslawiec;51.2577;15.5673
69.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Dzierżoniowie ;dolnośląskie;dzierżoniowski;Dzierżoniów ; Krasickiego ;36;58-200;74 832 33 33;;74 832 33 34 ;;psse.dzierzoniow@pis.gov.pl;;https://www.gov.pl/web/psse-dzierzoniow;50.7264;16.6474
70.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Głogowie;dolnośląskie;głogowski;Głogów ; Piotra Skargi ;4;67-200;76 727 25 94;;76 72 72 595;;psse.glogow@pis.gov.pl;;www.gov.pl/web/psse-glogow;51.6613;16.0958
71.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Górze ;dolnośląskie;górowski;Góra; Hirszfelda ;6;56-200;65 543 23 54;698 086 959;65 543 26 41;;psse.gora@pis.gov.pl;psse.gora@post.pl;https://www.gov.pl/web/psse-gora;51.6656;16.5408
72.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Jaworze ;dolnośląskie;jaworski;Jawor ;Piwna ;1;59-400;76 870 28 74;;76 870 28 74;;psse.jawor@pis.gov.pl;;https://www.gov.pl/web/psse-jawor;51.0511;16.1964
73.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Jeleniej Górze;dolnośląskie;jeleniogórski;Jelenia Góra ; Kasprowicza   ;17;58-500;75 643 55 60  ;;75  643 55 61 ;;psse.jeleniagora@pis.gov.pl;;https://www.gov.pl/web/psse-jelenia-gora;50.9018;15.7302
74.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Kamiennej Górze;dolnośląskie;kamiennogórski;Kamienna Góra ; Sienkiewicza;5;58-400;75 645 01 40;75 875 10 75;75 645 01 41;;psse.kamiennagora@pis.gov.pl;pssekg@data.pl;https://www.gov.pl/web/psse-kamienna-gora;50.7813;16.0280
75.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Kłodzku ;dolnośląskie;kłodzki;Kłodzko ; Okrzei ;16;57-300;74 867 35 26;74 867 33 23;74 867 69 66;;psse.klodzko@pis.gov.pl;;https://www.gov.pl/web/psse-klodzko;50.4333;16.6507
76.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Legnicy;dolnośląskie;legnicki;Legnica ; Mickiewicza ;24;59-220;76 724 53 10;;76 724 53 11;;psse.legnica@pis.gov.pl;;https://www.gov.pl/web/psse-legnica;51.2031;16.1643
77.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Lubaniu ;dolnośląskie;lubański;Lubań ; Bankowa;9b;59-800;75 646 40 43;;75 646 40 43;;psse.luban@pis.gov.pl;;www.gov.pl/web/psse-luban;51.1188;15.2863
78.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Lubinie;dolnośląskie;lubiński;Lubin ; 1-go Maja ;15;59-300; 76 846 67 00; 77 846 67 00;76 846 67 01;76 846 67 02; psse.lubin@pis.gov.pl;;http://www.gov.pl/web/psse-lubin;51.3964;16.1887
79.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Lwówku Śląskim;dolnośląskie;lwówecki;Lwówek Śląski ;Partyzantów;6;59-600;75 782 43 59;75 782 39 89;75 782 43 59;; psse.lwowekslaski@pis.gov.pl;;https://www.gov.pl/web/psse-lwowek-slaski;51.1117;15.5795
80.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Miliczu ;dolnośląskie;milicki;Milicz ;Armii Krajowej ;5;56-300 ;71 384 02 00 ;;71 384 09 57 ;;psse.milicz@pis.gov.pl ;pssemilicz@pro.onet.pl;https://www.gov.pl/web/psse-milicz;51.5274;17.2754
81.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Oleśnicy ;dolnośląskie;oleśnicki;Oleśnica ;3-go Maja;20;56-400 ;71 314 20 34 ;;71 314 20 35 ;;psse.olesnica@pis.gov.pl ;;https://www.gov.pl/web/psse-olesnica;51.2065;17.3788
82.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Oławie ;dolnośląskie;oławski;Oława ; Warszawska ;5;55-200 ;71 313 21 64 ;71 313 38 21;71 313 21 64 ;;psse.olawa@pis.gov.pl ;;https://www.gov.pl/web/psse-olawa;50.9494;17.2859
83.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Polkowicach ;dolnośląskie;polkowicki;Polkowice ; Rynek ;22;59-100;76 746 22 46 ;76 746 22 47 ;76 746 22 47 ;;psse.polkowice@pis.gov.pl;;https://www.gov.pl/web/psse-polkowice;51.5039;16.0687
84.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Strzelinie ;dolnośląskie;strzeliński;Strzelin ;Mickiewicza ;18;57-100 ;71 329 03 21 ;71 329 10 44;71 329 03 21;;psse.strzelin@pis.gov.pl;;https://www.gov.pl/web/psse-strzelin;50.7838;17.0642
85.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Środzie Śląskiej ;dolnośląskie;średzki;Środa Śląska ;Ogrody Zamkowe ;5;55-300 ;71 317 27 60 ;;71 317 27 60 ;;psse.srodaslaska@pis.gov.pl ;;https:www.gov.pl/web/psse-srodaslaska.pl;51.1657;16.5899
86.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Świdnicy ;dolnośląskie;świdnicki;Świdnica ; Wałbrzyska ;15;58-100 ;74 852 20 91 ;74 852 20 92;74 852 05 35 ;;psse.swidnica@pis.gov.pl ;psseswidnica@psseswidnica.pl;https://www.gov.pl/web/psse-swidnica/;50.0410;21.9991
87.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Trzebnicy ;dolnośląskie;trzebnicki;Trzebnica ;Kościuszki;10;55-100 ;71 312 09 16 ;783 903 906;;;psse.trzebnica@pis.gov.pl ;;https://www.gov.pl/web/psse-trzebnica;51.3108;17.0604
88.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Wałbrzychu ;dolnośląskie;wałbrzyski;Wałbrzych ;Armii Krajowej ;35c;58-302 ;74 84 775 68;74 84 775 69;74 84 766 39;;psse.walbrzych@pis.gov.pl ;;https://gov.pl/web/psse-walbrzych;50.7859;16.2858
89.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Wołowie ;dolnośląskie;wołowski;Wołów ;Józefa Piłsudskiego ;36;56-100 ;71 389 28 56;71 389 26 72;71 389 28 56 ;;psse.wolow@pis.gov.pl ;;https://www.gov.pl/web/psse-wolow;51.3361;16.6442
90.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Ząbkowicach Śląskich ;dolnośląskie;ząbkowicki;Ząbkowice Śląskie ;Kłodzka;2;57-200 ;74 816 67 50 ;;74 816 67 51;;psse.zabkowice@pis.gov.pl;;http://www.gov.pl/web/psse-zabkowice-slaskie;50.5861;16.8096
91.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Zgorzelcu ;dolnośląskie;zgorzelecki;Zgorzelec ;Warszawska;11;59-900 ;75 649 45 26;691 770 919;75 649 45 29 ;;psse.zgorzelec@pis.gov.pl ;;www.gov.pl/web/psse-zgorzelec;51.1484;15.0078
92.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Złotoryi ;dolnośląskie;złotoryjski;Złotoryja ; Staszica ;22;59-500 ;76 878 37 21;76 878 78 31;76 878 34 33;;psse.zlotoryja@pis.gov.pl;pssez@home.pl;www.gov.pl/web/psse-zlotoryja/;51.1239;15.9201
