LP.  ,NAZWA                                                                                                                                                            ,ADRES                                                                    ,EMAIL                                                  ,TELEFON                           ,GODZINY SOBOTA ,                                                         ,WOJEWÓDZTWO
  24 ,Speed Car Wrocław Małopanewska                                                                                                                                   ,"ul. Małopanewska 2, 54-212 Wrocław"                                     ,centrala@speedcar.pl                                   ,713 568 778                       ,8:00-18:00     ,                                                         ,dolnośląskie
  25 ,Polski Związek Motorowy                                                                                                                                          ,"ul. Marii Skłodowskiej - Curie 177, 59-300 Lublin"                      ,kontrola-pojazdow.sklodowskiej-curie- lubin@pzm.pl     ,768 171 314                       ,7:00-15:00     ,                                                         ,dolnośląskie
  26 ,"""MECHANICZNA 5"" Okręgowa Stacja Kontroli Pojazdów"                                                                                                            ,"ul. Mechaniczna 5, 67-200 Głogów"                                       ,IKASGLOGOW@WP.PL                                       ,697 332 697                       ,8:00-14:00     ,                                                         ,dolnośląskie
  27 ,Polski Związek Motorowy                                                                                                                                          ,"ul. Na Niskich Łąkach 4, 50-422 Wrocław"                                ,kontrola-pojazdow@wroclaw.pzm                          ,453 690 304                       ,8:00-16:00     ,                                                         ,dolnośląskie
  28 ,PSKP Bosch Service Burdzy                                                                                                                                        ,"ul. Na Polance 1, 55-300 Środa Śląska"                                  ,burdzy@bosch-service.pl                                ,668 466 931                       ,8:00-13:00     ,                                                         ,dolnośląskie
  29 ,AUTO-MAR Sp. z o.o                                                                                                                                               ,"ul. Obornicka 49, 55-100 Trzebnica"                                     ,automar2000@wp.pl                                      ,71 387 06 10                      ,7:00-15:00     ,                                                         ,dolnośląskie
  30 ,Speed Car Wrocław Obornicka                                                                                                                                      ,"ul. Obornicka 66, 51-114 Wrocław"                                       ,centrala@speedcar.pl                                   ,713 375 864                       ,8:00-18:00     ,                                                         ,dolnośląskie
  31 ,Ampex                                                                                                                                                            ,"ul. Obwodowa 4, 67-210 Jaczów"                                          ,                                                       ,508 623 103                       ,8:00-14:00     ,                                                         ,dolnośląskie
  32 ,"AUTO-MATUNIN Sp z o.,o."                                                                                                                                        ,"ul. Oławska 120, 55-220 Jelcz-Laskowice"                                ,sekretariat@automatunin.com.pl                         ,71 318 82 06                      ,7:00-15:00     ,                                                         ,dolnośląskie
  33 ,Speed Car Lubin                                                                                                                                                  ,"ul. Paderewskiego 88 (na Shell), 59-300 Lubin"                          ,centrala@speedcar.pl                                   ,768 459 059                       ,8:00-14:00     ,                                                         ,dolnośląskie
  34 ,Auto Compex Skorupka (stare SKR-y)                                                                                                                               ,"ul. Pałczyńska 7, 62-320 Miłosław"                                      ,autogaz-partner@wp.pl                                  ,668 038 638                       ,8:00-14:00     ,                                                         ,dolnośląskie
  35 ,"Jacek Bezwerchny Przedsiębiorstwo Handlowo Usługowe"                                                                                                            ,"ul. Polna 3, 56-200 Góra"                                               ,jacekbezwerchny@wp.pl                                  ,655 298 537                       ,8:00-14:00     ,                                                         ,dolnośląskie
  36 ,Auto Service                                                                                                                                                     ,"ul. Poznańska 166, 55-140 Żmigród"                                      ,auto-serwisczajkowski@wp.pl                            ,71 385 46 10                      ,8:00-14:00     ,                                                         ,dolnośląskie
  37 ,Auto Serwis S.C Wiesław i Maciej Hanulak                                                                                                                         ,"ul. Poznańska 17, 56-200 Góra"                                          ,sklephetronic@wp.pl                                    ,655 432 363                       ,7:00-13:00     ,                                                         ,dolnośląskie
  38 ,PPHU Owczarek                                                                                                                                                    ,"ul. Siemianicka 75, 55-120 Oborniki Śląskie"                            ,autoowczarek@gmail.com                                 ,71 310 21 58                      ,8:00-14:00     ,                                                         ,dolnośląskie
  39 ,Polski Związek Motorowy                                                                                                                                          ,"ul. Składowa 1, 59-300 Lubin"                                           ,stacja-kontroli.lubin@pzm.pl                           ,768 444 304                       ,7:00-13:00     ,                                                         ,dolnośląskie
  40 ,„PEGAZ” S.C Stacja Kontroli Pojazdów                                                                                                                             ,"ul. Skłodowskiej- Curie 190, 59-300 Lubin"                              ,                                                       ,603 677 750                       ,9:00-14:00     ,                                                         ,dolnośląskie
  41 ,"PODSTAWOWA STACJA KONTROLI POJAZDÓW TECHNIKUM SAMOCHODOWE"                                                                                                      ,"ul. Staszica 5, 57-100 Strzelin"                                        ,bjw.mackow@wp.pl                                       ,609 674 888                       ,8:00-13:00     ,                                                         ,dolnośląskie
  42 ,MARTIN&MATEO OSKP                                                                                                                                                ,"ul. Szarych Szeregów 6, 58-100 Świdnica"                                ,                                                       ,74 851 20 00                      ,8:00-14:00     ,                                                         ,dolnośląskie
  43 ,RS-SERWIS                                                                                                                                                        ,"ul. Szybowcowa 25, 54-130 Wrocław"                                      ,SKP@rsserwis.pl                                        ,512 110 780                       ,8:00-14:00     ,                                                         ,dolnośląskie
  44 ,OSKP Autopol Service                                                                                                                                             ,"ul. Średzka 30, 55-300 Ciechów"                                         ,"autopol@autopol.wroc.pl Lub stacja@autopolservice.eu" ,603 847 779                       ,8:00-13:00     ,                                                         ,dolnośląskie
  45 ,OSKP „EKO-WOD”                                                                                                                                                   ,"ul. Towarowa 12-14, 58-100 Świdnica"                                    ,                                                       ,74 856 92 70                      ,8:00-13:00     ,                                                         ,dolnośląskie
  46 ,"Okręgowa Stacja Kontroli Pojazdów ""EKO-WOD"""                                                                                                                  ,"ul. Towarowa 8, 58-100 Świdnica"                                        ,r.polus@eko-wod.pl                                     ,74 856 92 70                      ,6:00-14:00     ,                                                         ,dolnośląskie
  47 ,Breviter                                                                                                                                                         ,"ul. Widokowa 1, 58-500 Łomnica"                                         ,                                                       ,600 200 888                       ,7:00-14:00     ,                                                         ,dolnośląskie
  48 ,Ewal JG                                                                                                                                                          ,"ul. Wincentego Pola 10, 58-500 Jelenia Góra"                            ,biuro@ewal.com.pl                                      ,75 752 20 54                      ,7:00-14:00     ,                                                         ,dolnośląskie
  49 ,Stacja Kontroli Pojazdów Budrol s.c                                                                                                                              ,"ul. Witosa 16, 59-305 Rudna"                                            ,                                                       ,768 464 736                       ,9:00-14:00     ,                                                         ,dolnośląskie
  50 ,Polski Związek Motorowy                                                                                                                                          ,"ul. Wolności 57, 58-500 Jelenia Góra"                                   ,kontrola-pojazdow.jelenia.gora@pzm.pl                  ,757 526 285                       ,7:00-15:00     ,                                                         ,dolnośląskie
  51 ,"Okręgowa Stacja Kontroli Pojazdów P.H.U Julianna Wrona"                                                                                                         ,"ul. Wrocławska 1a, 59-330 Ścinawa"                                      ,                                                       ,768 770 497                       ,9:00-14:00     ,                                                         ,dolnośląskie
  52 ,"AUTO-MATUNIN Sp z o.,o."                                                                                                                                        ,"ul. Wrocławska 23, 55-220 Jelcz-Laskowice"                              ,sekretariat@automatunin.com.pl                         ,71 318 82 06                      ,               ,7:00-15:00                                               ,dolnośląskie
  53 ,OSKP AUTO-MAX                                                                                                                                                    ,"ul. Wróblowicka 30, 55-330 Krępice"                                     ,automax.wroc@gmail.com                                 ,535 117 111                       ,               ,8:00-15:00                                               ,dolnośląskie
  54 ,Stacja Kontroli Pojazdów                                                                                                                                         ,"ul. Zgorzelecka 18, 59-800 Lubań"                                       ,                                                       ,75 721 60 77                      ,               ,8:00-12:00                                               ,dolnośląskie
  55 ,Okręgową Stacja Kontroli Pojazdów Strzelczyk                                                                                                                     ,"ul. Złotoryjska 178/184, 59-220 Legnica"                                ,sttacho@interia.pl                                     ,602 648 679                       ,               ,6:00-19:00                                               ,dolnośląskie
  56 ,Wile Trans I.Okręgowa Stacja Kontroli Pojazdów                                                                                                                   ,"ul.Wojska Polskiego 29, 59-620 Gryfów Sląski"                           ,wile-trans1@wp.pl                                      ,757 811 292                       ,               ,8:00-14:00                                               ,dolnośląskie
  57 ,"Przedsiębiorstwo Wielobranżowe ""TRANSWAN"" Kamil Zięba Podstawowa Stacja Kontroli Pojazdów"                                                                    ,Zebrzydowa 259B 59-730 Nowogrodziec                                      ,transwan@poczta.fm                                     ,695 595 585                       ,               ,8:00-14:00                                               ,dolnośląskie
  58 ,Autotest Bydgoszcz                                                                                                                                               ,"Al. Wojska Polskiego 19, 85-171 Bydgoszcz"                              ,biuro@autotestpolska.pl                                ,523 753 152                       ,               ,8:00-16:00                                               ,kujawsko-pomorskie
  59 ,PHU Cezary Borowiak                                                                                                                                              ,"Dylewo 1, 87-500 Rypin"                                                 ,                                                       ,533 281 322                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  60 ,Stacja Kontroli Pojazdów                                                                                                                                         ,"Dzierzążno 31, 88-330 Dzierzążno"                                       ,czynszak@poczta.onet.pl                                ,608 014 659                       ,               ,7:00-13:00                                               ,kujawsko-pomorskie
  61 ,OSKP FHU Maszudziński                                                                                                                                            ,"Fletnowo 38, 86-134 Fletnowo"                                           ,maszudzinski@onet.pl                                   ,523 306 505                       ,               ,7:00-14:00                                               ,kujawsko-pomorskie
  62 ,"TRANS Kruszwica Sp. zo.o. Okręgowa Stacja Kontroli Pojazdów"                                                                                                    ,"Kobylniki 35, 88-100 Kruszwica"                                         ,z.kowalski@trans-kruszwica.com.pl                      ,523 535 330                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  63 ,Janmar Sp.j. Okręgowa Stacja Kontroli Pojazdów                                                                                                                   ,"Krukówko 29, 89-115 Krukówko"                                           ,                                                       ,52 385 89 00                      ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  64 ,OSKP w Lubaszczu                                                                                                                                                 ,"Lubaszcz 15, 89-100 Nakło"                                              ,pom@home.pl                                            ,523 853 881                       ,               ,7:00-13:00                                               ,kujawsko-pomorskie
  65 ,AUTOCENTRUM Katarzyna Marcin Stankiewicz                                                                                                                         ,"Ławy 5, 87-500 Rypin"                                                   ,                                                       ,534 534 116                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  66 ,"Auto-Serwis Janusz Tomasik Okręgowa Stacja Kontroli Pojazdów"                                                                                                   ,"Michałowo 14, 88-140 Gniewkowo"                                         ,biuro@skptomasik.pl                                    ,523 558 422                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  67 ,"Autek Spółka Cywilna, Danuta Kabath, Dorota Mączyńska:"                                                                                                         ,"Obórznia 11a, 89-210 Łabiszyn"                                          ,matej3101@wp.pl                                        ,539 679 244                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  68 ,OSKP Roman Gwiazda                                                                                                                                               ,"Padniewko 2, 88-300 Mogilno"                                            ,interpoz@go2.pl                                        ,523 151 523                       ,               ,7:00-15:00                                               ,kujawsko-pomorskie
  69 ,Autoserwis Buchalscy                                                                                                                                             ,"Piecewo 17a, 87-330 Jabłonowo Pomorskie"                                ,przemyslaw.buchalski@gmail.com                         ,721 764 312                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  70 ,"Okręgowa Stacja Kontroli Pojazdów Sławomir Chmurzński"                                                                                                          ,"Plewno 4A, 86-122 Plewno"                                               ,slawek.chmurzynski@wp.pl                               ,691 180 205                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  71 ,J M Auto Serwis Marek Antczak                                                                                                                                    ,"Sikorowo 41, 88-101 Inowrocław"                                         ,biuro@jmauto-serwis.pl                                 ,500 342 414                       ,               ,7:00-17:00                                               ,kujawsko-pomorskie
  72 ,T-Service OSKP                                                                                                                                                   ,"Świedziebnia 40e, 87-337 Świedziebnia"                                  ,oskp.tservice@gmail.com                                ,881 279 111                       ,               ,8:00-15:00                                               ,kujawsko-pomorskie
  73 ,Etna PHU - Dygulski Tomasz                                                                                                                                       ,"ul. 16 Pułku Ułanów Wielkopolskich 10, 86-122 Bukowiec"                 ,tomekdygulski@wp.pl                                    ,500 085 218                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  74 ,T-Service OSKP                                                                                                                                                   ,"ul. 18 Stycznia 74, 87-300 Brodnica"                                    ,oskp.tservice@gmail.com                                ,881 208 111                       ,               ,7:00-15:00                                               ,kujawsko-pomorskie
  75 ,Pałuckie Centrum Motoryzacji Czesława Kurek                                                                                                                      ,"ul. 700-lecia 30, 88-400 Żnin"                                          ,pcmkurek.salon@wp.pl                                   ,601 272 622                       ,               ,7:00-14:00                                               ,kujawsko-pomorskie
  76 ,Auto-Moto -Treider s.c.                                                                                                                                          ,"ul. Akacjowa 2, 89-530 Śliwice"                                         ,skp.sliwice@interia.pl                                 ,523 340 387                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  77 ,"Podstawowa Stacja Kontroli Pojazdów ""WOZOWNIA"""                                                                                                               ,"ul. Armii Krajowej 3, 86-100 Świecie"                                   ,biuro@wozownia.com.pl                                  ,523 320 106                       ,               ,8:00-16:00                                               ,kujawsko-pomorskie
  78 ,"ZUH Józef Stuczyński Okręgowa Stacja Kontroli Pojazdów"                                                                                                         ,"ul. Brodnicka 23, 87-410 Kowalewo Pomorskie"                            ,                                                       ,566 471 716                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  79 ,"""POL-ZBYT"" Firma Motoryzacyjna Sp. z o.o. Sp.k."                                                                                                              ,"ul. Cegielniana 9A, 89-500 Tuchola"                                     ,biuro@pol-zbyt.pl                                      ,505 905 666                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  80 ,Prywatna stacja diagnostyki samochodowej Grzegorz Nawrocki                                                                                                       ,"ul. Chabrowa 5, 87-600 Lipno"                                           ,                                                       ,542 873 260                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  81 ,Sadowski. Stacja kontroli pojazdów                                                                                                                               ,"ul. Chełmińska 208, 86-300 Grudziądz"                                   ,www.czarci.pl                                          ,564 654 312                       ,               ,7:00-14:00                                               ,kujawsko-pomorskie
  82 ,OSKP Auto Partner                                                                                                                                                ,"ul. Długa 2B, 86-120 Serock"                                            ,arekauto@poczta.fm                                     ,504 444 334                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  83 ,Stacja Kontroli Pojazdów RSP Osie                                                                                                                                ,"ul. Dworcowa 16, 86-150 Osie"                                           ,                                                       ,523 355 113                       ,               ,7:00-13:00                                               ,kujawsko-pomorskie
  84 ,"Zakład Mechaniki, Blacharstwa Pojazdowego, Pomoc Drogowa Krzysztof Przybyła"                                                                                    ,"ul. Dworcowa 18, 88-190 Barcin"                                         ,skp.barcin@gmail.com                                   ,665 039 660                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  85 ,Okręgowa Stacja Kontroli Pojazdów w Osiu                                                                                                                         ,"ul. Dworcowa 8C, 86-150 Osie"                                           ,robert@gwizdziel.pl                                    ,600 090 341                       ,               ,7:00-15:00                                               ,kujawsko-pomorskie
  86 ,OSKP PZM Żnin                                                                                                                                                    ,"ul. Gnieźnieńska 8, 88-400 Żnin"                                        ,kontrola-pojazdow.znin@pzm.pl                          ,523 020 620                       ,               ,7:00-14:00                                               ,kujawsko-pomorskie
  87 ,POM                                                                                                                                                              ,"ul. Graniczna 1, 87-300 Brodnica"                                       ,poczta@pombrodnica.pl                                  ,564 934 773                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  88 ,CELMER Auto - Moto                                                                                                                                               ,"ul. Hebanowa 26, 87-100 Toruń"                                          ,celmer@celmer.torun.pl                                 ,"603 247 784, 510 456 009"        ,               ,7:00-13:00                                               ,kujawsko-pomorskie
  89 ,Stacja Kontroli Pojazdów DAS Dobrzyński                                                                                                                          ,"ul. Inowrocławska 20, 88-320 Strzelno"                                  ,stanisławdobrzyński@op.pl                              ,523 189 284                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  90 ,Stacja Diagnostyczna Autex                                                                                                                                       ,"ul. Jana Pawła II 1, 89-200 Szubin"                                     ,                                                       ,523 842 202                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  91 ,P.U.H. TOSPOL S.C.                                                                                                                                               ,"ul. Karabinierów 10, 86-300 Grudziądz"                                  ,skp0734@patronat.pl                                    ,564 624 919                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  92 ,NEVADA - BIS Stella Podkowska                                                                                                                                    ,"ul. Klasztorna 13, 87-630 Skępe"                                        ,                                                       ,542 877 694                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  93 ,Stacja Diagnostyczna Adrian Podlaszewski                                                                                                                         ,"ul. Kolejowa 14, 87-640 Czernikowo"                                     ,abu29@wp.pl                                            ,668 409 858                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  94 ,"Firma Usługowo - Handlowa STOLGUM S.c. Przemysław Kopydłowski, Sławomir Niedbalski"                                                                             ,"ul. Kolejowa 18, 88-420 Rogowo"                                         ,stolgum@pro.onet.pl                                    ,693 007 568                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  95 ,Pałubicki Jan OSKP                                                                                                                                               ,"ul. Kolejowa 43, 86-170 Nowe"                                           ,                                                       ,523 328 306                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  96 ,SKP PZM Grudziądz                                                                                                                                                ,"ul. Kościuszki 25-27, 86-300 Grudziądz"                                 ,kontrola-pojazdow.grudziadz@pzm.pl                     ,564 623 525                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
  97 ,Okręgowa Stacja Kontroli Pojazdów                                                                                                                                ,"ul. Leśna 18/2, 87-605 Tłuchowo"                                        ,                                                       ,509 106 441                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  98 ,SKP PZM Włocławek                                                                                                                                                ,"ul. Łęgska 49, 87-800 Włocławek"                                        ,kontrola-pojazdow.wloclawek@pzm.pl                     ,542 324 245                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
  99 ,AUTO-MOTO CELMER JOANNA POLAŃSKA                                                                                                                                 ,"ul. M.C. Skłodowskiej 103B, 87-100 Toruń"                               ,celmer@celmer.torun.pl                                 ,510 456 009                       ,               ,7:00-13:00                                               ,kujawsko-pomorskie
 100 ,Zakład diagnostyki samochodowej                                                                                                                                  ,"ul. Magazynowa 4, 86-200 Chełmno"                                       ,diagnostyka_chelmno@wp.pl                              ,566 861 400                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
 101 ,SOS Zbigniew Gawroński                                                                                                                                           ,"ul. Mleczarska 21, 87-500 Rypin"                                        ,                                                       ,544 447 115                       ,               ,8:00-14:00                                               ,kujawsko-pomorskie
 102 ,AUTOSERWIS M. Rejs i Spółka                                                                                                                                      ,"ul. Mleczarska 23, 87-500 Rypin"                                        ,                                                       ,668 008 253                       ,               ,7:00-14:00                                               ,kujawsko-pomorskie
 103 ,Okręgowa Stacja Kontroli Pojazdów Sławomir Szalewski                                                                                                             ,"ul. Nakielska 11, 89-240 Kcynia"                                        ,oskp.kcynia@gmail.com                                  ,52 342 21 28                      ,               ,8:00-13:00                                               ,kujawsko-pomorskie
 104 ,SKP PZM Bydgoszcz                                                                                                                                                ,"ul. Nakielska 71a, 85-347 Bydgoszcz"                                    ,"kontrola-pojazdow.nakielska- bydgoszcz@pzm.pl"        ,601 213 628                       ,               ,8:00-13:00                                               ,kujawsko-pomorskie
 105 ,Okręgowa Stacja Kontroli Pojazdów OSM CUIAVIA                                                                                                                    ,"ul. Nowa 32, 88-100 Inowrocław"                                         ,sekretariat@osmcuiavia.pl                              ,523 535 619                       ,               ,9:00-13:00                                               ,kujawsko-pomorskie
