Nazwa,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Kod pocztowy,Adres,Centrala,FAX,Służbowa strona WWW,Służbowy adres e-mail
KM PSP Zabrze ,KM/KP,śląskie,Zabrze,Zabrze,Zabrze,41-800,Stalmacha 22,323760990,322781777,www.gov.pl/web/kmpsp-zabrze,straz@psp.zabrze.pl
KM PSP Zamość,KM/KP,lubelskie,Zamość,Zamość,Zamość,22-400,Kilińskiego 62,846807410,846271628,http://www.straz.zamosc.pl,km_zamosc@straz.zamosc.pl
KM PSP Zielona Góra,KM/KP,lubuskie,Zielona Góra,Zielona Góra,Zielona Góra,65-074,Jana Kasprowicza 3-5,684575600,684575647,www.straz.zgora.pl,sekretariat@straz.zgora.pl
KM PSP Żory,KM/KP,śląskie,Żory,Żory,Żory,44-240,Ogniowa 10,324345438,324345115,https://www.gov.pl/web/kmpsp-zory,pspzory@katowice.kwpsp.gov.pl
KP PSP Aleksandrów Kujawski,KM/KP,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski (gmina miejska),Aleksandrów Kujawski,87-700,Halinowo 2a,542318900,542824060,https://www.gov.pl/kppsp-aleksandrow-kujawski,aleksandrow@kujawy.psp.gov.pl
KP PSP Augustów,KM/KP,podlaskie,augustowski,Augustów (gmina miejska),Augustów,16-300,Brzostowskiego Karola 2,477118010,477118003,https://www.gov.pl/web/kppsp-augustow,kppspau@straz.bialystok.pl
KP PSP Bartoszyce,KM/KP,warmińsko-mazurskie,bartoszycki,Bartoszyce (gmina miejska),Bartoszyce,11-200,Bema 36,897649800,897649802,www.gov.pl/web/kppsp-bartoszyce,kpbartoszyce@kwpsp.olsztyn.pl
KP PSP Bełchatów ,KM/KP,łódzkie,bełchatowski,Bełchatów (gmina miejska),Bełchatów,97-400,Wspólna  7,446338200,446338205,https://www.gov.pl/web/kppsp-belchatow,kppsp01@straz.lodz.pl
KP PSP Będzin,KM/KP,śląskie,będziński,Będzin,Będzin,42-500,Modrzejowska 74,322944540,322944546,www.gov.pl/web/kppsp-bedzin/,komenda@bedzin.kppsp.gov.pl
KP PSP Białobrzegi,KM/KP,mazowieckie,białobrzeski,Białobrzegi,Białobrzegi,26-800,Mikołaja Kopernika 4,486132336,486132281 wew.: 31,http://www.bialobrzegistraz.pl/,bialobrzegi@mazowsze.straz.pl
KP PSP Białogard,KM/KP,zachodniopomorskie,białogardzki,Białogard (gmina miejska),Białogard,78-200,Szosa Połczyńska 1,943120320,943120321,www.kppspbialogard.pl,kp.bialogard@szczecin.kwpsp.gov.pl
KP PSP Bielsk Podlaski,KM/KP,podlaskie,bielski,Bielsk Podlaski (gmina miejska),Bielsk Podlaski,17-100,Poniatowskiego 11,477118051,477118059,www.gov.pl/web/kppsp-bielsk-podlaski,kppspbp@straz.bialystok.pl
KP PSP Biłgoraj,KM/KP,lubelskie,biłgorajski,Biłgoraj (gmina miejska),Biłgoraj,23-400,Gen. H. Dąbrowskiego 10,846880010,846880011,www.straz.lbl.pl,kp_bilgoraj@straz.lublin.pl
KP PSP Bochnia,KM/KP,małopolskie,bocheński,Bochnia (gmina miejska),Bochnia,32-700,Poniatowskiego 7,478314200,478314219,gov.pl/web/kppsp-bochnia,kppspbochnia@straz.krakow.pl
KP PSP Bolesławiec,KM/KP,dolnośląskie,bolesławiecki,Bolesławiec (gmina miejska),Bolesławiec,59-700,Wesoła 2,756443300,756443305,https://www.gov.pl/web/kppsp-boleslawiec,boleslawiec@kwpsp.wroc.pl
KP PSP Braniewo,KM/KP,warmińsko-mazurskie,braniewski,Braniewo (gmina miejska),Braniewo,14-500,Plac Strażacki 2,556205503,556205509,www.gov.pl/web/kppsp-braniewo,skkp.braniewo@skkw.olsztyn.pl
KP PSP Brodnica,KM/KP,kujawsko-pomorskie,brodnicki,Brodnica (gmina miejska),Brodnica,87-300,Sienkiewicza 23,564950600,564950603,straz.brodnica.pl,kppsp_brodnica@kujawy.psp.gov.pl
KP PSP Brzeg,KM/KP,opolskie,brzeski,Brzeg,Brzeg,49-300,Saperska 16,478616301,478616321,www.gov.pl/kppsp-brzeg,sekretariat.brzeg@psp.opole.pl
KP PSP Brzesko,KM/KP,małopolskie,brzeski,Brzesko,Brzesko,32-800,Solskiego 16,478314400,478314419,https://www.gov.pl/web/kppsp-brzesko,kppspbrzesko@straz.krakow.pl
KP PSP Brzeziny,KM/KP,łódzkie,brzeziński,Brzeziny (gmina miejska),Brzeziny,95-060,Waryńskiego 55,468752736,468752733,https://www.gov.pl/web/kppsp-brzeziny,kppsp02@straz.lodz.pl
KP PSP Brzozów,KM/KP,podkarpackie,brzozowski,Brzozów,Brzozów,36-200,Mickiewicza 1,134341141,134344000,https://www.gov.pl/web/kppsp-brzozow,kpbrzozow@podkarpacie.straz.pl
KP PSP Busko Zdrój,KM/KP,świętokrzyskie,buski,Busko-Zdrój,Busko Zdrój,28-100,Waryńskiego 29a,413782043,413788771,https://www.gov.pl/web/kppsp-busko-zdroj/,sekretariat@strazbusko.pl
KP PSP Bytów,KM/KP,pomorskie,bytowski,Bytów,Bytów,77-100,Gen. Józefa Wybickiego 9,477418003,477418032,https://www.gov.pl/web/kppsp-bytow,psk.bytow@straz.gda.pl
KP PSP Chełmno,KM/KP,kujawsko-pomorskie,chełmiński,Chełmno (gmina wiejska),Chełmno,86-200,Łunawska 3a,566864466,566864467,https://www.gov.pl/web/kppsp-chelmno/,kppsp_chelmno@kujawy.psp.gov.pl
KP PSP Chodzież,KM/KP,wielkopolskie,chodzieski,Chodzież (gmina miejska),Chodzież,64-800,Marcinkowskiego 6,477717000,672223316,www.chodziez.psp.wlkp.pl,kppspchodziez@psp.wlkp.pl
KP PSP Chojnice,KM/KP,pomorskie,chojnicki,Chojnice (gmina miejska),Chojnice,89-600,Gdańska 51,523956410,523956416,https://www.gov.pl/web/kppsp-chojnice,sekretariat.chojnice@straz.gda.pl
KP PSP Choszczno,KM/KP,zachodniopomorskie,choszczeński,Choszczno,Choszczno,73-200,Bolesława Chrobrego 6,957689800,957689818,choszczno.straz.gov.pl,kp.choszczno@szczecin.kwpsp.gov.pl
KP PSP Chrzanów,KM/KP,małopolskie,chrzanowski,Chrzanów,Chrzanów,32-500,Ks.Skorupki 3,326278900,478314519,www.gov.pl/web/kppsp-chrzanow,kppspchrzanow@straz.krakow.pl
KP PSP Ciechanów,KM/KP,mazowieckie,ciechanowski,Ciechanów (gmina miejska),Ciechanów,06-400,Płocka 32,236724881,236712851,https://www.gov.pl/web/kppsp-ciechanow,ciechanow@mazowsze.straz.pl
KP PSP Cieszyn,KM/KP,śląskie,cieszyński,Cieszyn,Cieszyn,43-400,Chemików 16,338521106,338522760,kppsp.cieszyn.pl,pspcieszyn@katowice.kwpsp.gov.pl
KP PSP Czarnków ,KM/KP,wielkopolskie,czarnkowsko-trzcianecki,Czarnków (gmina miejska),Czarnków,64-700,Ogrodowa 1,477717100,672553420,www.czarnkow.psp.wlkp.pl,kppspczarnkow@psp.wlkp.pl
KP PSP Człuchów,KM/KP,pomorskie,człuchowski,Człuchów (gmina miejska),Człuchów,77-300,Stefana Batorego 10,598345308,598345625,https://www.gov.pl/web/kppsp-czluchow,sekretariat@czluchow112.pl
KP PSP Dąbrowa Tarnowska,KM/KP,małopolskie,dąbrowski,Dąbrowa Tarnowska,Dąbrowa Tarnowska,33-200,Żabieńska 20,478314600,478314609,https://www.gov.pl/kppsp-dabrowa-tarnowska,kppspdabrowa@straz.krakow.pl
KP PSP Dębica,KM/KP,podkarpackie,dębicki,Dębica (gmina miejska),Dębica,39-200,Poddęby 6a,146812855,146832622,www.gov.pl/web/kppsp-debica,kpdebica@podkarpacie.straz.pl
KP PSP Drawsko Pomorskie,KM/KP,zachodniopomorskie,drawski,Drawsko Pomorskie,Drawsko Pomorskie,78-500,Plac Marii Konopnickiej 1,943632061,943630103,www.strazdrawsko.pl,kp.drawsko@szczecin.kwpsp.gov.pl
KP PSP Działdowo,KM/KP,warmińsko-mazurskie,działdowski,Działdowo (gmina miejska),Działdowo,13-200,Marii Curie Skłodowskiej 10,236970500,236970515,www.gov.pl/web/kppsp-dzialdowo,kpdzialdowo@kwpsp.olsztyn.pl
KP PSP Dzierżoniów,KM/KP,dolnośląskie,dzierżoniowski,Dzierżoniów (gmina miejska),Dzierżoniów,58-200,Piłsudskiego 26,748325380,748325393,https://www.gov.pl/web/kppsp-dzierzoniow,dzierzoniow@kwpsp.wroc.pl
KP PSP Ełk,KM/KP,warmińsko-mazurskie,ełcki,Ełk (gmina miejska),Ełk,19-300,Suwalska 50,876217100,876217125,www.gov.pl/web/kppsp-elk,kpelk@kwpsp.olsztyn.pl
KP PSP Garwolin,KM/KP,mazowieckie,garwoliński,Garwolin (gmina miejska),Garwolin,08-400,Targowa  2A,256822288 wew.: 24,256824226,https://www.gov.pl/web/kppsp-garwolin,garwolin@mazowsze.straz.pl
KP PSP Giżycko,KM/KP,warmińsko-mazurskie,giżycki,Giżycko (gmina miejska),Giżycko,11-500,Białostocka 2,874299100,874299105,www.gov.pl/web/kppsp-gizycko,kpgizycko@kwpsp.olsztyn.pl
KP PSP Głogów,KM/KP,dolnośląskie,głogowski,Głogów (gmina miejska),Głogów,67-200,Sikorskiego 55,768357714,768357713,https://www.gov.pl/web/kppsp-glogow,glogow@kwpsp.wroc.pl
KP PSP Głubczyce,KM/KP,opolskie,głubczycki,Głubczyce,Głubczyce,48-100,Kołłątaja 4,478616400,478616403,https://www.gov.pl/web/kppsp-glubczyce,sekretariat.glubczyce@psp.opole.pl
KP PSP Gniezno,KM/KP,wielkopolskie,gnieźnieński,Gniezno (gmina miejska),Gniezno,62-200,B.Chrobrego 22,477717200 wew.: 7200,612220638,www.gniezno.psp.wlkp.pl,kppspgniezno@psp.wlkp.pl
KP PSP Goleniów,KM/KP,zachodniopomorskie,goleniowski,Goleniów,Goleniów,72-100,Gen. Władysława Andersa 8,914317900,914317908,www.straz.goleniow.pl,kp.goleniow@szczecin.kwpsp.gov.pl
KP PSP Golub-Dobrzyń,KM/KP,kujawsko-pomorskie,golubsko-dobrzyński,Golub-Dobrzyń (gmina miejska),Golub-Dobrzyń,87-400,Lipnowska 9,566835389,566835389,https://www.gov.pl/kppsp-golub-dobrzyn,golub-dobrzyn@kujawy.psp.gov.pl
KP PSP Gołdap,KM/KP,warmińsko-mazurskie,gołdapski,Gołdap,Gołdap,19-500,Wojska Polskiego 19,876156100 wew.: 900,876156134 wew.: 934,www.gov.pl/web/kppsp-goldap,kpgoldap@kwpsp.olsztyn.pl
KP PSP Gorlice,KM/KP,małopolskie,gorlicki,Gorlice (gmina miejska),Gorlice,38-300,11 Listopada 84,183549300,183549305,www.gov.pl/web/kppsp-gorlice,kppspgorlice@straz.krakow.pl
KP PSP Gostynin,KM/KP,mazowieckie,gostyniński,Gostynin (gmina miejska),Gostynin,09-500,Przemysłowa 1,242360200,242353333,https://www.gov.pl/web/kppsp-gostynin,gostynin@mazowsze.straz.pl
KP PSP Gostyń,KM/KP,wielkopolskie,gostyński,Gostyń,Gostyń,63-800,Wrocławska 247,477717300,653224278,http://www.gostyn.psp.wlkp.pl/,kppspgostyn@psp.wlkp.pl
KP PSP Góra,KM/KP,dolnośląskie,górowski,Góra,Góra,56-200,Wincentego Witosa 22,655433103,655442062,https://www.gov.pl/web/kppsp-gora,kpgora@kwpsp.wroc.pl
KP PSP Grajewo,KM/KP,podlaskie,grajewski,Grajewo (gmina miejska),Grajewo,19-203,Wojska Polskiego 74,477118101,477118103,https://www.gov.pl/web/kppsp-grajewo,kppspgr@straz.bialystok.pl
KP PSP Grodzisk Mazowiecki,KM/KP,mazowieckie,grodziski,Grodzisk Mazowiecki,Grodzisk Mazowiecki,05-825,Żydowska 7,227555237,227555694,www.gov.pl/web/kppsp-grodzisk-mazowiecki,grodziskpsp@mazowsze.straz.pl
KP PSP Grodzisk Wielkopolski,KM/KP,wielkopolskie,grodziski,Grodzisk Wielkopolski,Grodzisk Wielkopolski,62-065,Rakoniewicka 31,477717400,477717404,www.grodzisk.psp.wlkp.pl,kppspgrodzisk@psp.wlkp.pl
KP PSP Grójec,KM/KP,mazowieckie,grójecki,Grójec,Grójec,05-600,Strażacka 11,486642388,486642556,https://www.gov.pl/web/kppsp-grojec,grojec@mazowsze.straz.pl
KP PSP Gryfice,KM/KP,zachodniopomorskie,gryficki,Gryfice,Gryfice,72-300,3-Maja 25,913847720,913847731,www.straz.gryfice.pl,kp.gryfice@szczecin.kwpsp.gov.pl
KP PSP Gryfino,KM/KP,zachodniopomorskie,gryfiński,Gryfino,Gryfino,74-100,Łużycka 1,914667180,914667182,kppspgryfino.pl,kp.gryfino@szczecin.kwpsp.gov.pl
KP PSP Hajnówka,KM/KP,podlaskie,hajnowski,Hajnówka (gmina miejska),Hajnowka,17-200,11 Listopada 4,477118160,477118153,https://www.gov.pl/web/kppsp-hajnowka/,kpspsha@straz.bialystok.pl
KP PSP Hrubieszów,KM/KP,lubelskie,hrubieszowski,Hrubieszów (gmina miejska),Hrubieszów,22-500,Gródecka 36,846962655,846962589,www.hrubieszow.kppsp.gov.pl,kp_hrubieszow@straz.lublin.pl
KP PSP Iława,KM/KP,warmińsko-mazurskie,iławski,Iława (gmina miejska),Iława,14-200,Kardynała Stefana Wyszyńskiego 10,,896449503,www.gov.pl/web/kppsp-ilawa,skkp@kppsp.ilawa.pl
KP PSP Inowrocław,KM/KP,kujawsko-pomorskie,inowrocławski,Inowrocław (gmina miejska),Inowrocław,88-100,Poznańska 133,523575021,523575021 wew.: 236,https://www.gov.pl/web/kppsp-inowroclaw,inowroclaw@kujawy.psp.gov.pl
KP PSP Janów Lubelski,KM/KP,lubelskie,janowski,Janów Lubelski,Janów Lubelski,23-300,Piłsudskiego 58,158725024,158721182,www.straz-janowlub.pl,kp_janowlubelski@staz.lublin.pl
KP PSP Jarocin,KM/KP,wielkopolskie,jarociński,Jarocin,Jarocin,63-200,Powstańców Wlkp. 2,477717500 wew.: 7500,477717518,www.jarocin.psp.wlkp.pl,kppspjarocin@psp.wlkp.pl
