"Kod";"Nazwa";"ogolem"
"1016102";"Ujazd (2)";"7434"
"1016112";"Żelechlinek (2)";"3195"
"1017000";"Powiat wieluński";"74075"
"1017012";"Biała (2)";"5362"
"1017022";"Czarnożyły (2)";"4405"
"1017032";"Konopnica (2)";"3636"
"1017042";"Mokrsko (2)";"5221"
"1017052";"Osjaków (2)";"4649"
"1017062";"Ostrówek (2)";"4433"
"1017072";"Pątnów (2)";"6276"
"1017082";"Skomlin (2)";"3215"
"1017093";"Wieluń (3)";"30350"
"1017094";"Wieluń - miasto (4)";"21270"
"1017095";"Wieluń - obszar wiejski (5)";"9080"
"1017102";"Wierzchlas (2)";"6528"
"1018000";"Powiat wieruszowski";"41827"
"1018012";"Bolesławiec (2)";"3990"
"1018022";"Czastary (2)";"3907"
"1018032";"Galewice (2)";"6142"
"1018043";"Lututów (3)";"4623"
"1018044";"Lututów - miasto (4)";"2214"
"1018045";"Lututów - obszar wiejski (5)";"2409"
"1018052";"Łubnice (2)";"3931"
"1018062";"Sokolniki (2)";"5012"
"1018073";"Wieruszów (3)";"14222"
"1018074";"Wieruszów - miasto (4)";"8514"
"1018075";"Wieruszów - obszar wiejski (5)";"5708"
"1019000";"Powiat zduńskowolski";"64575"
"1019011";"Zduńska Wola (1)";"39846"
"1019023";"Szadek (3)";"7152"
"1019024";"Szadek - miasto (4)";"1821"
"1019025";"Szadek - obszar wiejski (5)";"5331"
"1019032";"Zapolice (2)";"5395"
"1019042";"Zduńska Wola (2)";"12182"
"1020000";"Powiat zgierski";"167507"
"1020011";"Głowno (1)";"13506"
"1020021";"Ozorków (1)";"18721"
"1020031";"Zgierz (1)";"55079"
"1020043";"Aleksandrów Łódzki (3)";"34170"
"1020044";"Aleksandrów Łódzki - miasto (4)";"22148"
"1020045";"Aleksandrów Łódzki - obszar wiejski (5)";"12022"
"1020052";"Głowno (2)";"4708"
"1020062";"Ozorków (2)";"7254"
"1020072";"Parzęczew (2)";"5217"
"1020083";"Stryków (3)";"12981"
"1020084";"Stryków - miasto (4)";"3458"
"1020085";"Stryków - obszar wiejski (5)";"9523"
"1020092";"Zgierz (2)";"15871"
"1021000";"Powiat brzeziński";"30440"
"1021011";"Brzeziny (1)";"12117"
"1021022";"Brzeziny (2)";"6075"
"1021032";"Dmosin (2)";"4420"
"1021042";"Jeżów (2)";"3206"
"1021052";"Rogów (2)";"4622"
"1061000";"Powiat m. Łódź";"670642"
"1061011";"Łódź (1)";"670642"
"1062000";"Powiat m. Piotrków Trybunalski";"68978"
"1062011";"Piotrków Trybunalski (1)";"68978"
"1063000";"Powiat m. Skierniewice";"46437"
"1063011";"Skierniewice (1)";"46437"
"1200000";"MAŁOPOLSKIE";"3432295"
"1201000";"Powiat bocheński";"106802"
"1201011";"Bochnia (1)";"28946"
"1201022";"Bochnia (2)";"20517"
"1201032";"Drwinia (2)";"6485"
"1201042";"Lipnica Murowana (2)";"5548"
"1201052";"Łapanów (2)";"8478"
"1201063";"Nowy Wiśnicz (3)";"14322"
"1201064";"Nowy Wiśnicz - miasto (4)";"2788"
"1201065";"Nowy Wiśnicz - obszar wiejski (5)";"11534"
"1201072";"Rzezawa (2)";"11365"
"1201082";"Trzciana (2)";"5628"
"1201092";"Żegocina (2)";"5513"
"1202000";"Powiat brzeski";"92223"
"1202012";"Borzęcin (2)";"8155"
"1202023";"Brzesko (3)";"35706"
"1202024";"Brzesko - miasto (4)";"16193"
"1202025";"Brzesko - obszar wiejski (5)";"19513"
"1202033";"Czchów (3)";"9856"
"1202034";"Czchów - miasto (4)";"2364"
"1202035";"Czchów - obszar wiejski (5)";"7492"
"1202042";"Dębno (2)";"14479"
"1202052";"Gnojnik (2)";"8151"
"1202062";"Iwkowa (2)";"6559"
"1202072";"Szczurowa (2)";"9317"
"1203000";"Powiat chrzanowski";"121485"
"1203013";"Alwernia (3)";"12484"
"1203014";"Alwernia - miasto (4)";"3306"
"1203015";"Alwernia - obszar wiejski (5)";"9178"
"1203022";"Babice (2)";"9067"
"1203033";"Chrzanów (3)";"45226"
"1203034";"Chrzanów - miasto (4)";"35091"
"1203035";"Chrzanów - obszar wiejski (5)";"10135"
"1203043";"Libiąż (3)";"21648"
"1203044";"Libiąż - miasto (4)";"16385"
"1203045";"Libiąż - obszar wiejski (5)";"5263"
"1203053";"Trzebinia (3)";"33060"
"1203054";"Trzebinia - miasto (4)";"19134"
"1203055";"Trzebinia - obszar wiejski (5)";"13926"
"1204000";"Powiat dąbrowski";"58234"
"1204012";"Bolesław (2)";"2704"
"1204023";"Dąbrowa Tarnowska (3)";"20973"
"1204024";"Dąbrowa Tarnowska - miasto (4)";"11549"
"1204025";"Dąbrowa Tarnowska - obszar wiejski (5)";"9424"
"1204032";"Gręboszów (2)";"3271"
"1204042";"Mędrzechów (2)";"3374"
"1204052";"Olesno (2)";"7712"
"1204062";"Radgoszcz (2)";"7460"
"1204073";"Szczucin (3)";"12740"
"1204074";"Szczucin - miasto (4)";"4149"
"1204075";"Szczucin - obszar wiejski (5)";"8591"
"1205000";"Powiat gorlicki";"106818"
"1205011";"Gorlice (1)";"26405"
"1205023";"Biecz (3)";"16464"
"1205024";"Biecz - miasto (4)";"4445"
"1205025";"Biecz - obszar wiejski (5)";"12019"
"1205033";"Bobowa (3)";"9576"
"1205034";"Bobowa - miasto (4)";"3094"
"1205035";"Bobowa - obszar wiejski (5)";"6482"
"1205042";"Gorlice (2)";"17042"
"1205052";"Lipinki (2)";"6760"
"1205062";"Łużna (2)";"8397"
"1205072";"Moszczenica (2)";"4916"
"1205082";"Ropa (2)";"5530"
"1205092";"Sękowa (2)";"4881"
"1205102";"Uście Gorlickie (2)";"6847"
"1206000";"Powiat krakowski";"296570"
"1206012";"Czernichów (2)";"15139"
"1206022";"Igołomia-Wawrzeńczyce (2)";"7910"
"1206032";"Iwanowice (2)";"9735"
"1206042";"Jerzmanowice-Przeginia (2)";"11195"
"1206052";"Kocmyrzów-Luborzyca (2)";"17566"
"1206063";"Krzeszowice (3)";"32142"
"1206064";"Krzeszowice - miasto (4)";"9868"
"1206065";"Krzeszowice - obszar wiejski (5)";"22274"
"1206072";"Liszki (2)";"18117"
"1206082";"Michałowice (2)";"12738"
"1206092";"Mogilany (2)";"15859"
"1206103";"Skała (3)";"10910"
"1206104";"Skała - miasto (4)";"3834"
"1206105";"Skała - obszar wiejski (5)";"7076"
"1206113";"Skawina (3)";"44022"
"1206114";"Skawina - miasto (4)";"24177"
"1206115";"Skawina - obszar wiejski (5)";"19845"
"1206123";"Słomniki (3)";"13851"
"1206124";"Słomniki - miasto (4)";"4226"
"1206125";"Słomniki - obszar wiejski (5)";"9625"
"1206132";"Sułoszowa (2)";"5784"
"1206143";"Świątniki Górne (3)";"10945"
"1206144";"Świątniki Górne - miasto (4)";"2418"
"1206145";"Świątniki Górne - obszar wiejski (5)";"8527"
"1206152";"Wielka Wieś (2)";"15375"
"1206162";"Zabierzów (2)";"28912"
"1206172";"Zielonki (2)";"26370"
"1207000";"Powiat limanowski";"131227"
"1207011";"Limanowa (1)";"14635"
"1207021";"Mszana Dolna (1)";"7854"
"1207032";"Dobra (2)";"10035"
"1207042";"Jodłownik (2)";"8711"
"1207052";"Kamienica (2)";"7813"
"1207062";"Laskowa (2)";"8114"
"1207072";"Limanowa (2)";"25745"
"1207082";"Łukowica (2)";"10090"
"1207092";"Mszana Dolna (2)";"17653"
"1207102";"Niedźwiedź (2)";"7318"
"1207112";"Słopnice (2)";"6823"
"1207122";"Tymbark (2)";"6436"
"1208000";"Powiat miechowski";"47699"
"1208012";"Charsznica (2)";"7284"
"1208022";"Gołcza (2)";"5976"
"1208032";"Kozłów (2)";"4479"
"1208042";"Książ Wielki (2)";"4997"
"1208053";"Miechów (3)";"19094"
"1208054";"Miechów - miasto (4)";"11215"
"1208055";"Miechów - obszar wiejski (5)";"7879"
"1208062";"Racławice (2)";"2444"
"1208072";"Słaboszów (2)";"3425"
"1209000";"Powiat myślenicki";"129211"
"1209013";"Dobczyce (3)";"15495"
"1209014";"Dobczyce - miasto (4)";"6263"
"1209015";"Dobczyce - obszar wiejski (5)";"9232"
"1209022";"Lubień (2)";"10103"
"1209033";"Myślenice (3)";"45166"
"1209034";"Myślenice - miasto (4)";"18051"
"1209035";"Myślenice - obszar wiejski (5)";"27115"
"1209042";"Pcim (2)";"11186"
"1209052";"Raciechowice (2)";"6409"
"1209062";"Siepraw (2)";"9416"
"1209073";"Sułkowice (3)";"15096"
"1209074";"Sułkowice - miasto (4)";"6542"
"1209075";"Sułkowice - obszar wiejski (5)";"8554"
"1209082";"Tokarnia (2)";"8855"
"1209092";"Wiśniowa (2)";"7485"
"1210000";"Powiat nowosądecki";"214547"
"1210011";"Grybów (1)";"6010"
"1210022";"Chełmiec (2)";"29150"
"1210032";"Gródek nad Dunajcem (2)";"8990"
"1210042";"Grybów (2)";"25203"
"1210052";"Kamionka Wielka (2)";"10428"
"1210062";"Korzenna (2)";"14364"
"1210073";"Krynica-Zdrój (3)";"16035"
"1210074";"Krynica-Zdrój - miasto (4)";"10001"
"1210075";"Krynica-Zdrój - obszar wiejski (5)";"6034"
"1210082";"Łabowa (2)";"5960"
"1210092";"Łącko (2)";"16589"
"1210102";"Łososina Dolna (2)";"11079"
"1210113";"Muszyna (3)";"11328"
"1210114";"Muszyna - miasto (4)";"4600"
"1210115";"Muszyna - obszar wiejski (5)";"6728"
"1210122";"Nawojowa (2)";"8749"
"1210133";"Piwniczna-Zdrój (3)";"10105"
"1210134";"Piwniczna-Zdrój - miasto (4)";"5507"
"1210135";"Piwniczna-Zdrój - obszar wiejski (5)";"4598"
"1210142";"Podegrodzie (2)";"13332"
"1210152";"Rytro (2)";"3694"
"1210163";"Stary Sącz (3)";"23531"
"1210164";"Stary Sącz - miasto (4)";"8746"
"1210165";"Stary Sącz - obszar wiejski (5)";"14785"
"1211000";"Powiat nowotarski";"190532"
"1211011";"Nowy Targ (1)";"33273"
"1211023";"Szczawnica (3)";"6919"
"1211024";"Szczawnica - miasto (4)";"5465"
"1211025";"Szczawnica - obszar wiejski (5)";"1454"
"1211032";"Czarny Dunajec (2)";"22120"
"1211042";"Czorsztyn (2)";"7639"
"1211052";"Jabłonka (2)";"18892"
"1211062";"Krościenko nad Dunajcem (2)";"6742"
"1211072";"Lipnica Wielka (2)";"6107"
"1211082";"Łapsze Niżne (2)";"9235"
"1211092";"Nowy Targ (2)";"24075"
"1211102";"Ochotnica Dolna (2)";"8423"
"1211112";"Raba Wyżna (2)";"14568"
"1211123";"Rabka-Zdrój (3)";"16796"
"1211124";"Rabka-Zdrój - miasto (4)";"12468"
"1211125";"Rabka-Zdrój - obszar wiejski (5)";"4328"
"1211132";"Spytkowice (2)";"4629"
"1211142";"Szaflary (2)";"11114"
"1212000";"Powiat olkuski";"108665"
"1212011";"Bukowno (1)";"9791"
"1212032";"Bolesław (2)";"7665"
"1212042";"Klucze (2)";"14843"
"1212053";"Olkusz (3)";"46971"
"1212054";"Olkusz - miasto (4)";"33462"
"1212055";"Olkusz - obszar wiejski (5)";"13509"
"1212062";"Trzyciąż (2)";"7017"
"1212073";"Wolbrom (3)";"22378"
"1212074";"Wolbrom - miasto (4)";"8361"
"1212075";"Wolbrom - obszar wiejski (5)";"14017"
"1213000";"Powiat oświęcimski";"151008"
"1213011";"Oświęcim (1)";"36956"
"1213023";"Brzeszcze (3)";"20867"
"1213024";"Brzeszcze - miasto (4)";"11049"
"1213025";"Brzeszcze - obszar wiejski (5)";"9818"
"1213033";"Chełmek (3)";"12577"
"1213034";"Chełmek - miasto (4)";"8669"
"1213035";"Chełmek - obszar wiejski (5)";"3908"
"1213043";"Kęty (3)";"33529"
"1213044";"Kęty - miasto (4)";"18067"
"1213045";"Kęty - obszar wiejski (5)";"15462"
"1213052";"Osiek (2)";"8174"
"1213062";"Oświęcim (2)";"18932"
"1213072";"Polanka Wielka (2)";"4314"
"1213082";"Przeciszów (2)";"6516"
"1213093";"Zator (3)";"9143"
"1213094";"Zator - miasto (4)";"3615"
"1213095";"Zator - obszar wiejski (5)";"5528"
"1214000";"Powiat proszowicki";"42744"
"1214012";"Koniusza (2)";"9044"
"1214023";"Koszyce (3)";"5339"
"1214024";"Koszyce - miasto (4)";"780"
"1214025";"Koszyce - obszar wiejski (5)";"4559"
"1214033";"Nowe Brzesko (3)";"5707"
"1214034";"Nowe Brzesko - miasto (4)";"1628"
"1214035";"Nowe Brzesko - obszar wiejski (5)";"4079"
"1214042";"Pałecznica (2)";"3558"
"1214053";"Proszowice (3)";"15828"
"1214054";"Proszowice - miasto (4)";"5936"
"1214055";"Proszowice - obszar wiejski (5)";"9892"
"1214062";"Radziemice (2)";"3268"
"1215000";"Powiat suski";"83324"
"1215011";"Jordanów (1)";"5313"
"1215021";"Sucha Beskidzka (1)";"8951"
"1215032";"Budzów (2)";"8819"
"1215042";"Bystra-Sidzina (2)";"6820"
"1215052";"Jordanów (2)";"11175"
"1215063";"Maków Podhalański (3)";"15888"
"1215064";"Maków Podhalański - miasto (4)";"5625"
"1215065";"Maków Podhalański - obszar wiejski (5)";"10263"
"1215072";"Stryszawa (2)";"11997"
"1215082";"Zawoja (2)";"8893"
"1215092";"Zembrzyce (2)";"5468"
"1216000";"Powiat tarnowski";"198380"
"1216013";"Ciężkowice (3)";"11083"
"1216014";"Ciężkowice - miasto (4)";"2503"
"1216015";"Ciężkowice - obszar wiejski (5)";"8580"
"1216022";"Gromnik (2)";"8791"
"1216032";"Lisia Góra (2)";"15557"
"1216042";"Pleśna (2)";"11841"
"1216053";"Radłów (3)";"9447"
"1216054";"Radłów - miasto (4)";"2684"
"1216055";"Radłów - obszar wiejski (5)";"6763"
"1216063";"Ryglice (3)";"11310"
"1216064";"Ryglice - miasto (4)";"2735"
"1216065";"Ryglice - obszar wiejski (5)";"8575"
"1216072";"Rzepiennik Strzyżewski (2)";"6598"
"1216082";"Skrzyszów (2)";"14069"
"1216092";"Tarnów (2)";"26130"
"1216103";"Tuchów (3)";"17340"
"1216104";"Tuchów - miasto (4)";"6339"
"1216105";"Tuchów - obszar wiejski (5)";"11001"
"1216112";"Wierzchosławice (2)";"10633"
"1216122";"Wietrzychowice (2)";"3813"
"1216133";"Wojnicz (3)";"13147"
"1216134";"Wojnicz - miasto (4)";"3113"
"1216135";"Wojnicz - obszar wiejski (5)";"10034"
"1216143";"Zakliczyn (3)";"12393"
"1216144";"Zakliczyn - miasto (4)";"1594"
"1216145";"Zakliczyn - obszar wiejski (5)";"10799"
"1216153";"Żabno (3)";"18589"
"1216154";"Żabno - miasto (4)";"4177"
"1216155";"Żabno - obszar wiejski (5)";"14412"
"1216162";"Szerzyny (2)";"7639"
"1217000";"Powiat tatrzański";"66949"
"1217011";"Zakopane (1)";"25770"
"1217022";"Biały Dunajec (2)";"6914"
"1217032";"Bukowina Tatrzańska (2)";"13455"
"1217042";"Kościelisko (2)";"9028"
"1217052";"Poronin (2)";"11782"
"1218000";"Powiat wadowicki";"158594"
"1218013";"Andrychów (3)";"42616"
"1218014";"Andrychów - miasto (4)";"19203"
"1218015";"Andrychów - obszar wiejski (5)";"23413"
"1218022";"Brzeźnica (2)";"10727"
"1218033";"Kalwaria Zebrzydowska (3)";"19951"
"1218034";"Kalwaria Zebrzydowska - miasto (4)";"4418"
"1218035";"Kalwaria Zebrzydowska - obszar wiejski (5)";"15533"
"1218042";"Lanckorona (2)";"6266"
"1218052";"Mucharz (2)";"4137"
"1218062";"Spytkowice (2)";"10246"
"1218072";"Stryszów (2)";"6858"
"1218082";"Tomice (2)";"8180"
"1218093";"Wadowice (3)";"37121"
"1218094";"Wadowice - miasto (4)";"17905"
"1218095";"Wadowice - obszar wiejski (5)";"19216"
"1218102";"Wieprz (2)";"12492"
"1219000";"Powiat wielicki";"139090"
"1219012";"Biskupice (2)";"11350"
"1219022";"Gdów (2)";"18543"
"1219032";"Kłaj (2)";"10998"
"1219043";"Niepołomice (3)";"31886"
"1219044";"Niepołomice - miasto (4)";"15697"
"1219045";"Niepołomice - obszar wiejski (5)";"16189"
"1219053";"Wieliczka (3)";"66313"
"1219054";"Wieliczka - miasto (4)";"26599"
"1219055";"Wieliczka - obszar wiejski (5)";"39714"
"1261000";"Powiat m. Kraków";"800653"
"1261011";"Kraków (1)";"800653"
"1262000";"Powiat m. Nowy Sącz";"81281"
"1262011";"Nowy Sącz (1)";"81281"
"1263000";"Powiat m. Tarnów";"106259"
"1263011";"Tarnów (1)";"106259"
"1400000";"MAZOWIECKIE";"5514699"
"1401000";"Powiat białobrzeski";"32868"
"1401013";"Białobrzegi (3)";"9965"
"1401014";"Białobrzegi - miasto (4)";"6615"
"1401015";"Białobrzegi - obszar wiejski (5)";"3350"
"1401022";"Promna (2)";"5516"
"1401032";"Radzanów (2)";"3814"
"1401042";"Stara Błotnica (2)";"5393"
"1401052";"Stromiec (2)";"5489"
"1401063";"Wyśmierzyce (3)";"2691"
"1401064";"Wyśmierzyce - miasto (4)";"869"
"1401065";"Wyśmierzyce - obszar wiejski (5)";"1822"
"1402000";"Powiat ciechanowski";"86742"
"1402011";"Ciechanów (1)";"42705"
"1402022";"Ciechanów (2)";"7363"
"1402033";"Glinojeck (3)";"7337"
"1402034";"Glinojeck - miasto (4)";"2858"
"1402035";"Glinojeck - obszar wiejski (5)";"4479"
"1402042";"Gołymin-Ośrodek (2)";"3580"
"1402052";"Grudusk (2)";"3435"
"1402062";"Ojrzeń (2)";"4196"
"1402072";"Opinogóra Górna (2)";"5823"
"1402082";"Regimin (2)";"4807"
"1402092";"Sońsk (2)";"7496"
"1403000";"Powiat garwoliński";"106255"
"1403011";"Garwolin (1)";"17279"
"1403021";"Łaskarzew (1)";"4575"
"1403032";"Borowie (2)";"4975"
"1403042";"Garwolin (2)";"13321"
"1403052";"Górzno (2)";"6635"
"1403062";"Łaskarzew (2)";"5311"
"1403072";"Maciejowice (2)";"6565"
"1403082";"Miastków Kościelny (2)";"4653"
"1403092";"Parysów (2)";"4144"
"1403103";"Pilawa (3)";"10658"
"1403104";"Pilawa - miasto (4)";"4424"
"1403105";"Pilawa - obszar wiejski (5)";"6234"
"1403112";"Sobolew (2)";"7916"
"1403122";"Trojanów (2)";"7159"
"1403132";"Wilga (2)";"5126"
"1403143";"Żelechów (3)";"7938"
"1403144";"Żelechów - miasto (4)";"3790"
"1403145";"Żelechów - obszar wiejski (5)";"4148"
"1404000";"Powiat gostyniński";"43404"
"1404011";"Gostynin (1)";"17624"
"1404022";"Gostynin (2)";"11834"
"1404032";"Pacyna (2)";"3404"
"1404043";"Sanniki (3)";"5815"
"1404044";"Sanniki - miasto (4)";"1833"
"1404045";"Sanniki - obszar wiejski (5)";"3982"
"1404052";"Szczawin Kościelny (2)";"4727"
"1405000";"Powiat grodziski";"102011"
"1405011";"Milanówek (1)";"16490"
"1405021";"Podkowa Leśna (1)";"3867"
"1405032";"Baranów (2)";"5525"
"1405043";"Grodzisk Mazowiecki (3)";"52785"
"1405044";"Grodzisk Mazowiecki - miasto (4)";"33708"
"1405045";"Grodzisk Mazowiecki - obszar wiejski (5)";"19077"
"1405052";"Jaktorów (2)";"13007"
"1405062";"Żabia Wola (2)";"10337"
"1406000";"Powiat grójecki";"98097"
"1406012";"Belsk Duży (2)";"6335"
"1406022";"Błędów (2)";"7169"
"1406032";"Chynów (2)";"10142"
"1406042";"Goszczyn (2)";"2880"
"1406053";"Grójec (3)";"26286"
"1406054";"Grójec - miasto (4)";"17037"
"1406055";"Grójec - obszar wiejski (5)";"9249"
"1406062";"Jasieniec (2)";"5379"
"1406073";"Mogielnica (3)";"8360"
"1406074";"Mogielnica - miasto (4)";"2206"
"1406075";"Mogielnica - obszar wiejski (5)";"6154"
"1406083";"Nowe Miasto nad Pilicą (3)";"7385"
"1406084";"Nowe Miasto nad Pilicą - miasto (4)";"3649"
"1406085";"Nowe Miasto nad Pilicą - obszar wiejski (5)";"3736"
"1406092";"Pniewy (2)";"4795"
"1406113";"Warka (3)";"19366"
"1406114";"Warka - miasto (4)";"12003"
"1406115";"Warka - obszar wiejski (5)";"7363"
"1407000";"Powiat kozienicki";"58197"
"1407012";"Garbatka-Letnisko (2)";"4815"
"1407022";"Głowaczów (2)";"6796"
"1407032";"Gniewoszów (2)";"3854"
"1407042";"Grabów nad Pilicą (2)";"4060"
"1407053";"Kozienice (3)";"28397"
"1407054";"Kozienice - miasto (4)";"16192"
"1407055";"Kozienice - obszar wiejski (5)";"12205"
"1407062";"Magnuszew (2)";"6494"
"1407072";"Sieciechów (2)";"3781"
"1408000";"Powiat legionowski";"127617"
"1408011";"Legionowo (1)";"53216"
"1408022";"Jabłonna (2)";"22289"
"1408032";"Nieporęt (2)";"16606"
"1408043";"Serock (3)";"16579"
"1408044";"Serock - miasto (4)";"4959"
"1408045";"Serock - obszar wiejski (5)";"11620"
"1408052";"Wieliszew (2)";"18927"
"1409000";"Powiat lipski";"32478"
"1409012";"Chotcza (2)";"2277"
"1409022";"Ciepielów (2)";"5324"
"1409033";"Lipsko (3)";"10411"
"1409034";"Lipsko - miasto (4)";"5199"
"1409035";"Lipsko - obszar wiejski (5)";"5212"
"1409042";"Rzeczniów (2)";"4140"
"1409052";"Sienno (2)";"5663"
"1409063";"Solec nad Wisłą (3)";"4663"
"1409064";"Solec nad Wisłą - miasto (4)";"796"
"1409065";"Solec nad Wisłą - obszar wiejski (5)";"3867"
"1410000";"Powiat łosicki";"29646"
"1410012";"Huszlew (2)";"2696"
"1410023";"Łosice (3)";"10701"
"1410024";"Łosice - miasto (4)";"7033"
"1410025";"Łosice - obszar wiejski (5)";"3668"
"1410032";"Olszanka (2)";"2795"
"1410042";"Platerów (2)";"4591"
"1410052";"Sarnaki (2)";"4362"
"1410062";"Stara Kornica (2)";"4501"
"1411000";"Powiat makowski";"42864"
"1411011";"Maków Mazowiecki (1)";"9173"
"1411022";"Czerwonka (2)";"2569"
"1411032";"Karniewo (2)";"4955"
"1411042";"Krasnosielc (2)";"6040"
"1411052";"Młynarze (2)";"1662"
"1411062";"Płoniawy-Bramura (2)";"5084"
"1411073";"Różan (3)";"4293"
"1411074";"Różan - miasto (4)";"2647"
"1411075";"Różan - obszar wiejski (5)";"1646"
"1411082";"Rzewnie (2)";"2482"
"1411092";"Sypniewo (2)";"3037"
"1411102";"Szelków (2)";"3569"
"1412000";"Powiat miński";"158750"
"1412011";"Mińsk Mazowiecki (1)";"40467"
"1412042";"Cegłów (2)";"6098"
"1412052";"Dębe Wielkie (2)";"11406"
"1412062";"Dobre (2)";"5914"
"1412073";"Halinów (3)";"17850"
"1412074";"Halinów - miasto (4)";"3740"
"1412075";"Halinów - obszar wiejski (5)";"14110"
"1412082";"Jakubów (2)";"5087"
"1412093";"Kałuszyn (3)";"5613"
"1412094";"Kałuszyn - miasto (4)";"2731"
"1412095";"Kałuszyn - obszar wiejski (5)";"2882"
"1412102";"Latowicz (2)";"5226"
"1412112";"Mińsk Mazowiecki (2)";"16496"
"1412123";"Mrozy (3)";"8687"
"1412124";"Mrozy - miasto (4)";"3600"
"1412125";"Mrozy - obszar wiejski (5)";"5087"
"1412132";"Siennica (2)";"7658"
"1412142";"Stanisławów (2)";"7000"
"1412151";"Sulejówek (1)";"21248"
"1413000";"Powiat mławski";"70281"
"1413011";"Mława (1)";"30919"
"1413022";"Dzierzgowo (2)";"2867"
"1413032";"Lipowiec Kościelny (2)";"4579"
"1413042";"Radzanów (2)";"3072"
"1413052";"Strzegowo (2)";"7236"
"1413062";"Stupsk (2)";"4525"
"1413072";"Szreńsk (2)";"3901"
"1413082";"Szydłowo (2)";"4287"
"1413092";"Wieczfnia Kościelna (2)";"3766"
"1413102";"Wiśniewo (2)";"5129"
"1414000";"Powiat nowodworski";"79925"
"1414011";"Nowy Dwór Mazowiecki (1)";"28651"
"1414022";"Czosnów (2)";"10863"
"1414032";"Leoncin (2)";"5599"
"1414043";"Nasielsk (3)";"19476"
"1414044";"Nasielsk - miasto (4)";"7480"
"1414045";"Nasielsk - obszar wiejski (5)";"11996"
"1414052";"Pomiechówek (2)";"9349"
"1414063";"Zakroczym (3)";"5987"
"1414064";"Zakroczym - miasto (4)";"3177"
"1414065";"Zakroczym - obszar wiejski (5)";"2810"
"1415000";"Powiat ostrołęcki";"87450"
"1415012";"Baranowo (2)";"6120"
"1415022";"Czarnia (2)";"2283"
"1415032";"Czerwin (2)";"4836"
"1415042";"Goworowo (2)";"7951"
"1415052";"Kadzidło (2)";"11086"
"1415062";"Lelis (2)";"9789"
"1415072";"Łyse (2)";"8254"
"1415083";"Myszyniec (3)";"10178"
"1415084";"Myszyniec - miasto (4)";"3270"
"1415085";"Myszyniec - obszar wiejski (5)";"6908"
"1415092";"Olszewo-Borki (2)";"10900"
"1415102";"Rzekuń (2)";"11480"
"1415112";"Troszyn (2)";"4573"
"1416000";"Powiat ostrowski";"69957"
"1416011";"Ostrów Mazowiecka (1)";"22013"
"1416022";"Andrzejewo (2)";"3885"
"1416032";"Boguty-Pianki (2)";"2463"
"1416043";"Brok (3)";"2626"
"1416044";"Brok - miasto (4)";"1777"
"1416045";"Brok - obszar wiejski (5)";"849"
"1416052";"Małkinia Górna (2)";"11049"
"1416062";"Nur (2)";"2577"
"1416072";"Ostrów Mazowiecka (2)";"12741"
"1416082";"Stary Lubotyń (2)";"3627"
"1416092";"Szulborze Wielkie (2)";"1565"
"1416102";"Wąsewo (2)";"4027"
"1416112";"Zaręby Kościelne (2)";"3384"
"1417000";"Powiat otwocki";"126694"
"1417011";"Józefów (1)";"21035"
"1417021";"Otwock (1)";"44524"
"1417032";"Celestynów (2)";"11701"
"1417043";"Karczew (3)";"15982"
"1417044";"Karczew - miasto (4)";"9566"
"1417045";"Karczew - obszar wiejski (5)";"6416"
"1417052";"Kołbiel (2)";"8359"
"1417062";"Osieck (2)";"3668"
"1417072";"Sobienie-Jeziory (2)";"6292"
"1417082";"Wiązowna (2)";"15133"
"1418000";"Powiat piaseczyński";"207514"
"1418013";"Góra Kalwaria (3)";"28047"
"1418014";"Góra Kalwaria - miasto (4)";"11887"
"1418015";"Góra Kalwaria - obszar wiejski (5)";"16160"
"1418023";"Konstancin-Jeziorna (3)";"25248"
"1418024";"Konstancin-Jeziorna - miasto (4)";"17157"
"1418025";"Konstancin-Jeziorna - obszar wiejski (5)";"8091"
"1418032";"Lesznowola (2)";"34303"
"1418043";"Piaseczno (3)";"95064"
"1418044";"Piaseczno - miasto (4)";"51945"
"1418045";"Piaseczno - obszar wiejski (5)";"43119"
"1418052";"Prażmów (2)";"12714"
"1418063";"Tarczyn (3)";"12138"
"1418064";"Tarczyn - miasto (4)";"4248"
"1418065";"Tarczyn - obszar wiejski (5)";"7890"
"1419000";"Powiat płocki";"110045"
"1419012";"Bielsk (2)";"8954"
"1419022";"Bodzanów (2)";"7934"
"1419032";"Brudzeń Duży (2)";"8264"
"1419042";"Bulkowo (2)";"5291"
"1419053";"Drobin (3)";"7490"
"1419054";"Drobin - miasto (4)";"2711"
"1419055";"Drobin - obszar wiejski (5)";"4779"
"1419063";"Gąbin (3)";"11076"
"1419064";"Gąbin - miasto (4)";"4117"
"1419065";"Gąbin - obszar wiejski (5)";"6959"
"1419072";"Łąck (2)";"5376"
"1419082";"Mała Wieś (2)";"5755"
"1419092";"Nowy Duninów (2)";"3982"
"1419102";"Radzanowo (2)";"8590"
"1419112";"Słubice (2)";"4201"
"1419122";"Słupno (2)";"8732"
"1419132";"Stara Biała (2)";"12184"
"1419142";"Staroźreby (2)";"6888"
"1419153";"Wyszogród (3)";"5328"
"1419154";"Wyszogród - miasto (4)";"2456"
"1419155";"Wyszogród - obszar wiejski (5)";"2872"
"1420000";"Powiat płoński";"85281"
"1420011";"Płońsk (1)";"21800"
