X,Y,Name,adres,kod,miasto,telefon,email
22.8073969,53.4028797,Nadzór Wodny w Mońkach,ul. Tysiąclecia 23 B ,19-100,Mońki,85 733 03 52,nw-monki@wody.gov.pl
23.517094,53.4028409,Nadzór Wodny w Sokółce,ul. Wodna 7 ,16-100,Sokółka,85 711 29 45,nw-sokolka@wody.gov.pl
21.7642586,54.0346672,Nadzór Wodny w Giżycku,ul. Wodna 4 ,11-500,Giżycko,87 444 06 30,nw-gizycko@wody.gov.pl
22.3013872,54.3094091,Nadzór Wodny w Gołdapi,ul. Żeromskiego 8 A ,19-500,Gołdap,87 615 10 46,nw-goldap@wody.gov.pl
21.9286514,53.409238,Nadzór Wodny w Kolnie,ul. Dąbrowskiej 4 ,18-500,Kolno,86 444 23 01,nw-kolno@wody.gov.pl
21.5666234,53.8013588,Nadzór Wodny w Mikołajkach,ul. Mrągowska 10 ,11-730,Mikołajki,87 444 06 32,nw-mikolajki@wody.gov.pl
21.8138977,53.6241275,Nadzór Wodny w Piszu,ul. Warszawska 21 ,12-200,Pisz,87 423 31 92,nw-pisz@wody.gov.pl
21.7397036,54.2118401,Nadzór Wodny w Węgorzewie,ul. Plac Wolności 7 ,11-600,Węgorzewo,87 444 06 31,nw-wegorzewo@wody.gov.pl
20.8153653,54.2508736,Nadzór Wodny w Bartoszycach,ul. Grota Roweckiego 1 ,11-200,Bartoszyce,89 762 24 63,nw-bartoszyce@wody.gov.pl
21.3729557,54.0780068,Nadzór Wodny w Kętrzynie,Pl. Marszałka Józefa Piłsudskiego 1 ,11-400,Kętrzyn,89 650-05-30,nw-ketrzyn@wody.gov.pl
20.588659,54.1255347,Nadzór Wodny w Lidzbarku Warmińskim,ul. Stefana Wyszyńskiego 37 ,11-100,Lidzbark Warmiński,89 650 05 31,nw-lidzbarkwarminski@wody.gov.pl
21.2977566,53.8804593,Nadzór Wodny w Mrągowie,ul. Widok 7 ,11-700,Mrągowo,89 741 36 12,nw-mragowo@wody.gov.pl
20.481544,53.7818313,Nadzór Wodny w Olsztynie,ul. Partyzantów 1/2 ,10-526,Olsztyn,89 52 17 115,nw-olsztyn@wody.gov.pl
22.0542191,53.1680051,Nadzór Wodny w Łomży,ul. Al. J. Piłsudskiego 70 ,18-400,Łomża,86 218 54 81,nw-lomza@wody.gov.pl
21.5640936,53.0825186,Nadzór Wodny w Ostrołęce,ul. Nadnarwiańska 2  ,07-400,Ostrołęka,29 764 20 96,nw-ostroleka@wody.gov.pl
20.9827298,53.5542769,Nadzór Wodny w Szczytnie,ul. Sobieszczańskiego 24  ,12-100,Szczytno,89 624 30 92,nw-szczytno@wody.gov.pl
22.2428448,52.9870235,Nadzór Wodny w Zambrowie,ul. RTM Witolda Pileckiego 5 ,18-300,Zambrów,86 444 23 00,nw-zambrow@wody.gov.pl
18.1276627,53.1279188,"Nadzór Wodny w Bydgoszczy",ul. Łowicka 82 ,85-776,Bydgoszcz,+48 (52) 365 2190,nw-gd-bydgoszcz@wody.gov.pl
23.185635,53.1440787,Regionalny Zarząd Gospodarki Wodnej w Białymstoku,ul. Pułkowa 11 ,15-143,Białystok,+48 (85) 733 03 20,bialystok@wody.gov.pl
18.0129887,53.1312722,Regionalny Zarząd Gospodarki Wodnej w Bydgoszczy,Al. Adama Mickiewicza 15 ,85-071,Bydgoszcz,+48 (52) 33 91 100,bydgoszcz@wody.gov.pl
18.2583507,52.7963722,Zarząd Zlewni w Inowrocławiu,ul. Królowej Jadwigi 20 ,88-100,Inowrocław,+48 (52) 356-57-50,zz-inowroclaw@wody.gov.pl
16.7582381,53.1303509,Zarząd Zlewni w Pile,ul. Motylewska 7 ,64-920,Piła,+48 672 123 244,zz-pila@wody.gov.pl
17.9970451,53.1272461,Nadzór Wodny w Bydgoszczy,ul. Konarskiego 1-3  ,85-066,Bydgoszcz,606 774 125,nw-bydgoszcz@wody.gov.pl
16.8830236,53.0280135,Nadzór Wodny w Chodzieży,Milcz 4B ,64-800,Milcz,67 348 66 60,nw-chodziez@wody.gov.pl
18.2609034,52.7990291,Nadzór Wodny w Inowrocławiu,ul. Toruńska 25 ,88-100,Inowrocław,52 357 40 66,nw-inowroclaw@wody.gov.pl
17.9516012,52.66162,Nadzór Wodny w Mogilnie,ul. Ogrodowa 10 ,88-300,Mogilno,,nw-mogilno@wody.gov.pl
17.5996129,53.1332338,"Nadzór Wodny w Nakle nad Notecią",ul. Hallera 23a ,89-100,Nakło nad Notecią,52 385 22 86,nw-naklonadnotecia@wody.gov.pl
18.5267105,52.6245767,Nadzór Wodny w Radziejowie,ul. Rynek 1 ,88-200,Radziejów,+48 54 230 35 76,nw-radziejow@wody.gov.pl
17.4869623,53.3563018,Nadzór Wodny w Więcborku,Al. 600-lecia 9 ,89-410,Więcbork,52 389 70 40,nw-wiecbork@wody.gov.pl
17.7229213,52.8460255,Nadzór Wodny w Żninie,Plac Wolności 21 ,88-400,Żnin,+48 604 492 340,nw-znin@wody.gov.pl
15.7986364,53.5302471,"Nadzór Wodny w Drawsku Pomorskim",ul. Marynarska 9 ,78-500,Drawsko Pomorskie,+48 94 363 07 53,nw-drawskopomorskie@wody.gov.pl
15.8437363,52.8527034,Nadzór Wodny w Drezdenku,ul. Portowa 21 ,66-530,Drezdenko,+48 95 762 01 55,nw-drezdenko@wody.gov.pl
16.7587852,53.1304089,"Nadzór Wodny w Pile",ul. Motylewska 7 ,64-920,Piła,+48 606 774 122,nw-pila@wody.gov.pl
15.5226229,52.8731288,"Nadzór Wodny w Strzelcach Krajeńskich",ul. Gorzowska 15 ,66-500,Strzelce Krajeńskie,+48 95 763 22 59,nw-strzelcekrajenskie@wody.gov.pl
16.6930979,53.7068936,"Nadzór Wodny w Szczecinku",ul. Mickiewicza 2 ,78-400,Szczecinek,+48 94 374 09 71,nw-szczecinek@wody.gov.pl
16.4510555,53.039447,Nadzór Wodny w Trzciance,ul. Wieleńska 1 ,64-980,Trzcianka,+48 67 210 19 32,nw-trzcianka@wody.gov.pl
16.1564144,53.1946943,Nadzór Wodny w Tucznie,ul. Wolności 6 ,78-640,Tuczno,+48 67 250 81 84,nw-tuczno@wody.gov.pl
16.1698751,52.896735,Nadzór Wodny w Wieleniu,ul. Błonie 29 ,64-730,Wieleń,+48 882 062 904,nw-wielen@wody.gov.pl
17.0509252,53.3541807,Nadzór Wodny w Złotowie,ul. Za Dworcem 9 ,77-400,Złotów,+48 67 263 27 48,nw-zlotow@wody.gov.pl
17.0631103,51.1110965,Regionalny Zarząd Gospodarki Wodnej we Wrocławiu,ul. Norwida 34 ,50-950,Wrocław,71 337 88 00,
16.1512816,51.2017229,Zarząd Zlewni w Legnicy,ul. Macieja Rataja 32 ,59-220,Legnica,+48 76 862 70 08,zz-legnica@wody.gov.pl
16.5740555,51.8341238,Zarząd Zlewni w Lesznie,ul. Chociszewskiego 12 ,64-100,Leszno,+48 65 547 61 30,zz-leszno@wody.gov.pl
15.5939049,51.1057844,Zarząd Zlewni w Lwówku Śląskim,ul. Jaśkiewicza 24 ,59-600,Lwówek Śląski,+48 75 782 46 02,zz-lwowekslaski@wody.gov.pl
17.3357552,50.4788114,Zarząd Zlewni w Nysie,ul. Ogrodowa 4 ,48-300,Nysa,+48 77 431 51 72,zz-nysa@wody.gov.pl
17.0653579,51.1071202,Zarząd Zlewni we Wrocławiu,ul. Wybrzeże Wyspiańskiego 39 ,50-370,Wrocław,+48 71 757 20 64,zz-wroclaw@wody.gov.pl
15.0143936,51.1585657,Zarząd Zlewni w Zgorzelcu,ul. Lubańska 9a ,59-900,Zgorzelec,+48 65 547 61 70,zz-zgorzelec@wody.gov.pl
16.6532629,50.7273418,Nadzór Wodny w Dzierżoniowie,ul. Ząbkowicka 26 ,58-200,Dzierżoniów,74 810 39 41,nw-dzierzoniow@wody.gov.pl
16.1999781,51.0568815,Nadzór Wodny w Jaworze,ul. Kuziennicza 13 ,59-400,Jawor,76 818 00 68,nw-jawor@wody.gov.pl
16.151067,51.2016355,Nadzór Wodny w Legnicy,ul. M. Rataja 32 ,59-220,Legnica,76 862 44 60,nw-legnica@wody.gov.pl
16.5088578,50.8350368,Nadzór Wodny w Świdnicy,ul. Towarowa 12-14 ,58-100,Świdnica,74 852 30 58,nw-swidnica@wody.gov.pl
16.2802675,50.7678259,"Nadzór Wodny w Wałbrzychu",ul. Słowackiego 23 a ,58-300,Wałbrzych,74 842 12 77,nw-walbrzych@wody.gov.pl
15.9150633,51.1247437,Nadzór Wodny w Złotoryi,ul. Szkolna 8C/1 ,59-500,Złotoryja,76 818 00 67,nw-zlotoryja@wody.gov.pl
16.5368869,51.6637398,"Nadzór Wodny w Górze",ul. Armii Polskiej 15 ,56-200,Góra,605 522 244,nw-gora@wody.gov.pl
17.4361952,51.6954301,"Nadzór Wodny w Krotoszynie",ul. Rynek 1/12 ,63-700,Krotoszyn,691 234 509,nw-krotoszyn@wody.gov.pl
16.6552957,51.7975914,Nadzór Wodny w Lesznie,ul. Nad Zalewem 20  ,64-130,Dąbcze,691 232 214,nw-leszno@wody.gov.pl
17.2746034,51.5292383,"Nadzór Wodny w Miliczu",ul. 1 Maja 1A ,56-300,Milicz,65 547 61 37,nw-milicz@wody.gov.pl
17.9284179,51.4277863,"Nadzór Wodny w Ostrzeszowie",ul. Zamkowa 16a ,63-500,Ostrzeszów,65 547 61 48,nw-ostrzeszow@wody.gov.pl
16.8667636,51.6123231,Nadzór Wodny w Rawiczu,ul. Sarnowska 2 ,63-900,Rawicz,605 522 244,nw-rawicz@wody.gov.pl
17.0669889,51.3148279,Nadzór Wodny w Trzebnicy,ul. Milicka 23 ,55-100,Trzebnica,71 312 04 01,nw-trzebnica@wody.gov.pl
15.5702473,51.2620234,Nadzór Wodny w Bolesławcu,ul. M.J. Piłsudskiego 1 ,59-700,Bolesławiec,603 974 798,nw-boleslawiec@wody.gov.pl
15.6921502,50.8231474,Nadzór Wodny w Jeleniej Górze,ul. Nowa 6b ,58-562,Podgórzyn,75 752 85 60,nw-jeleniagora@wody.gov.pl
16.0282908,50.7818378,Nadzór Wodny w Kamiennej Górze,ul. Sienkiewicza 6a ,58-400,Kamienna Góra,603 248 393,nw-kamiennagora@wody.gov.pl
15.3024563,51.1227768,"Nadzór Wodny w Lubaniu",ul. Dolna 8 ,59-800,Lubań,509 725 142,nw-luban@wody.gov.pl
15.5940444,51.1055756,Nadzór Wodny w Lwówku Śląski,ul. Jaśkiewicza 24 ,59-600,Lwówek Śląski,75 782 46 02,NadzorWodny.LwowekSlaski@wody.gov.pl
16.0677178,51.5025459,"Nadzór Wodny w Polkowicach",ul. Górna 6 ,59-100,Polkowice,605 421 170,nw-polkowice@wody.gov.pl
15.5386457,51.5658611,Nadzór Wodny w Szprotawie,ul. Odrodzenia 8  ,67-300,Szprotawa,+48 (68) 352 47 20,nw-szprotawa@wody.gov.pl
15.3213233,51.6123669,Nadzór Wodny w Żaganiu,ul. Rybacka 38 ,68-100,Żagań,68 478 55 58,nw-zagan@wody.gov.pl
17.2986349,50.4694299,Nadzór Wodny w Otmuchowie,ul. Słoneczna 1a ,48-304,Nysa,77 551 66 00,nw-otmuchow@wody.gov.pl
16.648207,50.4364481,Nadzór Wodny w Kłodzku,ul. Kościuszki 1 ,57-300,Kłodzko,74 867 44 94,nw-klodzko@wody.gov.pl
16.8111702,50.5888504,"Nadzór Wodny w Ząbkowicach Śląskich",ul. Kolejowa 1 ,57-200,Ząbkowice Śląskie,74 810 39 49,nw-zabkowiceslaskie@wody.gov.pl
17.4719505,50.855067,Nadzór Wodny w Brzegu,ul. Trzech Kotwic 6 ,49-300,Brzeg,77 402 63 41,nw-brzeg@wody.gov.pl
16.0835755,51.6676781,Nadzór Wodny w Głogowie,ul. Poczdamska 1 ,67-200,Głogów,76 831 31 57,nw-glogow@wody.gov.pl
16.2100246,51.4015368,Nadzór Wodny w Lubinie,ul. Księcia Ludwika I 3 ,59-300,Lubin,76 840 31 66,nw-lubin@wody.gov.pl
17.7208313,51.0739326,Nadzór Wodny w Namysłowie,pl. Wolności 12 ,46-100,Namysłów,+48 (77) 402 63 85,nw-namyslow@wody.gov.pl
17.3714017,51.2038362,Nadzór Wodny w Oleśnicy,ul. Wiejska 2 ,56-400,Oleśnica,71 314 39 14,nw-olesnica@wody.gov.pl
17.2961999,50.9456185,"Nadzór Wodny w Oławie",ul. 11 Listopada 23C ,55-200,Oława,532-032-888,nw-olawa@wody.gov.pl
17.0600074,50.7797592,Nadzór Wodny w Strzelinie,ul. Kamienna 10  ,57-100,Strzelin,71 392 07 16,nw-strzelin@wody.gov.pl
16.6070581,51.1630014,Nadzór Wodny w Środzie Śląskiej,ul. Wrocławska 44 ,55-300,Środa Śląska,71 317 34 62,nw-srodaslaska@wody.gov.pl
16.6254031,51.3390474,Nadzór Wodny w Wołowie,ul. Ścinawska 24 ,56-100,Wołów,71 389 13 88,nw-wolow@wody.gov.pl
17.1234238,51.1015103,Nadzór Wodny we Wrocławiu,ul. Braci Gierymskich 149A ,51-640,Wrocław,71 347 76 38,nw-wroclaw@wody.gov.pl
14.9722451,51.7851668,Nadzór Wodny w Lubsku,ul. Niepodległości 1 ,68-300,Lubsko,68 457 21 91,nw-lubsko@wody.gov.pl
15.0114609,51.14565,Nadzór Wodny w Zgorzelcu,ul. Maratońska 1 ,59-900,Zgorzelec,75 775 20 18,nw-zgorzelec@wody.gov.pl
15.0988381,52.0472503,"Nadzór Wodny w Krosno Odrzańskie",ul. Zamkowa 1 ,66-600,Krosno Odrzańskie,68 383 52 58,nw-krosnoodrzanskie@wody.gov.pl
15.7184542,51.8025643,"Nadzór Wodny w Nowej Soli",ul. Pocztowa 9 ,67-100,Nowa Sól,68 352 41 55,nw-nowasol@wody.gov.pl
16.0683882,51.8860711,Nadzór Wodny w Sławie,ul. Ogrodowa 1 ,67-410,Sława,68 352 46 14,nw-slawa@wody.gov.pl
14.5836522,52.3443158,"Nadzór Wodny w Słubicach",ul. 1 Maja 35  ,69-100,Słubice,95 758 27 22,nw-slubice@wody.gov.pl
15.6109893,52.0872395,"Nadzór Wodny w Sulechowie",ul. Prosta 8 ,66-100,Sulechów,68 320 18 36,nw-sulechow@wody.gov.pl
16.3245706,51.8071695,Nadzór Wodny we Wschowie,Pl. Kosynierów 1 ,67-400,Wschowa,65 511 45 15,nw-wschowa@wody.gov.pl
15.4966051,51.9292205,"Nadzór Wodny w Zielonej Górze",ul. Ptasia 2a ,65-514,Zielona Góra,68 453 72 22,nw-zielonagora@wody.gov.pl
15.4968344,51.9293578,Zarząd Zlewni w Zielonej Górze,ul. Ptasia 2B ,65-514,Zielona Góra,+48 (68) 452 76 00,zz-zielonagora@wody.gov.pl
18.6399216,54.3492919,Regionalny Zarząd Gospodarki Wodnej w Gdańsku,ul. ks. Franciszka Rogaczewskiego 9/19 ,80-804,Gdańsk,+48 58 3261 888,gdansk@wody.gov.pl
17.5711009,53.6863244,Zarząd Zlewni w Chojnicach,ul. Łużycka 1A ,89-600,Chojnice,+48 52 397 52 02,zz-chojnice@wody.gov.pl
19.3986639,54.1463946,Zarząd Zlewni w Elblągu,ul. Junaków 3 ,82-300,Elbląg,+48 55 232 57 25,zz-elblag@wody.gov.pl
18.5936752,54.3847687,Zarząd Zlewni w Gdańsku,al. Grunwaldzka 184  ,80-266,Gdańsk,+48 58 55 99 216,zz-gdansk@wody.gov.pl
18.7779965,54.0703008,Zarząd Zlewni w Tczewie,ul. 30 Stycznia 50 ,83-110,Tczew,+48 58 531 36 47,zz-tczew@wody.gov.pl
18.5929639,53.0075847,Zarząd Zlewni w Toruniu,ul. Popiełuszki 3 ,87-100,Toruń,+48 56 657 78 41,zz-torun@wody.gov.pl
17.5709776,53.6862609,Nadzór Wodny w Chojnicach,ul. Łużycka 1A ,89-600,Chojnice,+48 52 336 03 23,nw-chojnice@wody.gov.pl
17.360678,53.6687312,Nadzór Wodny w Człuchowie,ul. Wojska Polskiego 5 ,77-300,Człuchów,59 83 43 384,nw-czluchow@wody.gov.pl
18.405794,53.4008987,Nadzór Wodny w Świeciu,ul. Fabryczna 2 ,86-105,Świecie,+48 572 342 645,nw-swiecie@wody.gov.pl
17.8803331,53.5768362,"Nadzór Wodny w Tucholi",ul. Świecka 95 ,89-500,Tuchola,+48 572 342 641,nw-tuchola@wody.gov.pl
19.828822,54.3877564,Nadzór Wodny w Braniewie,ul. 9 Maja 38 ,14-500,Braniewo,+48 (55) 243 28 73,nw-braniewo@wody.gov.pl
19.3984171,54.146536,Nadzór Wodny w Elblągu,ul. Warszawska 129 ,82-300,Elbląg,55 232 44 65,nw-elblag@wody.gov.pl
19.0735204,54.0395904,Nadzór Wodny w Malborku,ul. Zieleniecka 27 ,82-200,Malbork,+48 (55) 272 34 25,nw-malbork@wody.gov.pl
19.116242,54.2153496,"Nadzór Wodny w Nowym Dworze Gdańskim",ul. Podmiejska 3 ,82-100,Nowy Dwór Gdański,+48 55 246 26 49,nw-nowydworgdanski@wody.gov.pl
20.2900811,53.5865772,Nadzór Wodny w Olsztynku,ul. Mrongowiusza 30 ,11-015,Olsztynek,+48 89 519 56 24,nw-olsztynek@wody.gov.pl
17.4897236,54.1868679,Nadzór Wodny w Bytowie,ul.Wybickiego 2 ,77-100,Bytów,+48 (59) 822 13 60,nw-bytow@wody.gov.pl
18.6450234,54.3922061,Nadzór Wodny w Gdańsku,Al. Grunwaldzka 184 ,80-266,Gdańsk,+48 58 55 99 228,nw-gdansk@wody.gov.pl
18.5251433,54.5203437,Nadzór Wodny w Gdyni,ul. Kołłątaja 1 ,81-332,Gdynia,58 735-63-54,nw-gdynia@wody.gov.pl
18.2028173,54.3324721,Nadzór Wodny w Kartuzach,ul. Kościuszki 12 ,83-300,Kartuzy,58 681-00-16,nw-kartuzy@wody.gov.pl
17.7561137,54.5343595,Nadzór Wodny w Lęborku,ul. Bolesława Krzywoustego 1 ,84-300,Lębork,59 862-13-00,nw-lebork@wody.gov.pl
18.639742,54.2505559,"Nadzór Wodny w Pruszczu Gdańskim",ul. Nowowiejskiego 22 A ,83-000,Pruszcz Gdański,601 830 828,nw-pruszczgdanski@wody.gov.pl
18.4114135,54.7202914,Nadzór Wodny w Pucku,ul. Stary Rynek 1 ,84-100,Puck,58 673-29-11,nw-puck@wody.gov.pl
18.3631231,54.6102628,Nadzór Wodny w Redzie,ul. Kazimierska 55 ,84-240,Reda,58 678-64-07,nw-reda@wody.gov.pl
17.0337326,54.4660964,Nadzór Wodny w Słupsku,ul. F. Nullo 6 ,76-200,Słupsk,59 840 07 90,nw-slupsk@wody.gov.pl
18.7522534,53.489409,Nadzór Wodny w Grudziądzu,ul. Curie-Skłodowskiej 10 ,86-300,Grudziądz,+48 56 461 30 02,nw-grudziadz@wody.gov.pl
19.5782927,53.5842758,Nadzór Wodny w Iławie,ul. Lubawska 3 ,14-200,Iława,+48 89 644 86 06,nw-ilawa@wody.gov.pl
17.9986956,54.1231385,Nadzór Wodny w Kościerzynie,ul. Przemysłowa 7F ,83-400,Kościerzyna,58 686 37 93,nw-koscierzyna@wody.gov.pl
18.9242256,53.7291152,Nadzór Wodny w Kwidzynie,ul. 11 Listopada 18a ,82-500,Kwidzyn,+48 55 279 25 62,nw-kwidzyn@wody.gov.pl
18.5302325,53.9692049,"Nadzór Wodny w Starogardzie",ul. Hallera 13 ,83-200,Starogard Gdański,+48 58 562 23 32,nw-starogardgdanski@wody.gov.pl
18.7781788,54.0703858,Nadzór Wodny w Tczewie,ul. 30 Stycznia 50 ,83-110,Tczew,+48 (58) 530 41 20,nw-tczew@wody.gov.pl
18.9460189,53.2756354,Nadzór Wodny w Wąbrzeźnie,ul. Wolności 44 ,87-200,Wąbrzeźno,+48 (56) 688 24 50,nw-wabrzezno@wody.gov.pl
19.4067753,53.2580539,Nadzór Wodny w Brodnicy,ul. Aleja Leśna 2 ,87-300,Brodnica,56 649 82 57,nw-brodnica@wody.gov.pl
18.4743351,53.379185,Nadzór Wodny w Chełmnie,Nowe Dobra 99a ,86-200,Chełmno,+48 56 676 19 71,nw-chelmno@wody.gov.pl
19.0634996,53.1042812,"Nadzór Wodny w Golubiu-Dobrzyniu",ul. Sokołowska 11 ,87-400,Golub Dobrzyń,572 338 675,nw-golubdobrzyn@wody.gov.pl
19.1966347,52.849244,"Nadzór Wodny w Lipnie",ul. Skępska 25a ,87-600,Lipno,+48 54 233 13 76,nw-lipno@wody.gov.pl
19.588111,53.4275393,"Nadzór Wodny w Nowym Mieście Lubawskim",ul. Grunwaldzka 3 ,13-300,Nowe Miasto Lubawskie,+48 572 338 365,nw-nowemiastolubawskie@wody.gov.pl
19.9582169,53.7085951,Nadzór Wodny w Ostródzie,ul. Mickiewicza 42 ,14-100,Ostróda,+48 89 646 2523,nw-ostroda@wody.gov.pl
19.4193869,53.0650926,Nadzór Wodny w Rypinie,ul. Ks. Lissowskiego 9 ,87-500,Rypin,+48 54 230 50 33,nw-rypin@wody.gov.pl
18.5935057,53.0076121,Nadzór Wodny w Toruniu,ul. Popiełuszki 3 ,87-100,Toruń,515 275 065,nw-torun@wody.gov.pl
19.9285488,50.0598233,Regionalny Zarząd Gospodarki Wodnej w Krakowie,ul. Marszałka J. Piłsudskiego 22 ,31-109,Kraków,+48 12 62-84-106,krakow@wody.gov.pl
20.6248944,50.886793,Zarząd Zlewni w Kielcach,ul. Robotnicza 5 ,25-662,Kielce,+48 (41) 334 00 98,zz-kielce@wody.gov.pl
19.925373,50.0557059,Zarząd Zlewni w Krakowie,ul. Morawskiego 5 ,30-102,Kraków,(12) 62-90-600,zz-krakow@wody.gov.pl
20.7050933,49.6271241,Zarząd Zlewni w Nowym Sączu,ul. Naściszowska 31 ,33-300,Nowy Sącz,+48 (18) 441 37 89,zz-nowysacz@wody.gov.pl
21.7507975,50.6791282,Zarząd Zlewni w Sandomierzu,ul. Długosza 4a ,27-600,Sandomierz,+48 (12) 62 84 242,zz-sandomierz@wody.gov.pl
19.1967678,49.6908651,Zarząd Zlewni w Żywcu,ul. Armii Krajowej 10 ,34-300,Żywiec,+48 (12) 628 41 32,zz-zywiec@wody.gov.pl
20.7190889,50.4627475,Nadzór Wodny w Busku Zdroju,ul. Kopernika 6 ,28-100,Busko Zdrój,+48 532 033 307,nwbusko@wody.gov.pl
20.2971119,50.6396694,Nadzór Wodny w Jędrzejowie,ul. Przypkowskiego 28a ,28-300,Jędrzejów,+48 532 033 140,nwjedrzejow@wody.gov.pl
20.6245651,50.8861484,Nadzór Wodny w Kielcach,ul. Robotnicza 5  ,25-662,Kielce,+48 (41) 342 52 24,nwkielce@wody.gov.pl
20.4829459,50.2681785,"Nadzór Wodny w Kazimierzy Wielkiej",ul. Partyzantów 29 ,28-500,Kazimierza Wielka,+48 523 033 138,nw-kazimierza@wody.gov.pl
20.4290965,49.9853707,Nadzór Wodny w Bochni,ul. Proszowska 72 ,32-700,Bochnia,+48 691 831 838,nwbochnia@wody.gov.pl
20.6018501,49.9696205,Nadzór Wodny w Brzesku,ul. Kościuszki 33 ,32-800,Brzesko,+48 (14) 663 10 02,nw-brzesko@wody.gov.pl
19.798774,50.045879,Nadzór Wodny w Krakowie,ul. Kryspinów 278 ,32-060,Liszki,+48 (12) 62 90 680,nwkrakow@wody.gov.pl
19.9550363,49.8326024,Nadzór Wodny w Myślenicach,ul. Drogowców 6 ,32-400,Myślenice,+48 (12) 62 84 160,nwmyslenice@wody.gov.pl
19.2131796,50.0441985,Nadzór Wodny w Oświęcimiu,ul. Strzelecka 10 ,32-600,Oświęcim,+48 607 594 515,nw-oswiecim@wody.gov.pl
20.3002922,50.1976526,Nadzór Wodny w Proszowicach,ul. Brodzińskiego 28 ,32-100,Proszowice,+48 693 255 254,nw-proszowice@wody.gov.pl
20.9526859,49.627024,Nadzór Wodny w Grybowie,ul. Armii Krajowej 21 ,33-330,Grybów,+48 667 623 630,nwgrybow@wody.gov.pl
20.4172785,49.6995625,Nadzór Wodny w Limanowej,ul. Żwirki i Wigury 1  ,34-600,Limanowa,+48 573 443 883,nwlimanowa@wody.gov.pl
20.8977774,49.3563459,"Nadzór Wodny w Muszynie",ul. Rynek 14 ,33-370,Muszyna,667 643 642,nwmuszyna@wody.gov.pl
20.0010489,49.4684105,Nadzór Wodny w Nowym Targu,ul. Ludźmierska 34 ,34-400,Nowy Targ,+48 573 443 879,nwnowytarg@wody.gov.pl
20.9881461,49.9994318,"Nadzór Wodny w Tarnowie",ul. Ostrogskich 5 ,33-100,Tarnów,+48 573 443 885,nwtarnow@wody.gov.pl
20.9777055,50.1769427,Nadzór Wodny w Dąbrowie Tarnowskiej,ul. Szpitalna 1 ,33-200,Dąbrowa Tarnowska,+48 609 263-269,nw-dabrowatarnowska@wody.gov.pl
21.4327422,50.7987372,Nadzór Wodny w Opatowie,ul. Sienkiewicza 38 ,27-500,Opatów,+48 609 245 241,nwopatow@wody.gov.pl
21.2800721,50.4267081,Nadzór Wodny w Połańcu,ul. Stefana Czarneckiego 2 ,28-230,Połaniec,608 292 185,nwpolaniec@wody.gov.pl
21.7384659,50.6796861,Nadzór Wodny w Sandomierzu,ul. Staromiejska 14 ,27-600,Sandomierz,+48 (15) 833 40 41,nwsandomierz@wody.gov.pl
21.1704635,50.5660724,Nadzór Wodny w Staszowie,ul. Wschodnia 13 ,28-200,Staszów,+48 609 625 620,nwstaszow@wody.gov.pl
19.2222711,49.883513,Nadzór Wodny w Kętach,ul. Rynek 11 ,32-650,Kęty,+48 609 189 323,nwkety@wody.gov.pl
19.5869962,49.7383335,Nadzór Wodny w Suchej Beskidzkiej,ul. Nad Stawami 73 ,34-200,Sucha Beskidzka,+48 33 843 61 95,nwsuchabeskidzka@wody.gov.pl
