name|phone|email|fax|website|official_name|addr:postcode|addr:city|addr:place|addr:street|addr:housenumber|addr:door|@lat|@lon|@id
Powiatowy Inspektorat Nadzoru Budowlanego|+48 13 434 22 83|pinb.brzozow@op.pl|+48 13 434 22 83|http://www.pinb-brzozow.internetdsl.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Brzozowie|36-200|Brzozów||Stanisława Moniuszki|17||49.6923282|22.0088737|node/10541939102
Powiatowy Inspektorat Nadzoru Budowlanego|+48 13 471 16 76|ustrzykidolne@pinb.info.pl|+48 13 471 16 75|https://ustrzykidolne.pinb.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Ustrzykach Dolnych|38-700|Ustrzyki Dolne||Pionierska|10||49.4330809|22.5861265|node/10541969059
Powiatowy Inspektorat Nadzoru Budowlanego|+48 13 469 71 48|pinblesko@op.pl|+48 13 492 72 77|pinb@powiat-leski.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Lesku|38-600|Lesko||Wincentego Pola|1||49.4709501|22.3295236|node/10541972514
Powiatowy Inspektorat Nadzoru Budowlanego|+48 17 276 03 80|pinbstrzyzow@op.pl|+48 17 276 03 80|http://strzyzow.pinb.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Strzyżowie|38-100|Strzyżów||Jana Przecławczyka|15||49.8695634|21.7886219|node/10541977442
Powiatowy Inspektorat Nadzoru Budowlanego|+48 17 227 58 20|pinb.kolbuszowa@interia.pl|+48 17 227 57 21|http://bip.powiat.kolbuszowa.pl/bip_kolbuszowa/index.jsp?place=Menu02&news_cat_id=21&layout=1&page=0|Powiatowy Inspektorat Nadzoru Budowlanego w Kolbuszowej|36-100|Kolbuszowa||11 Listopada|10||50.2463136|21.7826237|node/10541977443
Powiatowy Inspektorat Nadzoru Budowlanego|+48 17 222 89 41|pinb@spropczyce.pl|+48 17 222 89 40|http://bip.spropczyce.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Ropczycach|39-100|Ropczyce||Marii Konopnickiej|5||50.0523793|21.6162271|node/10541978241
Powiatowy Inspektorat Nadzoru Budowlanego|+48 67 352 35 16|pinbwalcz@wp.pl||bip.pinb.powiatwalecki.pl||78-600|Wałcz||Aleja Zdobywców Wału Pomorskiego|54||53.2671106|16.4614457|node/10541982629
Powiatowy Inspektorat Nadzoru Budowlanego|+48 13 437 57 82|pinbkrosno@op.pl|+48 13 437 57 82|http://bip.zetorzeszow.pl/pinbkrosno/|Powiatowy Inspektorat Nadzoru Budowlanego w Krośnie|38-400|Krosno||Bieszczadzka|1||49.6788955|21.7748356|node/10541987897
Powiatowy Inspektorat Nadzoru Budowlanego|+48 14 683 40 30|pinbdebica@interia.pl|+48 14 683 40 30|http://www.pinbdebica.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Dębicy|39-200|Dębica||Parkowa|2||50.0470362|21.4024646|node/10541989744
Powiatowy Inspektorat Nadzoru Budowlanego|+48 13 420 20 50|pinbkrosno@gmail.com|+48 13 420 20 50|http://pinb.umkrosno.pl/|Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Krosno|38-400|Krosno||Bieszczadzka|1||49.6787863|21.7749164|node/10541991711
Powiatowy Inspektorat Nadzoru Budowlanego|+48 17 862 62 68|pinb@powiat.rzeszow.pl|+48 17 862 62 17|https://bip.powiat.rzeszow.pl/?c=mdTresc-cmPokaz-1738#POWIATOWY%20INSPEKTORAT%20NADZORU%20BUDOWLANEGO%20W%20RZESZOWIE|Powiatowy Inspektorat Nadzoru Budowlanego w Rzeszowie|35-005|Rzeszów||Stefana Batorego|9||50.0412826|22.0098801|node/10541994168
Wojewódzki Inspektorat Nadzoru Budowlanego|+48 81 534 71 84|sekretariat@lublin.winb.gov.pl|+48 81 534 71 98|www.lublin.winb.gov.pl|Wojewódzki Inspektorat Nadzoru Budowlanego w Lublinie|20-072|Lublin||Lubomelska|1-3||51.2506414|22.5524123|node/10582455212
Powiatowy Inspektorat Nadzoru Budowlanego Miasta Siedlce|+48 25 794 39 70|kancelaria@pinb.siedlce.pl|+48 25 794 39 76|https://pinbmiastasiedlce.bip.gov.pl||08-110|Siedlce||Józefa Piłsudskiego|45||52.1677287|22.2716988|way/97974756
Powiatowy Inspektorat Nadzoru Budowlanego||||||43-400|Cieszyn||Szeroka|||49.7487782|18.6349651|way/129769865
Powiatowy Inspektorat Nadzoru Budowlanego|+48 17 225 69 67|pinb.lancut@o2.pl|+48 17 225 69 67|https://pinblancut.bip.gov.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Łańcucie|37-100|Łańcut||Józefa Piłsudskiego|9||50.0661378|22.2288516|way/132507265
Powiatowy Inspektorat Nadzoru Budowlanego|+48 75 782 28 23|pinb@powiatlwowecki.pl|+48 75 782 36 54|https://pinb.pl/prezentacje/dolnoslaskie/lwowekslaski/||59-600|Lwówek Śląski||aleja Wojska Polskiego|25D||51.1087847|15.5811082|way/194427949
Wojewódzki Inspektorat Nadzoru Budowlanego|+48 17 852 78 29|biuro@winb.rzeszow.pl|+48 17 862 33 22|http://www.winb.rzeszow.pl/|Wojewódzki Inspektorat Nadzoru Budowlanego w Rzeszowie|35-065|Rzeszów||8 Marca|5||50.0387180|22.0111424|way/199832370
Powiatowy Inspektorat Nadzoru Budowlanego|+48 22 788 90 13|sekretariat@pinbotwock.pl|+48 22 788 90 13|www.pinbotwock.pl||05-400|Otwock||Sołecka|52||52.1053232|21.2358241|way/209412521
Wojewódzki Inspektorat Nadzoru Budowlanego|+48857481270|||https://www.winb.bialystok.pl/|||Białystok||Handlowa|6||53.1169237|23.1160150|way/220402788
Inspektorat Nadzoru Budowlanego dla miasta Przemyśl|+48 16 678 91 61|pinb@mprzemysl.pl|+48 16 678 91 61|http://www.pinb.mprzemysl.pl/||37-700|Przemyśl||Henryka Siemiradzkiego|5||49.7805036|22.7892645|way/237111271
Powiatowy Inspektorat Nadzoru Budowlanego|||||||Płock||Plac generała Jarosława Dąbrowskiego|4||52.5386491|19.6977602|way/237978691
Powiatowy Inspektorat Nadzoru Budowlanego|+48 13 464 19 72|sekretariat@pinb.sanok.pl|+48 13 464 19 72|http://pinb.sanok.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Sanoku|38-500|Sanok||Aleja Wojska Polskiego|74||49.5563963|22.2156804|way/276842205
Powiatowy Inspektorat Nadzoru Budowlanego|+48 81 827 27 32|pinbopole@op.pl|+48 81 827 27 32|www.pinbopolelub.e-bip.org.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Opolu Lubelskim|24-300|Opole Lubelskie||Parkowa|2||51.1450457|21.9501761|way/358721964
Powiatowy Inspektorat Nadzoru Budowlanego|+48 81 854 54 45|pinb.lubartow@poczta.fm|+48 81 855 30 11|http://pinb.powiatlubartowski.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Lubartowie|21-100|Lubartów||Klemensa Junoszy Szaniawskiego|64||51.4642889|22.6054824|way/359321971
Powiatowy Inspektorat Nadzoru Budowlanego|+48 83 352 74 15|pinbradzyn@pra.pl||www.pinbradzyn.bip.lubelskie.pl|Powiatowy Inspektorat Nadzoru Budowlanego w Radzyniu Podlaskim|21-300|Radzyn Podlaski||Ostrowiecka|18||51.7830634|22.6195877|way/365479845
Powiatowy Inspektorat Nadzoru Budowlanego||||||34-300|Żywiec||Bracka|30||49.6908889|19.1967822|way/365739212
Powiatowy Inspektorat Nadzoru Budowlanego|+48 84 696 29 04|pinb.hrub@op.pl|+48 84 696 29 04||Powiatowy Inspektorat Nadzoru Budowlanego w Hrubieszowie|22-500|Hrubieszów||Plac Wolności|8||50.8054251|23.8913766|way/367020141
Powiatowy Inspektorat Nadzoru Budowlanego|+48 13 448 20 76|jaslopinb@wp.pl|+48 13 448 20 76|http://pinb-jaslo.bip.gov.pl/|Powiatowy Inspektorat Nadzoru Budowlanego w Jaśle|38-200|Jasło||Kochanowskiego|3||49.7417624|21.4759130|way/405609369
Powiatowy Inspektorat Nadzoru Budowlanego|+48 23 655 29 11|pinb.mlawa@op.pl|+48 23 655 29 11|www.pinbmlawa.pl||06-500|Mława||Władysława Stanisława Reymonta|4||53.1135055|20.3772413|way/700727246
Powiatowy Inspektorat Nadzoru Budowlanego||||||62-210|Gniezno||Tadeusza Kościuszki|||52.5313356|17.6034143|way/771416524
