name|phone|email|fax|website|official_name|addr:postcode|addr:city|addr:place|addr:street|addr:housenumber|addr:door|@lat|@lon|@id
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 89 624 87 31|||https://www.sanepid.szczytno.pl/||12-100|Szczytno||Marii Curie-Skłodowskiej|8||53.5580607|20.9874015|node/6501407544
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||67-100|Nowa Sól||Wojska Polskiego|11||51.8028238|15.7149668|node/6522150709
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||68-100|Żagań||Szprotawska|45A||51.6123782|15.3306796|node/6522150710
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 68 325 46 71|pssezielonagora@wsse.gorzow.pl|+48 68 325 50 70|http://www.wsse.gorzow.pl/pssezielonagora/||65-470|Zielona Góra||Jasna|10||51.9298182|15.5028537|node/6522150743
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||66-200|Świebodzin||30 Stycznia|5||52.2491996|15.5319430|node/6522150744
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 22 756 46 20|piaseczno@psse.waw.pl||http://piaseczno.psse.waw.pl/||05-510|Konstancin-Jeziorna||Dworska|7||52.0776980|21.0675674|node/6564424736
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48324563810|sekretariat@psse.wodzislaw.pl||www.psse.wodzislaw.pl||44-300|Wodzisław Śląski||Bogumińska|3||49.9997801|18.4597454|node/6727411090
Powiatowa Stacja Sanitarno-Epidemiologiczna w Opocznie||||http://psse.opoczno.pl||26-300|Opoczno||Plac Tadeusza Kościuszki|||51.3764414|20.2885348|node/6815087887
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||69-100|Słubice||Adama Mickiewicza|6||52.3499988|14.5577793|node/6876451295
Powiatowa Stacja Sanitarno-Epidemiologiczna|322662823|psse.sosnowiec@pis.gov.pl||http://www.psse.sosnowiec.pl||41-200|Sosnowiec||Pogotowia|||50.2738796|19.1437225|node/6885557385
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 86 275 25 91|pssewysmaz@wp.pl|+48 86 275 25 85|https://www.gov.pl/web/psse-wysokie-mazowieckie|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wysokiem Mazowieckiem|18-200|Wysokie Mazowieckie||1 Maja|9||52.9121525|22.5110592|node/7180862940
Powiatowa Stacja Sanitarno-Epidemiologiczna||||https://psselublin.pis.gov.pl/||20-030|Lublin||Obrońców Pokoju|5||51.2452158|22.5466421|node/7234955077
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Szczecinie|+48 91 462-40-60|wsse.szczecin@pis.gov.pl; kancelaria@wsse.szczecin.pl|+48 91 462-46-40|http://wsse.szczecin.pl/||70-640|Szczecin||Spedytorska|||53.4149305|14.5554802|node/7288597652
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gdańsku|+48 58 320 08 00|||https://www.psse.gda.pl/||80-858|Gdańsk||Wałowa|27||54.3586362|18.6543148|node/7318684248
Powiatowa Stacja Sanitarno-Epidemiologiczna we Włocławku|+48 54 413 71 92|||||87-800|Włocławek||Płocka|45||52.6545631|19.1031778|node/7335182054
Wojewódzka Stacja Sanitarno-Epidemiologiczna||||http://www.wsse.wroc.pl/||50-209|Wrocław||Składowa|1-3||51.1198966|17.0275496|node/7337269261
Powiatowa Stacja Sanitarno - Epidemiologiczna w Toruniu|+48 56 622 50 29|||https://torun.psse.gov.pl/||87-100|Toruń||Szosa Bydgoska|1||53.0092445|18.5712356|node/7389421288
Powiatowa Stacja Sanitarno-Epidemiologiczna we Włocławku|+48 54 411 68 33|||www.pssewloclawek.pl||87-800|Włocławek||Jana Kilińskiego|16||52.6568317|19.0622341|node/7394687848
Powiatowa Stacja Sanitarno-Epidemiologiczna w Aleksandrowie Kujawskim||||||87-700|Aleksandrów Kujawski||Juliusza Słowackiego|8||52.8748882|18.6964083|node/7471885252
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 33 861 21 37; +48 33 866 67 72; +48 605 538 283|psse.zywiec@pis.gov.pl|+48 33 866 67 73|http://www.psse.zywiec.pl/||34-300|Żywiec||Zygmunta Krasińskiego|2||49.6876128|19.2052867|node/7538570829
Powiatowa Stacja Sanitarno - Epidemiologiczna||||||41-301|Dąbrowa Górnicza||Henryka Dąbrowskiego|||50.3211901|19.1825889|node/7548747878
Powiatowa Stacja Sanitarno-Epidemiologiczna w Szydłowcu||||||26-500|Szydłowiec||Metalowa|7||51.2355272|20.8665628|node/7595781965
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gryfinie|+48 91 416 23 43; +48 91 416 38 58|psse.gryfino@pis.gov.pl;sekretariat@pssegryfino.pl|+48 91 416 38 58|https://pssegryfino.pis.gov.pl/index.php||74-100|Gryfino||Flisacza|6||53.2599019|14.4897157|node/7652127084
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 81 865 16 37|psse.ryki@pis.gov.pl|+48 81 865 16 37|www.gov.pl/web/psse-ryki|Powiatowa Stacja Sanitarno-Epidemiologiczna w Rykach|08-500|Ryki||Stanisława Poniatowskiego|2||51.6248548|21.9351766|node/7816057767
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gryficach||psse.gryfice@pis.gov.pl||||72-300|Gryfice||Nowy Świat|6||53.9200156|15.1965525|node/8524107531
Powiatowa Stacja Sanitarno – Epidemiologiczna||||||99-100|Łęczyca||Adama Mickiewicza|18||52.0485637|19.2151846|node/8789278921
Wojewódzka Stacja Sanitarno-Epidemiologiczna|+48 22 250 01 15|wsse.kielce@pis.gov.pl|+48 41 345 18 73|https://www.gov.pl/web/wsse-kielce|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Kielcach|25-734|Kielce||Jagiellońska|68||50.8722807|20.6051764|node/8893578711
Graniczna Stacja Sanitarno-Epidemiologiczna|+48 22 345 64 00|import.gsse.warszawa@sanepid.gov.pl||||02-158|Warszawa||Wirażowa|35||52.1553282|20.9847375|node/8925865016
Powiatowa Stacja Sanitarno-Epidemiologiczna w Płońsku|+48 23 662 28 39|plonsk@psse.waw.pl||https://www.gov.pl/web/psse-plonsk/psse-plonsk||09-100|Płońsk||Henryka Sienkiewicza|7A||52.6297414|20.3755811|node/9344092070
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||55-100|Trzebnica||Tadeusza Kościuszki|10||51.3105013|17.0600751|node/9646450966
Powiatowa Stacja Sanitarno - Epidemiologiczna w Płocku||||||09-402|Płock||Kolegialna|20a||52.5421384|19.6960375|node/10067605777
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 15 841 20 10|sekretariat.psse.nisko@sanepid.gov.pl||https://www.gov.pl/web/psse-nisko|Powiatowa Stacja Sanitarno-Epidemiologiczna w Nisku|37-400|Racławice||Rudnicka|13||50.5166278|22.1575245|node/10210062520
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 81 752 31 67|psse.leczna@pis.gov.pl|+48 81 752 31 67|https://www.gov.pl/web/psse-leczna|Powiatowa Stacja Sanitarno-Epidemiologiczna w Łęcznej|21-011|Łęczna||Wierzbowa|||51.2904454|22.8786949|node/10313727053
Powiatowa Stacja Sanitarno-Epidemiologiczna Jarosław|+48 16 624 24 40|psse.jaroslaw@pis.gov.pl|+48 16 621 25 18|https://www.gov.pl/web/psse-jaroslaw||37-500|Jarosław||Grunwaldzka|7||50.0164027|22.6800911|node/10313739624
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 81 886 48 91|psse.pulawy@pis.gov.pl|+48 81 886 48 91|www.gov.pl/web/psse-pulawy|Powiatowa Stacja Sanitarno-Epidemiologiczna w Puławach|24-100|Puławy||Aleja Królewska|19||51.4135037|21.9632108|node/10313766915
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 81 745 56 10|psse.swidnik@pis.gov.pl|+48 81 468 70 20|https://www.gov.pl/web/psse-swidnik|Powiatowa Stacja Sanitarno-Epidemiologiczna w Świdniku|21-045|Świdnik||Aleja Lotników Polskich|1||51.2271156|22.6995673|node/10313774606
Graniczna Stacja Sanitarno-Epidemiologiczna w Koroszczynie|+48 83 375 30 56|gsse.koroszczyn@pis.gov.pl|+48 83 375 30 26|www.gssekoroszczyn.pis.gov.pl||21-540|||68 (TIR)|||52.0758000|23.5139000|node/10313775975
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 15 872 54 00|psse.janowlubelski@pis.gov.pl|+48 15 872 47 62|www.gov.pl/web/psse-janow-lubelski|Powiatowa Stacja Sanitarno-Epidemiologiczna w Janowie Lubelskim|23-300|Janów Lubelski||Wojska Polskiego|28||50.6965445|22.4277329|node/10313780611
Graniczna Stacja Sanitarno-Epidemiologiczna|+48 84 539 61 20|gsse.hrebenne@pis.gov.pl|+48 84 667 41 33|https://www.gov.pl/web/gsse-hrebenne|Graniczna Stacja Sanitarno-Epidemiologiczna w Hrebennem||Hrebenne||17|||50.2775410|23.5890475|node/10313780612
Graniczna Stacja Sanitarno-Epidemiologiczna|+48 82 566 17 14|gsse.dorohusk@pis.gov.pl|+48 82 566 17 14|www.gssedorohusk.pis.gov.pl|Graniczna Stacja Sanitarno-Epidemiologiczna w Dorohusku|22-175|Dorohusk||12|||51.1805321|23.8023127|node/10313789464
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 13 434 14 59|psse.brzozow@pis.gov.pl|+48 13 434 14 59|https://www.gov.pl/web/psse-brzozow|Powiatowa Stacja Sanitarno-Epidemiologiczna w Brzozowie|36-200|Brzozów||Stanisława Moniuszki|17||49.6922990|22.0086313|node/10313812294
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 13 461 28 06|psse.ustrzykidolne@pis.gov.pl|+48 13 461 28 06|https://www.gov.pl/web/psse-ustrzyki-dolne|Powiatowa Stacja Sanitarno-Epidemiologiczna w Ustrzykach Dolnych|38-700|Ustrzyki Dolne||29 Listopada|53||49.4328471|22.6029547|node/10313829042
Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB|+48 16 678 88 58|przemysl@wsse.rzeszow.pl|+48 16 678 85 58|https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis|Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB w Przemyślu|37-700|Przemyśl||Mariacka|4||49.7842520|22.7903972|node/10313829043
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 16 670 76 91|psse.przemysl@pis.gov.pl|+48 16 670 07 38|https://www.gov.pl/web/psse-przemysl|Powiatowa Stacja Sanitarno-Epidemiologiczna w Przemyślu|37-700|Przemyśl||Mariacka|4||49.7841584|22.7906767|node/10313829044
Graniczna Stacja Sanitarno-Epidemiologiczna Przemyśl|+48 16 678 27 86|gsse.przemysl@pis.gov.pl|+48 16 678 45 87|https://www.gov.pl/web/gsse-przemysl||37-700|Przemyśl||Mariacka|4||49.7841715|22.7903927|node/10313837066
Powiatowa Stacja Sanitarno-Epidemiologiczna Strzyżów|+48 17 276 11 52|psse.strzyzow@pis.gov.pl|+48 17 276 11 52|https://www.gov.pl/web/psse-strzyzow/||38-100|Strzyżów||Juliusza Słowackiego|8||49.8688520|21.7889757|node/10313840514
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 82 572 14 05|psse.wlodawa@pis.gov.pl|+48 82 572 14 05|https://www.gov.pl/web/psse-wlodawa|Powiatowa Stacja Sanitarno-Epidemiologiczna we Włodawie|22-200|Włodawa||Szpitalna|||51.5582844|23.5533358|node/10315292285
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 14 680 93 70|psse.debica@pis.gov.pl|+48 14 680 93 71|https://www.gov.pl/web/psse-debica|Powiatowa Stacja Sanitarno-Epidemiologiczna w Dębicy|39-200|Dębica||Parkowa|2||50.0468730|21.4021717|node/10541989743
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 44 724 49 35|tomaszow@pis.lodz.pl|+48 44 724 51 17|www.gov.pl/web/psse-tomaszow-mazowiecki|Powiatowa Stacja Sanitarno-Epidemiologiczna w Tomaszowie Mazowieckim|97-200|Tomaszów Mazowiecki||Majowa|||51.5313355|20.0219596|node/10542083986
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 67 212 52 98|psse.pila@pis.gov.pl|+48 67 351 98 80|http://www.psse-pila.pl/|Powiatowa Stacja Sanitarno-Epidemiologiczna w Pile|64-920|Piła||Aleja Wojska Polskiego|43||53.1525250|16.7171016|node/10542085231
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 67 258 23 31|psse.walcz@pis.gov.pl|+48 67 258 23 31|pssewalcz.pis.gov.pl|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wałczu|78-600|Wałcz||Aleja Zdobywców Wału Pomorskiego|54||53.2669543|16.4608515|node/10544439382
Powiatowa Stacja Sanitarno-Epidemiologiczna Bartoszyce|+48 89 762 21 50|psse.bartoszyce@sanepid.olsztyn.pl|+48 89 762 21 50|www.bip.psse-bartoszyce.pl||11-200|Bartoszyce||Bohaterów Warszawy|12||54.2474936|20.8139424|node/10544441934
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 29 717 13 00|makow@psse.waw.pl|+48 29 717 13 00|www.gov.pl/web/psse-makow-mazowiecki|Powiatowa Stacja Sanitarno-Epidemiologiczna w Makowie Mazowieckim|06-200|Maków Mazowiecki||Adama Mickiewicza|31||52.8645741|21.0940786|node/10544444922
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 62 783 19 90|wieruszow@pis.lodz.pl|+48 62 783 19 90|www.gov.pl/web/psse-wieruszow|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wieruszowie|98-400|Wieruszów||Warszawska|75||51.2951978|18.1608001|node/10544449061
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 23 692 50 71|pultusk@psse.waw.pl|+48 23 692 61 66|https://www.gov.pl/web/psse-pultusk|Powiatowa Stacja Sanitarno-Epidemiologiczna w Pułtusku|06-100|Pułtusk||3 Maja|20||52.7079214|21.0845115|node/10544469270
Graniczna Stacja Sanitarno-Epidemiologiczna w Szczecinie|+48 91-462-43-18|gsse.szczecin@pis.gov.pl|+48 91-462-32-71,30|https://gsseszczecin.pl/|||Szczecin||aleja Wojska Polskiego|160||53.4476128|14.5186830|way/58670363
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 52 397 63 95|psse.chojnice@pis.gov.pl|+48 52 396 80 81|http://www.psse.chojnice.pl/|Powiatowa Stacja Sanitarno-Epidemiologiczna w Chojnicach|89-600|Chojnice||Marszałka Józefa Piłsudskiego|39||53.6911742|17.5699599|way/68076984
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 76 727 25 94|||||67-200|Głogów||Piotra Skargi|4||51.6612896|16.0957675|way/103724525
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 52 334 20 21|psse.tuchola@pis.gov.pl|+48 52 334 20 21|https://www.gov.pl/web/psse-tuchola|Powiatowa Stacja Sanitarno-Epidemiologiczna w Tucholi|89-500|Tuchola||Plac Wolności|23||53.5876159|17.8599812|way/112465449
Graniczna Stacja Sanitarno-Epidemiologiczna w Gdyni|+48 58 620 81 15|gsse.gdynia@pis.gov.pl|+48 58 621 33 99|https://www.gov.pl/web/gsse-gdynia||81-155|Gdynia||Kontenerowa|4||54.5496894|18.4983875|way/137707567
Powiatowa Stacja Sanitarno-Epidemiologiczna||||http://psse.lubin.ibip.wroc.pl/||59-300|Lubin||1 Maja|15||51.3984478|16.1996660|way/143082630
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 52 515 40 20|psse.bydgoszcz@pis.gov.pl|+48 52 584 11 44|www.ppis.bydgoszcz.pl|Powiatowa Stacja Sanitarno-Epidemiologiczna w Bydgoszczy|85-079|Bydgoszcz||Tadeusza Kościuszki|27||53.1347382|18.0093325|way/154867618
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 17 242 07 54|psse.lezajsk@pis.gov.pl|+48 17 240 18 44|https://www.gov.pl/web/psse-lezajsk|Powiatowa Stacja Sanitarno-Epidemiologiczna w Leżajsku|37-300|Leżajsk||Adama Mickiewicza|71||50.2630513|22.4177250|way/166443925
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 84 639 36 91|psse.zamosc@pis.gov.pl|+48 84 627 10 59|https://www.gov.pl/web/psse-zamosc|Powiatowa Stacja Sanitarno-Epidemiologiczna w Zamościu|22-400|Zamość||Peowiaków|96||50.7161617|23.2605827|way/166878229
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||83-300|Kartuzy||Sambora|30A||54.3410121|18.2008856|way/169274608
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 22 250 01 15|psse.wloszczowa@pis.gov.pl|+48 41 394 34 96|www.gov.pl/web/psse-wloszczowa|Powiatowa Stacja Sanitarno-Epidemiologiczna we Włoszczowie|29-100|Włoszczowa||Jana III Sobieskiego|38||50.8531888|19.9579951|way/175191654
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 46 874 33 30|psse.brzeziny@pis.gov.pl|+48 46 874 33 30|www.gov.pl/web/psse-brzeziny|Powiatowa Stacja Sanitarno-Epidemiologiczna w Brzezinach|95-060|Brzeziny||Reformacka|3||51.7987337|19.7542542|way/176543396
Wojewódzka Stacja Sanitarno-Epidemiologiczna|+48 81 743 42 72|wsse.lublin@pis.gov.pl|+48 81 743 46 86|www.gov.pl/web/wsse-lublin|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Lublinie|20-708|Lublin||Pielęgniarek|6||51.2397654|22.5080161|way/176792408
Powiatowa Stacja Sanitarno-Epidemiologiczna||||http://www.psse.bialystok.pl|||Białystok||Warszawska|57A||53.1312278|23.1745353|way/176990072
Powiatowa Stacja Sanitarno-Epidemiologiczna Krosno|+48 13 432 19 42|psse.krosno@pis.gov.pl|+48 13 432 19 45|https://www.gov.pl/web/psse-krosno||38-400|Krosno||Stefana Kisielewskiego|12||49.6836390|21.7553384|way/178016971
Wojewódzka Stacja Sanitarno-Epidemiologiczna|+48 12 254 95 55|wsse@wsse.krakow.pl|+48 12 416 20 93|https://www.gov.pl/web/wsse-krakow|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Krakowie|31-202|Kraków||Prądnicka|76||50.0872635|19.9379218|way/180955726
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 85 716 26 17|sekretariat@monki.psse.gov.pl|+48 85 727 90 65|https://www.gov.pl/web/psse-monki|Powiatowa Stacja Sanitarno-Epidemiologiczna w Mońkach|19-100|Mońki||Tysiąclecia|5||53.4061986|22.8002338|way/188456450
Wojewódzka Stacja Sanitarno-Epidemiologiczna|||||||Gorzów Wielkopolski||Adama Mickiewicza|12b||52.7399091|15.2303818|way/193966866
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 17 225 00 70|psse.lancut@pis.gov.pl|+48 17 225 00 72|https://www.gov.pl/web/psse-lancut|Powiatowa Stacja Sanitarno-Epidemiologiczna w Łańcucie|37-100|Łańcut||Adama Mickiewicza|6||50.0655256|22.2293061|way/194112659
Wojewódzka Stacja Sanitarno-Epidemiologiczna|+48 17 852 21 11|dyzur@wsse.rzeszow.pl|+48 17 852 22 92|https://wsse.rzeszow.pl/|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Rzeszowie|35-959|Rzeszów||Wierzbowa|16||50.0340442|22.0145206|way/198079890
Powiatowa Stacja Sanitarno-Epidemiologiczna w Rzeszowie||||http://psserzeszow.pl|||Rzeszów||Generała Jarosława Dąbrowskiego|79a||50.0234820|21.9865656|way/201235187
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 56 676 17 00|psse.chelmno@pis.gov.pl|+48 56 676 15 13|https://www.gov.pl/web/psse-chelmno/kontakt2|Powiatowa Stacja Sanitarno-Epidemiologiczna w Chełmnie|86-200|Chełmno||Łunawska|2a||53.3485636|18.4454291|way/203212569
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 75 643 55 60|psse.jeleniagora@pis.gov.pl|+48 75 643 55 61|https://www.gov.pl/web/psse-jelenia-gora|Powiatowa Stacja Sanitarno-Epidemiologiczna w Jeleniej Górze|58-500|Jelenia Góra||Jana Kasprowicza|17||50.8999364|15.7291246|way/204687673
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 63 27 22 279|sekretariat.psse.kolo@sanepid.gov.pl|+48 63 272 22 79|https://www.gov.pl/web/psse-kolo/|Powiatowa Stacja Sanitarno-Epidemiologiczna w Kole|62-600|Koło||Toruńska|72||52.2022365|18.6292098|way/205446119
Powiatowa Stacja Sanitarno-Epidemiologiczna||||http://www.pssenysa.pl/||48-304|Nysa||Stefana Żeromskiego|||50.4667247|17.3323165|way/225922981
Sanepid|+48748323333|||https://www.gov.pl/web/psse-dzierzoniow/||58-200|Dzierżoniów||Ignacego Krasickiego|36||50.7264133|16.6473496|way/228861657
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||68-200|Żary||Podchorążych|23a;23A||51.6400602|15.1358001|way/234958269
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Białymstoku|+48857408540|||https://www.wsse.bialystok.pl/|||Białystok||Legionowa|8||53.1309354|23.1600534|way/236603295
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 95 762 05 20|pssedrezdenko@wsse.gorzow.pl|+48 95 762 08 99|https://www.gov.pl/web/psse-drezdenko|Powiatowa Stacja Sanitarno-Epidemiologiczna w Drezdenku|66-530|Drezdenko||Bolesława Chrobrego|11||52.8393836|15.8358842|way/250058247
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 83 344 41 60|psse.bialapodlaska@pis.gov.pl|+48 83 343 76 39|https://www.gov.pl/web/psse-biala-podlaska|Powiatowa Stacja Sanitarno-Epidemiologiczna w Białej Podlaskiej|21-500|Biała Podlaska||Warszawska|18||52.0314055|23.1095276|way/257675563
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||46-200|Kluczbork||Jagiellońska|8||50.9743352|18.2172422|way/262734224
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||44-200|Rybnik||Kapitana Leopolda Janiego|1||50.1105403|18.5452037|way/267278323
Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB|+48 13 463 39 23|sanok@wsse.rzeszow.pl|+48 13 464 57 65|https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis|Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB w Sanoku|38-500|Sanok||Jezierskiego|39||49.5504327|22.2007078|way/267528780
Powiatowa Stacja Sanitarno-Epidemiologiczna Sanok|+48 13 464 12 19|psse.sanok@pis.gov.pl|+48 13 464 12 19|https://www.gov.pl/web/psse-sanok||38-500|Sanok||Jezierskiego|39||49.5503382|22.2010371|way/267528782
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||62-800|Kalisz||Tadeusza Kościuszki|6||51.7597777|18.0838620|way/271243383
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 33 823 37 66|psse.wadowice@pis.gov.pl|+48 33 823 35 11|https://www.gov.pl/web/psse-wadowice|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wadowicach|34-100|Wadowice||Teatralna|2||49.8855688|19.4936765|way/289514896
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||66-600|Krosno Odrzańskie||Nadodrzańska|24||52.0518530|15.0885231|way/290366790
