Powiatowa Stacja Sanitarno-Epidemiologiczna w Gliwicach|śląskie|m. Gliwice|Gliwice|ul. Banacha|4|44-100|32 338 05 01|32 338 05 00|32 231 95 23|32 338 05 30|psse.gliwice@pis.gov.pl||www.gov.pl/psse-gliwice|50.2918|18.6762
Powiatowa Stacja Sanitarno-Epidemiologiczna w Jaworznie|śląskie|m. Jaworzno|Jaworzno|ul. Pocztowa|7|43-600|32 616 40 58||32 616 35 50||psse.jaworzno@pis.gov.pl||www.gov.pl/psse-jaworzno|50.2018|19.2758
Powiatowa Stacja Sanitarno-Epidemiologiczna w Katowicach|śląskie|m. Katowice|Katowice|Plac Grunwaldzki 8-10|8-10|40-127|32 257 04 04|32 253 24 60|32 253 24 89||psse.katowice@pis.gov.pl||www.gov.pl/psse-katowice|50.2503|19.0079
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kłobucku|śląskie|kłobucki|Kłobuck|ul. Staszica|28|42-100|34 317 26 00|34 317 22 60|34 317 22 60|34 317 26 00|psse.klobuck@pis.gov.pl||www.gov.pl/psse-klobuck|50.8993|18.9352
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lublińcu|śląskie|lubliniecki|Lubliniec|ul. Dworcowa|17|42-700|34 356 32 85|34 356 26 74|34 356 32 85||psse.lubliniec@pis.gov.pl||www.gov.pl/psse-lubliniec|50.6717|18.6900
Powiatowa Stacja Sanitarno-Epidemiologiczna w Myszkowie|śląskie|myszkowski|Myszków|ul. Pułaskiego|42|42-300|34 313 13 05||34 313 13 05||psse.myszkow@pis.gov.pl|sekretariat@pssemyszkow.pl|www.gov.pl/psse-myszkow|50.5775|19.3378
Powiatowa Stacja Sanitarno-Epidemiologiczna w Raciborzu|śląskie|raciborski|Racibórz|ul. Batorego|8|47-400|32 415 15 80|32 459 41 32|32 459 41 31||ppisrac@psseraciborz.pl|psse.raciborz@pis.gov.pl|www.gov.pl/psse-raciborz|50.0927|18.2237
Powiatowa Stacja Sanitarno-Epidemiologiczna w Rudzie Śląskiej|śląskie||Ruda Śląska|ul. Dąbrowskiego|9|41-710|32 340 03 84|32 340 03 85|32 340 04 03||psse.rudaslaska@neostrada.pl|psse.rudaslaska@pis.gov.pl|www.gov.pl/psse-ruda-slaska|50.2714|18.8669
Powiatowa Stacja Sanitarno-Epidemiologiczna w Rybniku|śląskie||Rybnik|ul. Kpt.L. Janiego|1|44-200|32 422 40 09|32 422 33 12|32 422 45 47||psse.rybnik@pis.gov.pl||www.gov.pl/psse-rybnik|50.1104|18.5451
Powiatowa Stacja Sanitarno-Epidemiologiczna w Tychach|śląskie|m. Tychy|Tychy|ul. Budowlanych|131|43-100|32 219 31 77|32 227 52 47|32 219 31 77||psse.tychy@pis.gov.pl||www.gov.pl/psse-tychy|50.1282|18.9694
Powiatowa Stacja Sanitarno-Epidemiologiczna w Jędrzejowie|świętokrzyskie|jędrzejowski|Jędrzejów|11-go Listopada|33|28-300|22 250 01 15||41 386 15 16||psse.jedrzejow@pis.gov.pl|psse.jedrzejow@wsse-kielce.pl|www.gov.pl/web/psse-jedrzejow|50.6416|20.3003
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sandomierzu|świętokrzyskie|sandomierski|Sandomierz|L. Frankowskiego|8|27-600|22 250 01 15||15 832 32 58||psse.sandomierz@pis.gov.pl|psse.sandomierz@wsse-kielce.pl|www.gov.pl/web/psse-sandomierz|50.6899|21.732
Powiatowa Stacja Sanitarno-Epidemiologiczna Kętrzyn|warmińsko-mazurskie|kętrzyński|Kętrzyn|Plac Marsz. J. Piłsudskiego|5|11-400|(89) 754-21-40|89754-21-77|(89)754-21-41|89754-21-75|psse.ketrzyn@sanepid.olsztyn.pl|psse.ketrzyn@pis.gov.pl|www.bip.visacom.pl/psse_ketrzyn|54.0784|21.3719
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Poznaniu|Wielkopolskie||Poznań|ul. Noskowskiego|23|61-705|61 854 48 02||61 852 50 03||wsse.poznan@pis.gov.pl|sekretariat@wssepoznan.pl|www.wsse-poznan.pl|52.4134|16.9167
Powiatowa Stacja Sanitarno-Epidemiologiczna w Chodzieży|Wielkopolskie|chodzieski|Chodzież|ul. Składowa|5|64-800|67 282 02 72||67 282 02 73||psse.chodziez@pis.gov.pl|sekretariat@psse-chodziez.pl|http://www.psse-chodziez.pl/|52.9914|16.9111
Powiatowa Stacja Sanitarno-Epidemiologiczna w Czarnkowie|Wielkopolskie|czarnkowsko-trzcianecki|Czarnków|ul. Zamkowa|8|64-700|67 255 22 40||67 255 82 26||psse.czarnkow@pis.gov.pl|sekretariat@psse-czarnkow.pl|http://www.psse-czarnkow.pl/|52.9051|16.5614
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gnieźnie|Wielkopolskie|gnieźnieński|Gniezno|ul. Św. Wawrzyńca|18|62-200|61 426 22 42|61 426 22 43|61 426 27 77||psse.gniezno@pis.gov.pl|sekretariat@psse-gniezno.pl|http://www.psse-gniezno.pl/|52.5309|17.5946
Powiatowa Stacja Sanitarno-Epidemiologiczna w Grodzisku|Wielkopolskie|grodziski|Grodzisk Wielkopolski|ul. Rakoniewicka|42|62-065|61 444 60 67||61 444 60 67||psse.grodziskwlkp@pis.gov.pl|sekretariat@psse-grodziskwlkp.pl|http://www.psse-grodzisk.pl/|52.2159|16.3633
Powiatowa Stacja Sanitarno-Epidemiologiczna w Jarocinie|Wielkopolskie|jarociński|Jarocin|ul. Wąska|2|63-200|62 747 23 17||62 747 62 43||psse.jarocin@pis.gov.pl|sekretariat@psse-jarocin.pl|http://www.psse-jarocin.pl/|51.9714|17.5017
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kaliszu|Wielkopolskie|kaliski|Kalisz|ul. Kościuszki|6|62-800|62 767 76 10||62 767 76 42||psse.kalisz@pis.gov.pl|sekretariat@psse-kalisz.pl|http://www.psse-kalisz.pl/|51.7598|18.0839
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kępnie|Wielkopolskie|kępiński|Kępno|ul. Pocztowa||63-600|62 782 32 38||62 782 32 38||psse.kepno@pis.gov.pl|sekretariat@psse-kepno.pl|http://psse-kepno.pl/|51.2797|17.9834
Powiatowa Stacja Sanitarno-Epidemiologiczna w Koninie|Wielkopolskie|koniński|Konin|ul. Staszica|16|62-500|63 243 90 52||63 246 49 50||psse.konin@pis.gov.pl|sekretariat@psse-konin.pl|http://www.psse-konin.pl/|52.2094|18.2512
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kościanie|Wielkopolskie|kościański|Kościan|ul. Ks. Bączkowskiego|5a|64-000|65 512 22 33||65 512 22 33||psse.koscian@pis.gov.pl|sekretariat@pssekoscian.pl|http://www.psse.koscian.pl|52.0888|16.6422
Powiatowa Stacja Sanitarno-Epidemiologiczna w Krotoszynie|Wielkopolskie|krotoszyński|Krotoszyn|ul. Floriańska|10|63-700|62 725 26 35||62 722 05 91||sekretariat@psse-krotoszyn.pl|sekretariat@psse-krotoszyn.pl|http://www.psse-krotoszyn.pl/|51.6974|17.4348
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lesznie|Wielkopolskie|leszczyński|Leszno|ul. Niepodległości|66|64-100|65 526 15 15||65 526 21 41||psse.leszno@pis.gov.pl|sekretariat@psse-leszno.pl|http://www.psse-leszno.pl/|51.8458|16.5883
Powiatowa Stacja Snitarno-Epidemiologiczna w Międzychodzie|Wielkopolskie|międzychodzki|Międzychód|ul. Strzelecka|12|64-400|95 748 24 08||95 748 35 01||sekretariat@psse-miedzychod.pl|sekretariat@psse-miedzychod.pl|http://www.psse-miedzychod.pl/|52.5959|15.8961
Powiatowa Stacja Sanitarno-Epidemiologiczna w Obornikach|Wielkopolskie|obornicki|Oborniki|ul. Marsz. J. Piłsudskiego|76|64-600|61 296 04 07||61 296 05 58||psse.oborniki@pis.gov.pl|sekretariat@psse-oborniki.pl|http://www.psse-oborniki.pl/|52.6529|16.8193
Powiatowa Stacja Sanitarno-Epidemiologiczna w Ostrzeszowie|Wielkopolskie|ostrzeszowski|Ostrzeszów|ul. Gen. Sikorskiego|58|63-500|62 732 07 70||62 732 07 70||psse.ostrzeszow@pis.gov.pl|sekretariat@psse-ostrzeszow.pl|http://www.psse-ostrzeszow.pl/|51.4193|17.9306
Powiatowa Stacja Sanitarno-Epidemiologiczna w Poznaniu|Wielkopolskie|poznański|Poznań|ul. Gronowa|22|61-655|61 646 78 51||61 646 78 41||psse.poznan@pis.gov.pl|sekretariat@psse-poznan.pl|http://www.psse-poznan.pl/|52.4299|16.9344
Powiatowa Stacja Sanitarno-Epidemiologiczna w Rawiczu|Wielkopolskie|rawicki|Rawicz|ul. Wały Jarosława Dąbrowskiego|2|63-900|65 545 39 37||65 545 39 37||psse.rawicz@pis.gov.pl|sekretariat@psse-rawicz.pl|http://www.psse-rawicz.pl/|51.6115|16.8550
Powiatowa Stacja Sanitarno-Epidemiologiczna w Słupcy|Wielkopolskie|słupecki|Słupca|ul. Kościuszki|9|62-400|63 274 36 42||63 274 36 43||psse.slupca@pis.gov.pl|sekretariat@psse-slupca.pl|http://bip.psse-slupca.pl/|52.2881|17.8740
Powiatowa Stacja Sanitarno-Epidemiologiczna w Szamotułach|Wielkopolskie|szamotulski|Szamotuły|ul. B.Chrobrego|8|64-500|61 292 15 24||61 292 15 24||psse.szamotuly@pis.gov.pl|sekretariat@psse-szamotuly.pl|http://www.psse-szamotuly.pl/|52.5995|16.5884
Powiatowa Stacja Sanitarno-Epidemiologiczna w Śremie|Wielkopolskie|śremski|Śrem|ul. Wiejska|2|63-100|61 283 54 75||61 283 54 91||psse.srem@pis.gov.pl|sekretariat@psse-srem.pl|http://www.psse-srem.pl/|52.0801|17.0298
Powiatowa Stacja Sanitarno-Epidemiologiczna w Środzie|Wielkopolskie|średzki|Środa Wielkopolska|ul. Żwirki i Wigury|1|63-000|61 286 70 80||61 285 41 76||psse.srodawlkp@pis.gov.pl|sekretariat@psse-srodawlkp.pl|www.psse-sroda.pl/|52.2272|16.3637
Powiatowa Stacja Sanitarno-Epidemiologiczna w Turku|Wielkopolskie|turecki|Turek|ul. Uniejowska|1a|62-700|63 280 36 82||63 280 36 99||psse.turek@pis.gov.pl|sekretariat@psse-turek.pl|http://www.psse-turek.pl/|52.0142|18.5045
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wągrowcu|Wielkopolskie|wągrowiecki|Wągrowiec|ul. Gnieźnieńska|49|62-100|67 268 56 80||67 268 56 80||psse.wagrowiec@pis.gov.pl|sekretariat@psse-wagrowiec.pl|http://www.psse-wagrowiec.pl/|52.7990|17.2143
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wolsztynie|Wielkopolskie|wolsztyński|Wolsztyn|ul. M. Drzymały|16|64-200|68 347 32 49||68 384 20 23||psse.wolsztyn@pis.gov.pl|sekretariat@psse-wolsztyn.pl|http://www.psse-wolsztyn.pl/|52.1233|16.1228
Powiatowa Stacja Sanitarno-Epidemiologiczna we Wrześni|Wielkopolskie|wrzesiński|Września|ul. Wrocławska|42|62-300|61 436 07 32||61 640 32 06||psse.wrzesnia@pis.gov.pl|sekretariat@psse-wrzesnia.pl|http://www.psse-wrzesnia.pl|52.3182|17.5578
Powiatowa Stacja Sanitarno-Epidemiologiczna w Złotowie|Wielkopolskie|złotowski|Złotów|ul. Hubego|1|77-400|67 349 16 91||67 349 16 92||psse.zlotow@pis.gov.pl|sekretariat@psse-zlotow.pl|http://www.psse-zlotow.pl/|53.3689|17.0251
Powiatowa Stacja Sanitarno-Epidemiologiczna w Białogardzie|zachodniopomorskie|białogardzki|Białogard|ul. Przechodnia|2|78-200|94 312 20 55||94 312 41 22||psse.bialogard@pis.gov.pl|psse.bialogard@wsse.szczecin.pl|pssebialogard.pis.gov.pl|54.0085|15.9889
Powiatowa Stacja Sanitarno-Epidemiologiczna w Choszcznie|zachodniopomorskie|choszczeński|Choszczno|ul. Bolesława Chrobrego|27 A|73-200|95 765 72 82||||psse.choszczno@pis.gov.pl|psse.choszczno@wsse.szczecin.pl|pssechoszczno.pis.gov.pl|53.1746|15.4128
Powiatowa Stacja Sanitarno-Epidemiologiczna w Drawsku Pomorskim|zachodniopomorskie|drawski|Drawsko Pomorskie|ul. Sobieskiego|1|78-500|94 363 61 95|94 314 17 41|94 363 61 02||psse.drawskopomorskie@pis.gov.pl|psse.drawskopomorskie@wsse.szczecin.pl|pssedrawskopomorskie.pis.gov.pl|53.5253|15.8158
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gryfinie|zachodniopomorskie|gryfiński|Gryfino|ul. Flisacza|6|74-100|91 416 38 58||91 416 23 43||psse.gryfino@pis.gov.pl|sekretariat@pssegryfino.pl|pssegryfino.pis.gov.pl|53.2600|14.4897
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kamieniu Pomorskim|zachodniopomorskie|kamieński|Kamień Pomorski|ul. Wolińska|7B|72-400|91 382 01 44||91 382 41 70||psse.kamienpomorski@pis.gov.pl|psse.kamienpomorski@wsse.szczecin.pl|pssekamienpomorski.pis.gov.pl|53.9624|14.7751
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kołobrzegu|zachodniopomorskie|kołobrzeski|Kołobrzeg|ul. Waryńskiego|8|78-100|94 352 35 54||94 352 30 13||psse.kolobrzeg@pis.gov.pl|psse.kolobrzeg@wsse.szczecin.pl|www.gov.pl/web/psse-kolobrzeg|54.1757|15.5834
Powiatowa Stacja Sanitarno-Epidemiologiczna w Koszalinie|zachodniopomorskie|Koszalin|Koszalin|ul. Zwycięstwa|136|75-613|91 342 40 85||94 342 53 57||psse.koszalin@pis.gov.pl|psse.koszalin@wsse.szczecin.pl|pssekoszalin.pis.gov.pl|54.1902|16.1956
Powiatowa Stacja Sanitarno-Epidemiologiczna w Łobzie|zachodniopomorskie|łobeski|Łobez|ul. Niepodległości|66/2|73-150|91 397 45 42||91 397 45 42||psse.lobez@pis.gov.pl|psse.lobez@wsse.szczecin.pl|psselobez.pis.gov.pl|53.3800|15.3656
Powiatowa Stacja Sanitarno-Epidemiologiczna w Myśliborzu|zachodniopomorskie|myśliborski|Myślibórz|ul. Pólnocna|15|74-300|95 747 56 16||95 747 65 13||sekretariat@pssemysliborz.pl|psse.mysliborz@wsse.szczecin.pl|pssemysliborz.pis.gov.pl|52.9271|14.8609
Powiatowa Stacja Sanitarno-Epidemiologiczna w Pyrzycach|zachodniopomorskie|pyrzycki|Pyrzyce|ul. Młodych Techników||74-200|91 570 34 28||91 570 34 29||psse.pyrzyce@pis.gov.pl|psse.pyrzyce@wsse.szczecin.pl|pssepyrzyce.pis.gov.pl|53.1294|14.8845
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sławnie|zachodniopomorskie|sławieński|Sławno|ul. Sempołowskiej||76-100|59 810 73 11||59 810 73 11||psse.slawno@pis.gov.pl|psse.slawno@wsse.szczecin.pl|psseslawno.pis.gov.pl|54.3680|16.6817
Powiatowa Stacja Sanitarno-Epidemiologiczna w Stargardzie|zachodniopomorskie|stargardzki|Stargard|ul. Czarnieckiego|34|73-110|91 561 26 10||91 561 26 13||psse.stargard@pis.gov.pl|psse.stargard@wsse.szczecin.pl|pssestargardszczecinski.pis.gov.pl|53.2014|15.0221
Powiatowa Stacja Sanitarno-Epidemiologiczna w Szczecinku|zachodniopomorskie|szczecinecki|Szczecinek|ul. Ordona|22|78-400|94 374 05 59||94 374 05 59||psse.szczecinek@pis.gov.pl|psse.szczecinek@wsse.szczecin.pl|psseszczecinek.pis.gov.pl|53.7103|16.6830
Powiatowa Stacja Sanitarno-Epidemiologiczna w Świdwinie|zachodniopomorskie|świdwiński|Świdwin|ul. Drawska|38|78-300|94 365 30 24|94 365 26 84|94 365 30 24||psse.swidwin@pis.gov.pl|psse.swidwin@wsse.szczecin.pl|psseswidwin.pis.gov.pl|53.7683|15.7726
Powiatowa Stacja Sanitarno-Epidemiologiczna w Świnoujściu|zachodniopomorskie|Świnoujście|Świnoujście|ul. Dąbrowskiego|4|72-600|91 321 24 94||91 321 24 94||psse.swinoujscie@pis.gov.pl|psse.swinoujscie@wsse.szczecin.pl|psseswinoujscie.pis.gov.pl|53.9097|14.2473
