NAZWA|WOJEWÓDZTWO|POWIAT|MIEJSCOWOŚĆ|ULICA|NRDOMU|KOD POCZTOWY|NRTEL||NRFAX|NR FAXU 2    wraz z nr kierunkowym|EMAIL|ADRES 2 E-MAIL URZĘDU|WWW|SZEROKOŚĆ GEOGRAFICZNA|DŁUGOŚĆ GEOGRAFICZNA|@lat|@lon|@id
Powiatowa Stacja Sanitarno-Epidemiologiczna w Chełmie|lubelskie|chełmski|Chełm|Szpitalna|48|22-100|82 565-34-21|82 565 42 21|82 565-30-13||psse.chelm@pis.gov.pl||www.gov.pl/web/psse-chelm|51.15036|23.45743|51.15022315|23.457484276|
Powiatowa Stacja Sanitarno Epidemiologiczna w Hrubieszowie|lubelskie|hrubieszowski|Hrubieszów|27 Wołyńskiej Dywizji Piechoty AK|6|22-500|84 696 50 10|84 696 32 00|84 696 50 10||psse.hrubieszow@pis.gov.pl||www.gov.pl/web/psse-hrubieszow|50.80667|23.88923|50.80658085|23.889142484|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Janowie Lubelskim|lubelskie|janowski|Janów Lubelski|Wojska Polskiego|28|23-300|158725400|15 872 54 05|158724762||psse.janowlubelski@pis.gov.pl||www.gov.pl/web/psse-janow-lubelski|50.69587|22.42936|50.6965445|22.4277329|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Krasnymstawie|lubelskie|krasnostawski|Krasnystaw|Sikorskiego|3A|22-300|82 57 62 832|82 57 62 833|82 57 62 832|-|psse.krasnystaw@pis.gov.pl||www.gov.pl/web/psse-krasnystaw|50.98169|23.17026|50.98152615|23.170312545|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kraśniku|lubelskie|kraśnicki|Kraśnik|Kościuszki|36|23-200|81 884 36 73||81 884 36 73||psse.krasnik@pis.gov.pl||www.gov.pl/web/psse-krasnik|50.92074|22.21619|50.92059985|22.216240004|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lubartowie|lubelskie|lubartowski|Lubartów|Lubelska|103|21-100|81855 22 07|81 855 24 43|81 855 24 43||psse.lubartow@pis.gov.pl||www.gov.pl/web/psse-lubartow|51.45003|22.61225|51.4501236|22.612448665|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Łęcznej|lubelskie|łęczyński|Łęczna|Krasnystawska|52|21-010|81 752 31 67||81 752 31 67||psse.leczna@pis.gov.pl||www.gov.pl/web/psse-leczna|51.29122|22.87839|51.2904454|22.8786949|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Łukowie|lubelskie|łukowski|Łuków|Spółdzielcza|4|21-400|25 798 21 96|25 789 71 78|25 798 71 78||psse.lukow@pis.gov.pl||www.gov.pl/web/psse-lukow|51.92919|22.38007|51.92898765|22.380077152|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Opolu Lubelskim|lubelskie|opolski|Opole Lubelskie|Puławska|1|24-300|81 470 84 39|81 827 20 41|81 827 20 41||psse.opolelubelskie@pis.gov.pl||www.gov.pl/web/psse-opole-lubelskie|51.15089|21.97071|51.15067885|21.970604959|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Parczewie|lubelskie|parczewski|Parczew|Piwonia|54|21-200|83 354 23 29|83 354 27 34|83 354 13 10||psse.parczew@pis.gov.pl||www.gov.pl/web/psse-parczew|51.64575|22.90847|51.6457|22.90855|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Puławach|lubelskie|puławski|Puławy|Aleja Królewska|19|24-100|81 886 48 91||81 886 48 91||psse.pulawy@pis.gov.pl||www.gov.pl/web/psse-pulawy|51.41395|21.96285|51.4135037|21.9632108|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Radzyniu Podlaskim|lubelskie|radzyński|Radzyń Podlaski|Pocztowa|5|21-300|83 352 74 16|83 352 74 17|83 352 74 16||psse.radzynpodlaski@pis.gov.pl||www.gov.pl/web/psse-radzyn-podlaski|51.78445|22.61953|51.78426965|22.619432335|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Rykach|lubelskie|rycki|Ryki|Poniatowskiego|2|08-500|81 865 16 37||81 865 16 37||psse.ryki@pis.gov.pl||www.gov.pl/web/psse-ryki|51.62510|21.93512|51.6248548|21.9351766|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Świdniku|lubelskie|świdnicki|Świdnik|Al.Lotników Polskich|1|21-045|81 745 56 10|81 745 56 11|81 468 70 20||psse.swidnik@pis.gov.pl||www.gov.pl/web/psse-swidnik|51.22724|22.69962|51.2272143|22.6990191|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Tomaszowie Lubelskim|lubelskie|tomaszowski|Tomaszów Lubelski|Lwowska|51|22-600|84 664 44 78|84 664 44 79|84 664 23 61||psse.tomaszowlubelski@pis.gov.pl||www.gov.pl/web/psse-tomaszow-lubelski|50.44794|23.41652|50.44765515|23.416676224|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Zamościu|lubelskie|zamojski|Zamość|Peowiaków|96|22-400|84 639 36 91|84 627 10 59|84 627 10 59||psse.zamosc@pis.gov.pl||www.gov.pl/web/psse-zamosc|50.71619|23.26108|50.71616175|23.2605827|
Graniczna Stacja Sanitarno-Epidemiologiczna w Dorohusku|lubelskie|chełmski|Dorohusk|||22-175|82 566 17 14||82 566 17 14||gsse.dorohusk@pis.gov.pl||www.gssedorohusk.pis.gov.pl|51.1836|23.80603|51.1608274|23.803447|
Graniczna Stacja Sanitarno-Epidemiologiczna w Hrebennem|lubelskie|tomaszowski|Lubycza Królewska|||22-680|84 539 61 20||84 667 41 33||gsse.hrebenne@pis.gov.pl||www.gov.pl/web/gsse-hrebenne|50.2775|23.5890|50.3411612|23.5196564|
Graniczna Stacja Sanitarno-Epidemiologiczna w Koroszczynie|lubelskie|bialski|Terespol|-||21-550|83 375 30 56|83 376 30 26|83 375 30 26|83 376 30 26|gsse.koroszczyn@pis.gov.pl||www.gssekoroszczyn.pis.gov.pl|52.0758|23.5139|52.0740979|23.6013781|
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Gorzowie Wlkp.|lubuskie||Gorzów Wlkp.|Jagiellończyka|8b|66-400|957226057||957224652||wsse@wsse.gorzow.pl||https://www.gov.pl/web/wsse-gorzowwlkp|52.7398|15.2303|52.7397708|15.2303275|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Drezdenku|lubuskie|strzelecko-drezdenecki|Drezdenko|Chrobrego|11|66-530|957620520||957620899||pssedrezdenko@wsse.gorzow.pl||https://www.gov.pl/web/psse-drezdenko|52.8393|15.8359|52.8393664|15.835913555|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gorzowie Wlkp.|lubuskie|gorzowski|Gorzów Wlkp.|Kosynierów Gdyńskich|27|66-400|957228986||957206447||pssegorzow@wsse.gorzow.pl||https://www.gov.pl/web/psse-gorzow-wielkopolski|52.7368|15.2291|52.73692205|15.22916074|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Międzyrzeczu|lubuskie|międzyrzecki|Międzyrzecz|Osiedle Centrum|16|66-300|957412227||957412787||pssemiedzyrzecz@wsse.gorzow.pl||https://www.gov.pl/web/psse-miedzyrzecz|52.4429|15.5812|52.4428798|15.58137822|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Nowej Soli|lubuskie|nowosolski|Nowa Sól|Wojska Polskiego|11|67-100|683872461||683874738||pssenowasol@wsse.gorzow.pl||https://www.gov.pl/web/psse-nowa-sol|51.8027|15.7149|51.8028238|15.7149668|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Słubicach|lubuskie|słubicki|Słubice|Mickiewicza|6|69-100|957582003||957582004||psseslubice@wsse.gorzow.pl||https://www.gov.pl/web/psse-slubice|52.3499|14.5575|52.349962|14.557514161|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sulęcinie|lubuskie|sulęciński|Sulęcin|Lipowa|14 b|69-200|957553421||957553421||pssesulecin@wsse.gorzow.pl||https://www.gov.pl/web/psse-sulecin|52.4496|15.1169|52.4495313|15.116925236|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Świebodzinie|lubuskie|świebodziński|Świebodzin|30 Stycznia|5|66-200|683820747||683822321||psseswiebodzin@wsse.gorzow.pl||https://www.gov.pl/web/psse-swiebodzin|52.2492|15.5319|52.2491996|15.531943|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Zielonej Górze|lubuskie|zielonogórski|Zielona Góra|Jasna|10|65-470|683254671||683514796||pssezielonagora@wsse.gorzow .pl||https://www.gov.pl/web/psse-zielona-gora|51.9299|15.5029|51.9298182|15.5028537|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Żaganiu|lubuskie|żagański|Żagań|Szprotawska|45a|68-100|684776600||684776600||pssezagan@wsse.gorzow.pl||https://www.gov.pl/web/psse-zagan|51.6124|15.3306|51.6123782|15.3306796|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Żarach|lubuskie|żarski|Żary|Podchorążych|23A|68-200|684706258||684706259||pssezary@wsse.gorzow.pl||https://www.gov.pl/web/psse-zary|51.6401|15.1359|51.64006185|15.135866028|
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Łodzi|łódzkie||Łódź|Wodna|40|90-046|42 253-62-10|42 253-62-00|42 253-62-19||wsselodz@pis.lodz.pl|sekretariat@pis.lodz.pl|www.gov.pl/web/wsse-lodz|51.7616|19. 4768|51.7616932|19.476822217|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Bełchatowie|łódzkie|bełchatowski|Bełchatów|Okrzei|49|97-400|44 631-31-08|44 631-31-18|44 631-32-84||belchatow@pis.lodz.pl||www.gov.pl/web/psse-belchatow|51.3605|19.3768|51.3603625|19.376674359|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Brzezinach|łódzkie|brzeziński|Brzeziny|Reformacka|3|95-060|46 874-33-30|46 874-31-60|46 874-33-30||psse.brzeziny@pis.gov.pl||www.gov.pl/web/psse-brzeziny|51.7987|19.7540|51.7987314|19.754257229|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kutnie|łódzkie|kutnowski|Kutno|Kościuszki|14|99-300|24 355-71-00|24 355-71-02|24 355-71-01||psse.kutno@pis.gov.pl||www.gov.pl/web/psse-kutno|52.2327|19.3644|52.2327145|19.364391883|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Łasku|łódzkie|łaski|Łask|Warszawska|38|98-100|43 675-23-15|43 675-22-94|43 676-34-16||psse.lask@pis.gov.pl|lask@pis.lodz.pl|www.gov.pl/web/psse-lask|51. 5901|19.1471|51.59009355|19.147120566|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Łęczycy|łódzkie|łęczycki|Łęczyca|Mickiewicza|18|99-100|24 721-21-88||24 721-88-09||leczyca@pis.lodz.pl||www.gov.pl/web/psse-leczyca|52.0487|19.2151|52.0485337|19.2150616|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Łowiczu|łódzkie|łowicki|Łowicz|Podrzeczna|24|99-400|46 837-64-94|46 837-35-00|46 830-32-61||psse.lowicz@pis.gov.pl||www.gov.pl/web/psse-lowicz|52.1080|19.9374|52.1080002|19.9375957|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Łodzi|łódzkie|łódzki|Łódź|Przybyszewskiego|10|93-189|42 253-99-02|42 253-99-00|42 253-99-01||psse@psselodz.pl||www.gov.pl/web/psse-lodz|51.7436|19.4657|51.1025194|19.4648054|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Opocznie|łódzkie|opoczyński|Opoczno|Pl. Kościuszki|9|26-300|44 755-23-29||44 755-23-29||psse.opoczno@pis.gov.pl|opoczno@pis.lodz.pl|www.gov.pl/web/psse-opoczno|51.3763|20.2884|51.3765219|20.288406|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Pabianicach|łódzkie|pabianicki|Pabianice|Kilińskiego||95-200|42 215-27-76|42 291-96-32|42 215-27-76||pabianice@pis.lodz.pl||www.gov.pl/web/psse-pabianice|51.6600|19.3551|51.6582409|19.3555871|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Pajęcznie|łódzkie|pajęczański|Pajęczno|Żeromskiego|7|98-330|34 311-34-95|34 311-10-31|34 311-39-27||pajeczno@pis.lodz.pl||www.gov.pl/web/psse-pajeczno|51.1502|18.9886|51.15020485|18.988656738|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Poddębicach|łódzkie|poddębicki|Poddębice|Mickiewicza|16|99-200|43 678-86-00|43 678-86-01|43 678-86-01||poddebice@pis.lodz.pl||www.gov.pl/web/psse-poddebice|51.8890|18.9531|51.8887362|18.9533995|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Radomsku|łódzkie|radomszczański|Radomsko|Al. Jana Pawła II|9|97-500|44 685-23-50||44 683-54-36||psse.radomsko@pis.gov.pl||www.gov.pl/web/psse-radomsko|51.0692|19.4412|51.06927775|19.441224566|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Rawie Mazowieckiej|łódzkie|rawski|Rawa Mazowiecka|Łowicka|15|96-200|46 814-34-95|46 814-48-62|46 814-34-95||psse.rawamaz@pis.gov.pl|www.pis.lodz.pl/rawa|www.gov.pl/web/psse-rawa-mazowiecka|51.7677|20.2503|51.7676005|20.250293784|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sieradzu|łódzkie|sieradzki|Sieradz|Polskiej Organizacji Wojskowej|52|98-200|43 822-36-85||43 822-41-23||sieradz@pis.lodz.pl||www.gov.pl/web/psse-sieradz|51.5970|18.7209|51.5970717|18.720934984|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Skierniewicach|łódzkie|skierniewicki|Skierniewice|Piłsudskiego|33|96-100|46 833-30-21|46 833-46-00|46 833-30-21||psse.skierniewice@pis.gov.pl||www.gov.pl/web/psse-skierniewice|51.9568|20.1337|51.9566667|20.1336557|
