WOJEWÓDZTWO,TYP,NAZWA URZĘDU,KOD,MIASTO,ULICA,NR BUDYNKU / LOKALU,POCZTA,NR TELEFONU   wraz z nr kierunkowym,NR FAXU,ADRES E-MAIL URZĘDU,kod jednostki,ADRESY STRON BIP JEDNOSTEK KAS
lubelskie,US,Urząd Skarbowy w Białej Podlaskiej,21-500,Biała Podlaska,Prosta ,19,Biała Podlaska,(83) 344-95-17,(83) 344-95-91,sekretariat.us.biala-podlaska@mf.gov.pl,0602,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-bialej-podlaskiej
lubelskie,US,Urząd Skarbowy w Biłgoraju,23-400,Biłgoraj,Tadeusza Kościuszki ,78,Biłgoraj,(84) 686-87-00,(84) 686-87-01,sekretariat.us.bilgoraj@mf.gov.pl,0603,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-bilgoraju
lubelskie,US,Urząd Skarbowy w Chełmie,22-100,Chełm,Obłońska ,20A,Chełm,(82) 565-02-01 do 08,(82) 564-33-31,sekretariat.us.chelm@mf.gov.pl,0604,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-chelmie
lubelskie,US,Urząd Skarbowy w Hrubieszowie,22-500,Hrubieszów,27 Wołyńskiej Dywizji Piechoty AK ,11,Hrubieszów,(84) 696-63-88 ,(84) 696-63-65,sekretariat.us.hrubieszow@mf.gov.pl,0605,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-hrubieszowie
lubelskie,US,Urząd Skarbowy w Janowie Lubelskim,23-300,Janów Lubelski,Wojska Polskiego ,32,Janów Lubelski,(15) 872-53-00,(15) 872-24-66,sekretariat.us.janow-lubelski@mf.gov.pl,0606,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-janowie-lubelskim
lubelskie,US,Urząd Skarbowy w Krasnymstawie,22-300,Krasnystaw,Rzeczna ,5,Krasnystaw,(82) 576-25-94; (82) 575 68 94,(82) 576-50-41,sekretariat.us.krasnystaw@mf.gov.pl,0607,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-krasnymstawie
lubelskie,US,Urząd Skarbowy w Kraśniku,23-200,Kraśnik,Tadeusza Kościuszki ,5,Kraśnik,(81) 528-69-00,(81) 528-69-28,sekretariat.us.krasnik@mf.gov.pl,0608,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-krasniku
lubelskie,US,Urząd Skarbowy w Lubartowie,21-100,Lubartów,Legionów ,55,Lubartów,(81) 852-62-00,(81) 852-62-83,sekretariat.us.lubartow@mf.gov.pl,0609,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lubartowie
lubelskie,US,Pierwszy Urząd Skarbowy w Lublinie,20-027,Lublin,Sądowa ,5,Lublin,(81) 464-23-10 do 11,(81) 464-23-12,sekretariat.1us.lublin@mf.gov.pl,0610,www.lubelskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-lublinie
lubelskie,US,Drugi Urząd Skarbowy w Lublinie,20-883,Lublin,Tadeusza Szeligowskiego ,24,Lublin,(81) 452-24-00,(81) 452-24-04,sekretariat.2us.lublin@mf.gov.pl,0611,www.lubelskie.kas.gov.pl/drugi-urzad-skarbowy-w-lublinie
lubelskie,US,Trzeci Urząd Skarbowy w Lublinie,20-016,Lublin,Prezydenta Gabriela Narutowicza ,56,Lublin,(81) 535-04-77,(81) 535 04 53,sekretariat.3us.lublin@mf.gov.pl,0612,www.lubelskie.kas.gov.pl/trzeci-urzad-skarbowy-w-lublinie
