amenity,capacity,email,name,official_name,opening_hours,operator,operator:type,operator:website,phone,website,wheelchair
childcare,15,e.bednarkiewicz90@gmail.com,Brzdące na łące klub malucha i opieka dzienna ewelina bednarkiewicz,"""BRZDĄCE NA ŁĄCE"" KLUB MALUCHA I OPIEKA DZIENNA EWELINA BEDNARKIEWICZ",Mo-Fr 07:00-16:30,Brzdące na łące klub malucha i opieka dzienna ewelina bednarkiewicz,,brzdace-grzegorzew.pl,+48 663 320 431,https://,no
kindergarten,120,biuro@dom-rodzina.pl,Żłobek Bożego Miłosierdzia,"Żłobek ""Bożego Miłosierdzia""",Mo-Fr 6:00-17:00,Caritas Diecezji Gliwickiej,,www.caritasgliwice.pl,+48 575 241 606,https://www.dom-rodzina.pl,yes
kindergarten,60,kontakt@wesoledinusie.pl,Niepubliczny Żłobek Super Bobas,Niepubliczny Żłobek Super Bobas,Mo-Fr 6:35-16:45,Lucky Star Ewa Bałtyk,private,www.wesoledinusie.pl,+48 600 140 533,https://www.wesoledinusie.pl,yes
kindergarten,15,sekretariatbajkowydom@op.pl,Żłobek  Bajkowy Dom,"Żłobek "" Bajkowy Dom""",Mo-Fr 7:00-17:00,Ewa Kobus,,,+48 601 055 802,https://przedszkolebajkowydom.pl/,yes
kindergarten,50,sekretariat@abcstrumykwiedzy.pl,Żłobek Niepubliczny A Be Ce Strumyk Wiedzy,"Żłobek Niepubliczny ""A Be Ce Strumyk Wiedzy""",Mo-Fr 06:30-17:00,Zakłady Mięsne SOBKOWIAK Elżbieta Sobkowiak,private,http://abcstrumykwiedzy.pl/,,http://abcstrumykwiedzy.pl/,no
kindergarten,12,zlobek@gminaklobuck.pl,Żłobek Gminny w Kłobucku,Żłobek Gminny w Kłobucku,Mo-Fr 6:30-16:30,Gmina Kłobuck,public,www.gminaklobuck.pl,+48 343 131 155,https://,no
kindergarten,15,mradlinska@wp.pl,"Niepubliczny Żłobek ,,Cudaki-Słodziaki”","Niepubliczny Żłobek ,,Cudaki-Słodziaki”",Mo-Fr 7:30-17:30,RADLAKE Małgorzata Radlińska-Futyma,private,http://cudaki-slodziaki.pl/,+48 509 613 307,https://,no
kindergarten,25,zlobektychy@op.pl,Żłobek,ŻŁOBEK,Mo-Fr 6:30-17:00,Zuzanna jasińska,,,+48 732 570 757,https://,no
kindergarten,150,zlobek61@zlobki.waw.pl,Żłobek nr 61,Żłobek nr 61,Mo-Fr 7:00-17:30,m.st. Warszawa,,um.warszawa.pl,+48 789 494 995,https://www.zlobki.waw.pl,no
childcare,13,klubmalucha.sowia5@gmail.com,Klub Malucha Sowia 5,Klub Malucha Sowia 5,Mo-Fr 07:00-17:00,Sowia 5 Przedszkole Integracyjne i Żłobek Sp z o.o.,,www.przedszkole.sowia5.pl,+48 516 577 299,https://www.przedszkole.sowia5.pl,yes
kindergarten,33,stonoga.olkusz@gmail.com,Żłobek Stonoga,"Żłobek ""Stonoga""",Mo-Fr 06:30-17:30,Aleksandra Świerczek,,,+48 509 899 388,https://,yes
kindergarten,20,elemelek@przedszkole-elemelek.pl,Żłobek Niepubliczny Elemelek,Żłobek Niepubliczny Elemelek,Mo-Fr 7:30-16:30,Przedszkole Niepubliczne Przedszkole Elemelek Barbara Kręźlewicz-Prarat,private,www.przedszkole-elemelek.pl,+48 600 247 156,https://,no
kindergarten,25,ewelina.gromulskasulej@gmail.com,Żłobek Króla Zygmunta Ewelina Gromulska-Sulej,Żłobek Króla Zygmunta Ewelina Gromulska-Sulej,Mo-Fr 06:30-17:30,Żłobek Króla Zygmunta Ewelina Gromulska-Sulej,,,+48 506 993 708,https://,no
kindergarten,15,ivonadabrowska@gmail.com,Przygody w obłokach,PRZYGODY W OBŁOKACH,,"PWO Iwona Dąbrowska,Marzena Chrzanowska s.c.",,,+48 695 780 077,https://,no
kindergarten,42,ewaczainska@o2.pl,Małe Poziomki Domek na Skraju,Małe Poziomki Domek na Skraju,Mo-Fr 06:30-17:30,Przedszkole Niepubliczne Poziomka Ewa Czaińska,,,+48 609 508 305,https://www.przedszkole-poziomka.pl,yes
kindergarten,23,szczesliwakrainalagiewniki@gmail.com,Żłobek SZCZĘŚLIWA KRAINA,"Żłobek ""SZCZĘŚLIWA KRAINA""",Mo-Fr 07:00-17:00,Żłobek SZCZĘŚLIWA KRAINA Jadwiga Kukiełka,,,+48 667 133 481,https://brak,no
kindergarten,52,zlobek@lechitki.pl,Żłobek Niepubliczny Lechitki,"Żłobek Niepubliczny ""Lechitki""",Mo-Fr 6:30-17:00,Eduro Anna Świderska,private,www.lechitki.pl,+48 667 232 373,https://www.lechitki.pl,no
kindergarten,30,biuro@przedszkolekaruzela.pl,Niepubliczny Żłobek KARUZELA Magdalena Kornosz,Niepubliczny Żłobek KARUZELA Magdalena Kornosz,Mo-Fr 06:30-17:00,Niepubliczny Żłobek KARUZELA,private,przedszkolekaruzela.pl,+48 508 908 625,https://www.przedszkolekaruzela.pl,yes
kindergarten,20,zabkazp@wp.pl,Niepubliczny Żłobek Żabka w Przysieczy,"Niepubliczny Żłobek ""Żabka"" w Przysieczy",Mo-Fr 07:00-17:00,Barbara Wlaźlik,private,,+48 608 499 728,https://,no
kindergarten,30,zlobek@kum-kum.pl,Niepubliczny Żłobek KUM-KUM-2,Niepubliczny Żłobek KUM-KUM-2,Mo-Fr 07:30-17:30,ARS EDUCANDI – SZTUKA WYCHOWANIA spółka z o.o.,private,www.kum-kum.pl,+48 881 000 080,https://,no
kindergarten,60,gwiazdolandia@gmail.com,Gwiazdolandia,GWIAZDOLANDIA,Mo-Fr 6:30-17:00,GWIAZDOLANDIA Branicki sp. j.,,www.gwiazdolandia.pl,+48 509 983 750,https://www.gwiazdolandia.pl,no
kindergarten,80,gryfnebajtle.slaskie@gmail.com,Niepubliczny Żłobek Gryfne Bajtle,"Niepubliczny Żłobek ""Gryfne Bajtle""",Mo-Fr 06:00-17:00,Katarzyna Rej,private,gryfne-bajtle.pl,+48 791 856 308,https://gryfne-bajtle.pl,no
kindergarten,30,cypiskowo@cypiskowo.pl,Żłobek Niepubliczny Cypiskowo.pl 2,Żłobek Niepubliczny Cypiskowo.pl 2,Mo-Fr 7:00-18:00,Cypiskowo.pl Katarzyna Brogowska,private,www.cypiskowo.pl,+48 602 593 463,https://www.cypiskowo.pl,yes
kindergarten,40,konopabarbara@gmail.com,Niepubliczny Żłobek Gumisiowy Las,Niepubliczny Żłobek Gumisiowy Las,Mo-Fr 07:00-17:30,Barbara Konopa,private,www.gumisiowylas.pl,+48 538 437 437,https://www.gumisiowylas.pl,no
kindergarten,20,zyrafka.zlobek@gmail.com,Żyrafka,Żyrafka,Mo-Fr 7:00-17:00,Aneta Aniśkiewicz,,www.zlobek-zyrafka-bielany.pl,+48 577 066 123,http://zlobek-zyrafka-bielany.pl/,no
childcare,24,BAJLANDIA@WP.PL,"Bajlandia niepubliczne przedszkole i klub malucha s,c sylwia szygenda ewelina chabierska","BAJLANDIA NIEPUBLICZNE PRZEDSZKOLE I KLUB MALUCHA S,C SYLWIA SZYGENDA EWELINA CHABIERSKA",Mo-Sa 06:00-17:00,Bajlandia niepubliczne przedszkole i klub malucha s.c sylwia szygenda ewelina chabierska,private,,+48 794 200 094,https://bajlandia2016@wp.pl,yes
kindergarten,15,majabajazlobek@gmail.com,Majabaja,MAJABAJA,Mo-Fr 7:00-17:00,PMT COMFORT Paulina Troć,,http://www.majabaja.pl/,+48 512 266 971,https://www.majabaja.pl,no
kindergarten,25,lesya@osowa.com.pl,Niepubliczny Żłobek Słoneczna Kraina,"Niepubliczny Żłobek ""Słoneczna Kraina""",Mo-Fr 6:30-17:00,Centrum Edukacji NOVUM Sp.z.o.o,private,www.slonecznakraina.pl,+48 506 211 876,https://www.slonecznakraina.pl,yes
kindergarten,30,przedszkole@kolorado.edu.pl,Kolorado,Kolorado,Mo-Fr 7:00-17:00,Kolorado - usługi edukacyjne Agnieszka Rajczyk,,www.kolorado.edu.pl,+48 506 177 233,https://www.kolorado.edu.pl,yes
kindergarten,25,chatkaskrzatka2@gmail.com,Chatka Skrzatka,Chatka Skrzatka,Mo-Fr 06:30-17:00,Chatka Skrzatka Luiza Kaintoch,,,+48 578 914 290,https://Brak,yes
kindergarten,36,zlobek@przedszkolekulka.pl,Żłobek niepubliczny kulka,ŻŁOBEK NIEPUBLICZNY KULKA,Mo-Fr 7:00-17:00,Kulka Ewa Olewińska,private,www.przedszkolekulka.pl,+48 575 667 513,https://www.przedszkolekulka.pl,yes
kindergarten,30,zlobekbdz2@klanza.org.pl,Żłobek Barwy Dzieciństwa 2,Żłobek Barwy Dzieciństwa 2,Mo-Fr 07:00-17:00,Polskie Stowarzyszenie Pedagogów i Animatorów KLANZA Lublin,,zlobkiklanza.pl,+48 507 406 593,https://zlobkiklanza.pl,no
kindergarten,81,biuro@kinder-centrum.pl,Akademia Kinder Centrum,Akademia Kinder Centrum,Mo-Fr 6:30-17:00,Akademia kinder centrum śmigielska zofia  spółka komandytowa,,www.kindercentrum.pl,+48 606 224 563,https://www.kindercentrum.pl,yes
kindergarten,60,rodziewiczowny@krainamarzen.pl,Żłobek Niepubliczny Kraina Marzeń,"Żłobek Niepubliczny ""Kraina Marzeń""",Mo-Fr 07:00-17:00,Kraina Marzeń Grzegorz Tarka,private,https://kraina-marzen.pl/,+48 730 794 198,https://www.krainamarzen.pl,no
kindergarten,20,justyna.tomelka@nickel.com.pl,Niepubliczny Żłobek UL,Niepubliczny Żłobek UL,Mo-Fr 07:00-17:00,Nickel edu spółka z ograniczoną odpowiedzialnością,private,www.ulprzedszkole.pl,+48 516 058 960,https://www.ulprzedszkole.pl,yes
kindergarten,40,wyspa.szkrabow@wp.pl,Niepubliczny Żłobek Wyspa Szkrabów,"Niepubliczny Żłobek ""Wyspa Szkrabów""",Mo-Fr 6:30-17:00,Mateusz Kłosowski,private,http://wyspaszkrabow.5v.pl,+48 538 475 480,http://wyspaszkrabow.5v.pl,yes
kindergarten,31,rko@zlobekagugu.pl,Żłobek a.gugu,Żłobek a.gugu,Mo-Fr 7:00-17:00,Cresca - ewa tymińska-jaraszkiewicz,,www.zlobekagugu.pl,+48 509 777 829,https://www.zlobekagugu.pl,yes
kindergarten,24,sekretariat@barankowo.com.pl,Żłobek Gminny w Baranowie,Żłobek Gminny w Baranowie,Mo-Fr 6:30-15:30,Gmina Baranów,public,www.baranow.pl,+48 530 055 579,https://,yes
kindergarten,20,s.laskowska@hero.edu.pl,Żłobek Hero!Academy,Żłobek Hero!Academy,Mo-Fr 7:00-18:30,Hero academy spółka z ograniczoną odpowiedzialnością,,http://www.heroacademy.edu.pl/,+48 781 953 211,http://www.heroacademy.edu.pl/,no
kindergarten,20,pluszowymisbatorego@gmail.com,Niepubliczny Żłobek Pluszowy Miś,"Niepubliczny Żłobek ""Pluszowy Miś""",Mo-Fr 07:00-17:00,Joanna Mikulska Maciej Górniak,private,,+48 539 330 098,https://,no
kindergarten,38,kontakt@wesoledinusie.pl,Niepubliczny Żłobek Wesołe Dinusie II,Niepubliczny Żłobek Wesołe Dinusie II,Mo-Fr 6:45-16:45,Lucky Star Ewa Bałtyk,private,www.wesoledinusie.pl,+48 600 140 533,https://www.wesoledinusie.pl,yes
kindergarten,44,biuro@przedszkolefairplay-grojecka.pl,Niepubliczny Żłobek Fair Play,Niepubliczny Żłobek Fair Play,Mo-Fr 07:00-17:30,Education&Fun Sp. z o.o.,private,www.przedszkolafairplay-grojecka.pl,+48 789 372 156,https://www.przedszkolefairplay-grojecka.pl,no
kindergarten,30,zlobek@karuzela.org,Żłobek Karuzela,Żłobek Karuzela,Mo-Fr 06:30-16:30,Stowarzyszenie Karuzela,,www.karuzela.org,+48 510 804 104,https://www.karuzela.org,yes
kindergarten,40,maya-zlobek@o2.pl,MAYA - Baśniowy Dworek,MAYA - Baśniowy Dworek,Mo-Fr 6:30-17:00,MAYA PRYWATNY ŻŁOBEK Iwona Muszyńska,,,+48 535 316 123,https://www.basniowydworek.pl,no
kindergarten,18,jacekiagatka0202@gmail.com,Bajkowy Żłobek Katarzyna Kotecka,Bajkowy Żłobek Katarzyna Kotecka,Mo-Fr 6:30-17:00,Bajkowy Żłobek Katarzyna Kotecka,,www.jacek-i-agatka.pl,+48 504 007 497,https://www.jacek-i-agatka.pl,yes
kindergarten,63,zlobekbajkowakraina@wp.pl,Roman Turczyn Żłobek Bajkowa Kraina,Roman Turczyn Żłobek Bajkowa Kraina,Mo-Fr 7:00-16:30,Roman Turczyn Żłobek Bajkowa Kraina Toruń,,,+48 725 625 825,https://brak,no
kindergarten,45,kontakt@domoweprzedszkole.info.pl,Opieka nad Dziećmi Zielony Ogródek,Opieka nad Dziećmi Zielony Ogródek,Mo-Fr 06:30-17:00,"Opieka nad Dziećmi Zielony Ogródek, Katarzyna Zbrzeźna",,www.domoweprzedszkole.info.pl,+48 535 008 657,https://domoweprzedszkole.info.pl,yes
kindergarten,70,biuropoznankolorowydomek@wp.pl,"Prywatny żłobek ,,Kolorowy Domek Aleksandra Goździak oddział 2","Prywatny żłobek ,,Kolorowy Domek"" Aleksandra Goździak oddział 2",Mo-Fr 06:30-17:00,"Prywatny żłobek ,,Kolorowy Domek  Aleksandra Goździak",private,www.kolorowydomek.com.pl,,https://www.kolorowydomek.com.pl,no
kindergarten,24,r.serafin@wadrozewielkie.pl,Żłobek Gminny w Postolicach,Żłobek Gminny w Postolicach,,Gmina Wądroże Wielkie,public,www.wadrozewielkie.pl,+48 768 874 318,https://,no
childcare,20,ewa.osomanska@wp.pl,Klub Dziecięcy w Gaworzycach,Klub Dziecięcy w Gaworzycach,Mo-Fr 06:30-16:00,Ewa Pawlak-Osmańska,,,+48 606 718 179,https://brak,yes
kindergarten,13,strutynska.ewelina@gmail.com,ELEMELEK Ewelina Strutynska,ELEMELEK Ewelina Strutynska,Mo-Fr 7:00-17:00,ELEMELEK Ewelina Strutynska,,www.elemeleksiechnice.pl,+48 697 918 433,https://www.elemelek.com.pl,no
kindergarten,50,sekretariat@zmkrosno.pl,Żłobek Miejski Kolorowe Nutki w Krośnie,"Żłobek Miejski ""Kolorowe Nutki"" w Krośnie",Mo-Fr 6:30-16:30,Gmina Miasto Krosno,public,krosno.pl,,https://zmkrosno.pl,yes
kindergarten,25,sekretariat@zmkrosno.pl,Żłobek Miejski Kolorowe Nutki w Krośnie,"Żłobek Miejski ""Kolorowe Nutki"" w Krośnie",Mo-Fr 6:30-16:30,Gmina Miasto Krosno,public,krosno.pl,,https://zmkrosno.pl,yes
kindergarten,25,sekretariat@zmkrosno.pl,Żłobek Miejski Kolorowe Nutki w Krośnie,"Żłobek Miejski ""Kolorowe Nutki"" w Krośnie",Mo-Fr 6:30-16:30,Gmina Miasto Krosno,public,krosno.pl,,https://zmkrosno.pl,yes
kindergarten,20,waclawik.karolina@gmail.com,Niepubliczny Żłobek Mali Odkrywcy,"Niepubliczny Żłobek ""Mali Odkrywcy""",Mo-Fr 07:00-17:00,Karolina Wacławik,private,,+48 697 709 281,https://maliodkrywcy24.pl,yes
kindergarten,34,tabi3@wp.pl,Kraina marzeń,Kraina marzeń,Mo-Fr 6:00-18:00,Alicja Tabinowska,,www.krainamarzen-buszkowice.edupge.pl,+48 506 164 873,https://www.krainamarzen-buszkowice.edupge.pl,yes
kindergarten,40,biuro@calineczka.edu.pl,Niepubliczny Żłobek Calineczka,"Niepubliczny Żłobek ""Calineczka""",Mo-Fr 6:00-18:00,Kf-edukacja  franciszek kozielec,private,http://calineczka.edu.pl/,+48 227 866 728,https://www.calineczka.edu.pl,no
kindergarten,10,magdalenachrzaszcz@poczta.onet.pl,Domowa Akademia SMYK Magdalena Chrząszcz Żłobek,"Domowa Akademia ""SMYK"" Magdalena Chrząszcz Żłobek",Mo-Fr 6:30-16:30,"Domowa akademia ,,smyk magdalena chrząszcz",,,+48 516 086 655,https://,no
kindergarten,33,carola_w@o2.pl,Żłobek maciusiowo,ŻŁOBEK MACIUSIOWO,Mo-Fr 07:00-17:00,Nibylandia Karolina Wodarz,,,+48 506 950 121,https://www.maciusiowo.pl,no
kindergarten,94,zlobek@zlobekbielsko.pl,ŻŁOBEK MIEJSKI Jednostka organizacyjna gminy Bielsko-Biała,ŻŁOBEK MIEJSKI Jednostka organizacyjna gminy Bielsko-Biała,Mo-Fr 06:30-16:30,Gmina Bielsko-Biała,public,www.um.bielsko.pl,+48 334 964 223,https://www.zlobekbielsko.pl,no
kindergarten,32,bystrzaki@fep.edu.pl,Żłobek Bystrzaki,Żłobek Bystrzaki,Mo-Fr 06:30-16:30,Fundacja Edukacji Przedszkolnej,,brak,+48 733 101 920,https://,yes
kindergarten,37,zlobekdabrowka@zyrafy.com.pl,Żyrafy,Żyrafy,Mo-Fr 07:00-17:00,DEA Konsulting Izabela Tokarska,,www.http://zyrafy.com.pl/,+48 577 404 888,https://www.zyrafy.com.pl,no
kindergarten,26,klubdzieciecy.staszow@op.pl,Żłobek Świat Dziecka w Staszowie,"Żłobek ""Świat Dziecka"" w Staszowie",Mo-Fr 6:30-16:30,Gmina Staszów,public,www.staszow.pl,+48 158 642 121,https://,yes
kindergarten,25,biuro@teczadzieci.pl,Żłobek Tęcza,Żłobek Tęcza,Mo-Fr 6:30-16:30,Tęcza Anna Laudańska,,www.teczadzieci.pl,+48 506 234 510,https://www.teczadzieci.pl,yes
kindergarten,40,szalonazyrafa@wp.pl,Żłobek Szalona Żyrafa w Jarocinie,"Żłobek ""Szalona Żyrafa"" w Jarocinie",Mo-Fr 6:30-16:30,SZALONA ŻYRAFA Agata Nelka,,,+48 505 099 276,https://,no
kindergarten,24,biuro@przedszkolehappytime.pl,Żłobek ABRAKADABRA Filia,Żłobek ABRAKADABRA Filia,Mo-Su 7:30-18:00,PPHU BTP ANNA KÜNSTLE Przedszkole Anglojęzyczne HAPPY TIME Prywatna Szkoła Podstawowa Wonderful Years School; Żłobek Abrakadabra,,www.zlobekabrakadabra.pl,+48 501 610 422,https://www.zlobekabrakadabra.pl,no
kindergarten,28,bajkolandia2017@wp.pl,Niepubliczny Żłobek Bajkolandia,Niepubliczny Żłobek Bajkolandia,Mo-Fr 07:00-16:00,Niepubliczny Żłobek Bajkolandia Spółka Cywilna Anna Hasior Monika Ewald,private,,+48 537 952 053,https://,no
childcare,12,becia784@wp.pl,Klub malucha domiś beata mozgała,KLUB MALUCHA DOMIŚ BEATA MOZGAŁA,Mo-Sa 7:00-16:00,Beata Mozgała,,www.do-mis.pl,+48 733 432 530,https://www.domis.rzetelnafirma.pl,no
kindergarten,105,tk49@onet.pl,Żłobek Gumisiowa Kraina,"Żłobek ""Gumisiowa Kraina""",Mo-Fr 6:30-16:30,"Teresa Kalbarczyk P.P.U.H. KAL-TEX, Niepubliczne Przedszkole i Żłobek GUMISIOWA KRAINA Teresa Kalbarczyk",,www.gumisiowakraina.pl,+48 504 220 625,https://www.gumisiowakraina.pl,yes
kindergarten,76,tygrysekbiuro@gmail.com,Prywatny Żłobek Tygrysek,"Prywatny Żłobek ""Tygrysek""",Mo-Fr 06:00-18:00,Tygrysek S.C. E. Walawender i M. Golenia,private,www.tygrysek-przedszkole.pl,+48 785 195 063,https://www.tygrysek-przedszkole.pl,yes
kindergarten,55,biuro@antbee.eu,Żłobek Little AntBee,"Żłobek ""Little AntBee""",Mo-Fr 06:30-17:30,Little AntBee Dorota Kuźlik,,http://www.antbee.eu/,+48 533 119 911,https://www.antbee.eu,no
childcare,27,klubdzieciecy.staszow@op.pl,Klub Dziecięcy Świat Dziecka w Staszowie,"Klub Dziecięcy ""Świat Dziecka"" w Staszowie",Mo-Fr 6:30-16:30,Gmina Staszów,public,www.staszow.pl,+48 158 642 121,https://,yes
kindergarten,45,biuro@lesny-skrzat.pl,Leśny Skrzat,Leśny Skrzat,Mo-Fr 06:30-17:00,Leśny Skrzat Sp. z o.o.,,www.lesny-skrzat.pl,+48 717 183 833,https://www.lesny-skrzat.pl,yes
kindergarten,52,krzywoustego@zlobek.katowice.pl,Oddział Żłobka Miejskiego w Katowicach,Oddział Żłobka Miejskiego w Katowicach,Mo-Fr 6:00-17:00,Gmina Katowice,public,katowice.eu,+48 322 586 053,https://www.zlobek.katowice.pl,yes
kindergarten,23,kontakt@cenedu.pl,Centrum Edukacyjne Żłobek Malinka,Centrum Edukacyjne Żłobek Malinka,Mo-Fr 6:30-16:00,Centrum Edukacyjne Katarzyna Stosik,,cenedu.pl,+48 576 034 659,https://cenedu.pl,no
childcare,15,biuro@fds-consulting.eu,Klub dziecięcy - Klub Malucha Krasnoludki,"Klub dziecięcy - Klub Malucha ""Krasnoludki""",Mo-Fr 6:30-16:30,CONSULTING Firma Doradczo-Szkoleniowa Julita Orłowska-Szczepańska,,,+48 523 345 659,http://manufakturarozwojuiradosci.pl,yes
kindergarten,15,zlobek.agugu@gmail.com,Niepubliczny Żłobek AGUGU,Niepubliczny Żłobek AGUGU,Mo-Fr 7:00-17:00,AGUGU Aleksandra Schenk,private,www.agugu.info,+48 696 130 240,https://www.agugu.info,no
kindergarten,71,biuro@zlobekkolorowekredki.pl,"Kolorowe Kredki s.c. T.Butniak,B.Jurkowska","Kolorowe Kredki s.c. T.Butniak,B.Jurkowska",Mo-Fr 6:30-17:00,Kolorowe Kredki spółka cywilna Tobiasz Butniak Barbara Jurkowska,private,www.zlobekkolorowekredki.pl,+48 510 513 550,https://www.zlobekkolorowekredki.pl,no
kindergarten,33,kontakt@slodkibobasek.pl,Akademia Maluszka Słodki bobasek s.c,"Akademia Maluszka ""Słodki bobasek"" s.c",Mo-Fr 06:30-17:30,Akademia Maluszka Słodki Bobasek s.c,,www.slodkibobasek.pl,+48 695 761 799,https://www.slodkibobasek.pl,yes
kindergarten,40,sekretariat@przedszkole2.szubin.pl,Żłobek Kubuś Puchatek w Szubinie,"Żłobek ""Kubuś Puchatek"" w Szubinie",,Gmina Szubin,public,,+48 523 842 447,http://www.przedszkole2.szubin.pl/,no
kindergarten,70,zameczek50@wp.pl,Zameczek wioletta cholewa-baranowska,ZAMECZEK WIOLETTA CHOLEWA-BARANOWSKA,Mo-Fr 6:30-18:00,Zameczek Wioletta Cholewa - Baranowska,,http://www.przedszkolezameczek.pl/,+48 600 251 606,https://www.przedszkolezameczek.pl/,yes
childcare,10,biuro@buka.edu.pl,Klub DziecięcyMiś Uszatek,"Klub Dziecięcy""Miś Uszatek""",Mo-Fr 7:00-18:00,"Buka S.C. Karolina Rucińska, Paweł Jóźwik",,żłobek-warszawa.pl,+48 692 859 048,https://żłobek-warszawa.pl,no
kindergarten,55,przedszkole@radosnesloneczko.pl,NIEPUBLICZNE PRZEDSZKOLE RADOSNE SŁONECZKO spółka z o.o.,NIEPUBLICZNE PRZEDSZKOLE RADOSNE SŁONECZKO spółka z o.o.,Mo-Fr 7:00-17:00,Niepubliczne przedszkole radosne słoneczko sp. z o.o.,private,radosnesloneczko.pl,+48 690 885 588,https://radosnesloneczko.pl,yes
childcare,14,zameczek50@wp.pl,Zameczek wioletta cholewa-baranowska,ZAMECZEK WIOLETTA CHOLEWA-BARANOWSKA,Mo-Fr 6:30-18:00,Zameczek Wioletta Cholewa - Baranowska,,http://www.przedszkolezameczek.pl/,+48 600 251 606,https://www/przedszkolezameczek.pl/,yes
kindergarten,15,edu@troskliwe-misie.pl,Aleksandra Majszczyk,Aleksandra Majszczyk,Mo-Fr 7:30-18:00,Aleksandra Majszczyk,,www-troskliwe-misie.pl,+48 502 910 921,https://www-troskliwe-misie.pl,no
